Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,0,2,0,5.000000e-01,2
2,0,8,1,1,3.500000e+00,6
3,4,2,3,1,2,4
4,4,8,2,0,5.000000e-01,2
5,8,2,3,0,5.000000e-01,2
6,8,2,1,0,5.000000e-01,2
7,2,4,1,1,5.000000e-01,2
8,0,8,2,0,5.000000e-01,4
9,8,0,2,1,2,2
10,8,4,1,0,5.000000e-01,2
11,2,8,2,0,5.000000e-01,6
12,2,4,1,0,5.000000e-01,2
13,0,2,1,0,5.000000e-01,4
14,2,0,3,1,5.000000e-01,2
15,8,4,3,0,2,2
16,4,2,2,1,5.000000e-01,4
17,2,0,1,1,2,6
18,0,8,3,1,5.000000e-01,4
19,8,4,1,1,5.000000e-01,4
20,0,4,2,1,3.500000e+00,2
21,0,4,3,0,2,2
22,0,2,3,0,5.000000e-01,2
23,4,0,2,0,5.000000e-01,2
24,4,8,3,1,2,8
25,4,0,3,1,2,2
26,8,0,1,0,5.000000e-01,6
27,0,2,2,1,3.500000e+00,4
28,4,0,1,1,3.500000e+00,2
29,4,2,3,0,5.000000e-01,2
30,0,8,3,0,5.000000e-01,4
31,4,8,2,1,2,8
32,8,2,3,1,2,6
33,2,8,2,1,5.000000e-01,4
34,2,8,1,1,3.500000e+00,4
35,0,4,1,0,2,2
36,4,2,2,0,3.500000e+00,8
