TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,1,2,2,5.000000e-01,0,1.0,0.0,4.04205,3.0,0,6.41721,low,2.37515,0.624848,6.95058,9.2919,9.29214,11.3077,7.26566,11.3082,13.2923
2,2,0,3,6,0,2,2,1.0,1.0,13.5508,3.0,2,15.5932,high,2.04243,0.957571,16.1382,20.2931,20.3104,22.3245,8.77376,22.3249,28.3095
3,3,1,2,4,2,3.500000e+00,8,1.0,2.0,28.5947,3.0,8,30.4143,high,1.81969,1.18031,30.9531,36.8573,36.877,38.8888,10.2941,38.8891,42.858
4,4,1,2,2,2,5.000000e-01,4,1.0,3.0,43.1369,2.0,2,44.9855,low,1.8486,1.1514,45.5165,48.3898,48.3901,50.4056,7.26871,50.406,52.3902
5,5,0,1,4,4,5.000000e-01,0,1.0,4.0,52.4226,3.0,0,54.7775,low,2.35487,0.645127,55.316,57.672,57.6722,59.6879,7.2653,59.6883,63.6727
6,6,0,1,8,0,5.000000e-01,8,1.0,5.0,63.6927,3.0,8,65.5355,high,1.84279,1.15721,66.0827,68.9389,68.957,70.9704,7.27768,70.9707,78.9556
7,7,0,3,4,0,2,4,1.0,6.0,79.2343,3.0,4,80.9893,high,1.75502,1.24498,81.5359,85.9828,85.9993,88.01,8.7757,88.0103,91.9948
8,8,0,2,2,2,2,4,1.0,7.0,92.2194,3.0,4,94.0949,high,1.87549,1.12451,94.6376,98.9799,98.9974,101.011,8.7919,101.012,102.98
9,9,1,2,4,0,3.500000e+00,4,1.0,8.0,103.208,3.0,4,105.752,high,2.5447,0.455298,106.296,111.466,111.484,113.497,10.2895,113.497,117.466
10,10,1,1,6,8,5.000000e-01,0,1.0,9.0,117.498,2.0,8,119.191,high,1.69326,1.30674,119.735,122.748,122.768,124.78,7.28155,124.78,130.749
11,11,0,2,4,0,5.000000e-01,4,1.0,10.0,131.027,3.0,4,132.73,high,1.70315,1.29685,133.267,136.265,136.283,138.297,7.2697,138.297,142.281
12,12,1,1,2,4,5.000000e-01,2,1.0,11.0,142.315,3.0,2,144.054,low,1.73972,1.26028,144.596,147.579,147.599,149.61,7.29569,149.611,151.579
13,13,0,1,2,8,5.000000e-01,4,1.0,12.0,151.599,3.0,4,153.247,low,1.64719,1.35281,153.784,156.845,156.864,158.877,7.27754,158.877,160.861
14,14,0,3,2,0,5.000000e-01,8,1.0,13.0,161.138,2.0,0,162.839,low,1.70082,1.29918,163.381,166.378,166.378,168.394,7.25559,168.394,170.394
15,15,0,2,2,0,5.000000e-01,2,1.0,14.0,170.667,2.0,0,171.981,low,1.31449,1.68551,172.521,175.926,175.926,177.941,7.27451,177.942,179.926
16,16,1,3,4,8,5.000000e-01,4,1.0,15.0,180.23,3.0,4,182.439,low,2.20951,0.79049,182.975,185.489,185.507,187.521,7.29082,187.521,191.49
17,17,1,3,2,4,2,2,1.0,16.0,191.751,3.0,2,193.747,low,1.99605,1.00395,194.289,198.506,198.506,200.522,8.77136,200.522,202.507
18,18,0,2,6,0,2,8,1.0,17.0,202.738,2.0,0,204.675,low,1.93677,1.06323,205.212,209.492,209.492,211.508,8.76903,211.508,217.493
19,19,1,1,2,4,5.000000e-01,0,1.0,18.0,217.525,3.0,0,219.676,low,2.15086,0.84914,220.214,222.79,222.79,224.806,7.28039,224.806,226.79
20,20,0,3,4,8,5.000000e-01,4,1.0,19.0,227.04,3.0,4,228.834,low,1.79489,1.20511,229.371,232.275,232.293,234.307,7.26723,234.307,238.292
21,21,1,3,2,0,3.500000e+00,2,1.0,20.0,238.531,2.0,0,240.592,low,2.06057,0.939425,241.138,246.793,246.793,248.808,10.2774,248.809,250.793
22,22,1,2,6,2,5.000000e-01,0,1.0,21.0,251.03,3.0,0,253.231,low,2.20099,0.799013,253.765,256.294,256.294,258.309,7.27934,258.31,264.279
