Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,8,3,1,5.000000e-01,2
2,4,8,1,1,2,2
3,8,2,2,1,2,2
4,0,8,3,0,5.000000e-01,2
5,0,8,2,1,2,2
6,2,4,3,0,2,6
7,4,8,2,0,3.500000e+00,4
8,0,4,2,0,3.500000e+00,4
9,2,0,1,1,3.500000e+00,2
10,8,2,3,0,2,6
11,8,4,3,0,5.000000e-01,2
12,8,2,1,1,5.000000e-01,2
13,2,8,2,0,2,2
14,0,8,1,1,5.000000e-01,8
15,8,4,1,0,5.000000e-01,4
16,2,0,2,0,3.500000e+00,6
17,4,8,3,1,5.000000e-01,2
18,0,8,3,1,5.000000e-01,4
19,4,0,3,1,2,4
20,0,4,3,0,5.000000e-01,2
21,2,0,1,0,5.000000e-01,2
22,4,8,2,1,5.000000e-01,8
23,0,2,2,1,2,6
24,0,2,3,1,5.000000e-01,6
25,8,2,1,0,5.000000e-01,2
26,4,0,1,1,3.500000e+00,4
27,4,2,2,0,5.000000e-01,4
28,2,0,3,0,5.000000e-01,2
29,2,4,1,1,5.000000e-01,2
30,4,0,1,0,5.000000e-01,2
31,4,0,2,1,5.000000e-01,4
32,8,0,2,0,5.000000e-01,4
33,2,4,2,1,2,2
34,2,4,1,0,2,4
35,4,2,3,1,5.000000e-01,2
36,8,0,1,0,3.500000e+00,8
