TrialNumber,IsFairBlock,Trialn,Offer,Partner,ITI,Blockn,ran,order,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,0,1,2,3,0.750000,1,1.0,0.0,4.00725,999.0,999.0,999.0,7.01253,3.54328,7.5508,8.31618
2,0,2,7,3,0.750000,1,1.0,1.0,8.31948,3.0,1.84071,10.1602,11.8322,3.51347,11.8332,12.5979
3,0,3,4,3,0.750000,1,1.0,2.0,12.6011,3.0,1.19066,13.7917,16.1139,3.51328,16.1145,16.8796
4,0,4,3,3,0.750000,1,1.0,3.0,16.8827,2.0,1.7372,18.6199,20.3956,3.51334,20.3962,21.1613
5,0,5,6,3,0.750000,1,1.0,4.0,21.1645,3.0,1.38551,22.55,24.6773,3.51331,24.6779,25.443
6,0,6,3,3,0.750000,1,1.0,5.0,25.4462,3.0,1.30042,26.7466,28.959,3.51329,28.9596,29.7247
7,0,7,3,3,0.750000,1,1.0,6.0,29.7279,2.0,1.34837,31.0762,33.2407,3.51331,33.2413,34.0064
8,0,8,1,3,12,1,1.0,7.0,34.0096,3.0,1.39675,35.4063,37.5224,3.51331,37.523,49.5393
9,1,9,1,3,0.750000,2,1.0,8.0,49.5426,2.0,1.50066,51.0432,53.0708,3.52871,53.0714,53.8367
10,1,10,9,3,0.750000,2,1.0,9.0,53.8399,3.0,1.45024,55.2902,57.3526,3.51319,57.3532,58.1183
11,1,11,10,3,0.750000,2,1.0,10.0,58.1214,3.0,1.09833,59.2198,61.6343,3.51338,61.635,62.3999
12,1,12,7,3,0.750000,2,1.0,11.0,62.4029,3.0,1.26332,63.6662,65.916,3.5136,65.9166,66.6818
13,1,13,7,3,0.750000,2,1.0,12.0,66.6853,3.0,1.194,67.8793,70.1976,3.51283,70.1983,70.9635
14,1,14,9,3,0.750000,2,1.0,13.0,70.9666,3.0,2.60813,73.5747,74.4793,3.51383,74.4808,75.2452
15,1,15,9,3,0.750000,2,1.0,14.0,75.2483,3.0,1.49064,76.7389,78.7612,3.51339,78.7618,79.5269
16,1,16,6,3,10,2,1.0,15.0,79.53,2.0,1.18911,80.7191,83.0585,3.52896,83.0591,93.0752
17,0,17,2,2,0.750000,3,1.0,16.0,93.0814,3.0,1.32638,94.4078,96.6068,3.52646,96.6081,97.3725
18,0,18,4,2,0.750000,3,1.0,17.0,97.3758,3.0,1.07844,98.4543,100.904,3.52881,100.905,101.67
19,0,19,8,2,0.750000,3,1.0,18.0,101.673,3.0,1.0276,102.701,105.186,3.51325,105.186,105.952
20,0,20,2,2,0.750000,3,1.0,19.0,105.955,3.0,2.12495,108.08,109.483,3.5289,109.484,110.249
21,0,21,1,2,0.750000,3,1.0,20.0,110.252,3.0,1.4913,111.743,113.765,3.51331,113.766,114.531
22,0,22,1,2,0.750000,3,1.0,21.0,114.534,3.0,1.78912,116.323,118.047,3.51329,118.047,118.812
23,0,23,4,2,0.750000,3,1.0,22.0,118.815,2.0,1.35429,120.17,122.328,3.51329,122.329,123.094
24,0,24,5,2,8,3,1.0,23.0,123.098,2.0,1.35172,124.449,126.61,3.51279,126.611,134.626
25,0,25,4,1,0.750000,4,1.0,24.0,134.63,2.0,2.52574,137.156,138.143,3.51289,138.143,138.908
26,0,26,1,1,0.750000,4,1.0,25.0,138.911,3.0,1.3921,140.303,142.44,3.52904,142.44,143.206
27,0,27,4,1,0.750000,4,1.0,26.0,143.208,3.0,1.10803,144.316,146.722,3.51356,146.722,147.487
28,0,28,6,1,0.750000,4,1.0,27.0,147.49,2.0,1.45617,148.946,151.003,3.51372,151.004,151.769
29,0,29,10,1,0.750000,4,1.0,28.0,151.772,3.0,1.42083,153.193,155.285,3.51364,155.286,156.051
30,0,30,2,1,0.750000,4,1.0,29.0,156.054,3.0,1.3519,157.406,159.567,3.51306,159.567,160.332
31,0,31,3,1,0.750000,4,1.0,30.0,160.335,2.0,1.3671,161.702,163.848,3.51342,163.849,164.614
32,0,32,1,1,8,4,1.0,31.0,164.617,3.0,1.34841,165.965,168.13,3.51345,168.131,176.146
