sub,computer_defect,computer_recip,stranger_defect,stranger_recip,friend_defect,friend_recip
sub-104,1.629547,1.515496,1.500942,1.436339,1.511051,1.464714
sub-105,2.319159,2.183414,2.135761,2.134899,2.098122,1.907572
sub-106,1.782730,1.814750,1.690161,1.578295,1.712742,1.666018
sub-107,1.855227,1.808291,1.784218,1.896226,1.705046,1.730862
sub-108,1.680822,1.526621,1.534321,1.560442,1.486443,1.510539
sub-109,2.241382,2.151737,2.078458,1.966996,2.188633,2.107440
sub-110,1.542836,1.394278,1.562906,1.583324,1.577571,1.358442
sub-111,1.924527,1.745832,1.896452,1.760855,1.750995,1.941234
sub-112,1.643019,1.682729,1.630980,1.691049,1.698785,1.629343
sub-113,1.772926,1.727286,1.824207,1.700497,1.654446,1.726633
sub-115,2.226942,2.125333,1.992627,2.063382,1.907236,1.789879
sub-116,1.572825,1.544638,1.614741,1.586151,1.548581,1.497031
sub-117,1.520593,1.599044,1.490972,1.446661,1.566505,1.446858
sub-118,1.603650,1.631405,1.721727,1.634802,1.588003,1.702759
sub-120,1.400609,1.372014,1.389654,1.411726,1.432628,1.506676
sub-121,1.582453,1.661192,1.604718,1.648309,1.561533,1.564334
sub-122,1.585160,1.516573,1.604803,1.566916,1.456834,1.515624
sub-124,1.711809,1.654122,1.793798,1.684815,1.960667,1.692949
sub-125,1.645660,1.636477,1.666252,1.605067,1.600582,1.648717
sub-126,1.583554,1.770841,1.727594,1.465900,1.630902,1.616497
sub-127,1.966190,1.925090,1.964602,1.951107,1.987590,2.014773
sub-128,1.841380,1.726709,1.616864,1.626717,1.631169,1.656718
sub-129,1.893135,1.807921,1.920387,1.933587,1.848415,1.816843
sub-130,2.145213,1.993225,1.967203,1.964178,2.258987,2.143747
sub-131,2.072793,2.218501,2.020609,2.093684,2.137555,2.173951
sub-132,1.956288,1.888506,1.895026,1.829411,1.905443,1.893411
sub-133,1.854578,1.695733,1.930503,1.870032,1.819011,1.931665
sub-134,1.807593,1.643489,1.854215,1.851995,1.949377,1.887623
sub-135,0.970750,1.152709,1.388642,1.025459,1.168351,1.140644
sub-136,1.750593,1.755219,1.639970,1.928986,1.860538,1.808021
sub-137,2.104267,2.087534,1.994788,1.990290,1.991362,1.936179
sub-138,2.244472,1.916409,2.251082,2.135357,2.148434,2.215333
sub-140,2.106649,1.982939,1.886083,1.855560,1.908311,1.987140
sub-141,1.937393,1.934453,1.804028,1.951281,1.860450,1.792236
sub-142,2.196185,2.137735,1.903647,2.089973,1.740925,1.785156
sub-143,1.879973,1.710823,1.712985,1.743236,1.766120,1.747532
sub-144,1.963425,1.769788,1.773143,1.799895,1.905746,1.807474
sub-145,2.080934,1.988422,2.100405,2.010418,1.982707,1.916363
sub-147,2.189843,2.191719,2.253467,2.094356,2.188387,2.178714
sub-149,2.410839,2.333627,2.380025,2.383215,2.319689,2.263473
sub-150,1.871288,1.986792,1.955011,1.828242,1.744067,1.712185
sub-151,1.542163,1.546131,1.488484,1.591786,1.504254,1.488617
sub-152,2.467000,2.373941,2.382693,2.332766,2.225384,1.963371
sub-153,1.756694,1.939798,1.869836,1.813151,1.719170,1.726268
sub-154,2.545919,2.411814,2.546055,2.277956,2.360961,2.381647
sub-155,1.835361,1.959326,1.970427,1.802691,1.853561,1.817866
sub-156,1.440532,1.548270,1.497102,1.496907,1.526511,1.590137
sub-157,1.985569,1.860790,2.087642,2.178560,1.989748,1.911730
sub-158,2.002905,1.855340,2.013033,1.817323,1.929566,1.896804
sub-159,1.717807,1.642637,1.749306,1.697733,1.798704,1.787974
