sub,computer_defect,computer_recip,stranger_defect,stranger_recip,friend_defect,friend_recip
sub-104,5.586207,5.642857,6.206897,5.066667,5.466667,5.793103
sub-105,6.470588,4.947368,5.500000,5.200000,5.666667,6.500000
sub-106,3.333333,3.900000,3.714286,3.750000,2.823529,4.842105
sub-107,4.583333,3.636364,4.818182,5.840000,5.384615,6.160000
sub-108,5.043478,6.000000,5.066667,5.555556,5.379310,5.866667
sub-109,3.500000,7.103448,4.181818,6.214286,5.600000,5.655172
sub-110,6.181818,6.210526,5.333333,6.857143,5.000000,5.400000
sub-111,4.640000,5.727273,4.750000,5.652174,4.800000,6.240000
sub-112,5.037037,4.888889,4.785714,5.642857,4.785714,4.896552
sub-113,2.880000,3.272727,5.428571,5.600000,5.103448,4.620690
sub-115,3.222222,4.000000,3.000000,3.294118,2.947368,2.933333
sub-116,3.333333,4.521739,4.214286,5.904762,5.153846,4.962963
sub-117,5.000000,3.428571,4.222222,4.210526,4.833333,4.363636
sub-118,4.571429,4.095238,3.916667,3.636364,4.272727,3.600000
sub-120,3.909091,3.545455,3.652174,3.760000,4.080000,3.545455
sub-121,4.160000,4.869565,4.000000,4.928571,5.703704,5.214286
sub-122,4.814815,6.142857,5.333333,5.714286,5.586207,5.034483
sub-124,6.370370,5.333333,4.538462,6.148148,6.080000,5.520000
sub-125,4.923077,5.083333,4.272727,4.814815,4.320000,5.846154
sub-126,2.842105,3.900000,3.666667,4.571429,4.333333,3.636364
sub-127,2.666667,4.416667,3.440000,5.652174,3.166667,5.181818
sub-128,5.586207,5.310345,6.000000,5.285714,5.448276,5.379310
sub-129,3.466667,3.222222,3.142857,4.000000,3.000000,4.111111
sub-130,2.933333,2.615385,2.705882,2.777778,2.800000,2.727273
sub-131,5.900000,5.166667,6.181818,6.250000,6.250000,5.481481
sub-132,5.400000,5.448276,5.310345,5.310345,5.724138,5.000000
sub-133,4.636364,5.176471,3.700000,5.333333,5.238095,4.666667
sub-134,5.523810,6.181818,5.789474,5.454545,5.714286,5.400000
sub-135,4.947368,4.476190,5.555556,4.666667,3.619048,5.272727
sub-136,6.137931,5.241379,5.400000,6.000000,5.600000,5.793103
sub-137,3.851852,4.666667,4.230769,4.230769,4.965517,5.428571
sub-138,2.444444,2.571429,2.800000,2.769231,2.666667,4.000000
sub-140,5.500000,5.047619,6.363636,5.444444,5.416667,5.047619
sub-141,5.800000,5.448276,5.862069,5.500000,5.379310,6.000000
sub-142,4.480000,4.956522,5.586207,4.888889,5.448276,5.800000
sub-143,5.333333,5.793103,5.517241,5.866667,5.466667,6.000000
sub-144,5.862069,5.230769,5.285714,5.333333,5.357143,5.629630
sub-145,4.941176,5.900000,4.181818,4.923077,4.190476,6.750000
sub-147,3.307692,3.900000,3.360000,3.923077,4.296296,3.555556
sub-149,2.400000,3.000000,2.833333,2.428571,2.533333,2.857143
sub-150,3.800000,3.555556,3.600000,4.947368,3.826087,4.666667
sub-151,5.448276,5.862069,5.866667,5.241379,5.400000,5.862069
sub-152,2.666667,4.266667,5.619048,6.000000,6.800000,4.846154
sub-153,3.304348,3.578947,3.384615,3.840000,4.344828,5.357143
sub-154,2.750000,5.000000,4.571429,3.448276,5.533333,4.482759
sub-155,3.263158,3.111111,4.000000,5.200000,4.250000,5.703704
sub-156,6.896552,4.400000,5.857143,5.466667,5.400000,6.071429
sub-157,4.260870,5.083333,4.090909,4.521739,3.680000,4.476190
sub-158,3.083333,3.363636,3.130435,3.000000,3.769231,4.666667
sub-159,3.478261,4.736842,3.454545,4.880000,4.461538,4.370370
