sub,computer_defect,computer_recip,stranger_defect,stranger_recip,friend_defect,friend_recip
sub-104,2.471513,2.497618,2.410977,2.391556,2.344963,2.582625
sub-105,2.182821,2.527047,2.417045,2.462348,2.478896,2.226325
sub-106,1.736229,2.291862,2.305273,2.620433,2.007339,1.675416
sub-107,2.602953,2.012945,2.593699,2.374868,2.384566,2.374868
sub-108,2.549122,2.581989,2.558735,2.309401,2.513020,2.403063
sub-109,1.820931,1.819435,2.538023,2.514508,2.540703,2.394575
sub-110,2.753982,2.740214,2.407717,1.851640,2.702656,2.980639
sub-111,2.289105,2.413885,2.489107,2.604344,2.380476,2.471167
sub-112,2.441334,2.375084,2.393775,2.312835,2.393775,2.425237
sub-113,1.013246,1.453463,2.363747,2.540703,2.595942,2.274294
sub-115,1.957055,2.376354,1.521772,1.992633,1.025978,1.667619
sub-116,2.129163,2.502173,2.393775,2.567192,2.411511,2.503559
sub-117,2.635786,2.111195,2.556550,2.200478,2.632021,2.440637
sub-118,2.618615,2.142540,2.320357,2.012945,2.250541,2.112619
sub-120,2.180194,2.040711,2.228099,2.107131,2.196968,2.303771
sub-121,2.374868,2.242246,2.284161,2.275938,2.523959,2.572751
sub-122,2.434322,2.429972,2.353394,2.594255,2.639227,2.306555
sub-124,2.420238,2.309401,2.501692,2.537469,2.271563,2.329521
sub-125,2.606501,2.636148,2.250541,2.617060,2.495329,2.648657
sub-126,1.537066,1.997367,1.847096,2.378475,2.497057,2.012945
sub-127,0.970143,2.500725,1.959592,2.604344,1.434563,2.519190
sub-128,2.471513,2.406887,2.434322,2.507133,2.612965,2.513020
sub-129,1.597617,1.555089,1.851640,2.190890,1.571810,2.323509
sub-130,1.667619,0.960769,0.985184,1.003263,1.005249,1.453463
sub-131,2.468752,2.565095,2.301891,2.381998,2.381998,2.391819
sub-132,2.581098,2.443449,2.578807,2.406887,2.491364,2.449490
sub-133,2.717587,2.555271,2.079980,2.708013,2.567192,2.548088
sub-134,2.749892,2.038589,2.740214,2.482842,2.552310,2.521487
sub-135,2.527047,2.676174,2.617188,2.309401,2.334014,2.433532
sub-136,2.503200,2.293705,2.736723,2.036700,2.540703,2.410977
sub-137,1.994294,2.548088,2.065095,2.285742,2.542254,2.363747
sub-138,0.881917,0.975900,1.032796,1.012739,1.775251,2.558409
sub-140,2.449490,2.499524,2.012945,2.454821,2.320357,2.729033
sub-141,2.483046,2.443449,2.325697,2.472066,2.513020,2.406887
sub-142,2.600000,2.619477,2.639227,2.562050,2.443449,2.483046
sub-143,2.309401,2.582625,2.544191,2.403063,2.674701,2.138090
sub-144,2.133477,2.888705,2.507133,2.541956,2.778413,2.221367
sub-145,2.135140,2.198085,1.401298,2.660249,2.600366,2.026992
sub-147,1.691608,2.291862,1.704895,1.998461,2.584195,1.601282
sub-149,0.828079,1.037749,1.029857,0.851631,0.915475,1.027105
sub-150,2.041671,1.885618,1.788854,2.247806,1.898616,2.556039
sub-151,2.261261,2.503200,2.403063,2.473505,2.415467,2.503200
sub-152,0.984732,2.491892,2.654735,2.828427,2.000000,2.274947
sub-153,1.769303,2.168353,1.675158,2.075251,2.453509,2.437581
sub-154,1.000000,2.038099,2.713868,1.297971,2.763473,1.975216
sub-155,1.521772,1.967049,2.558409,2.462348,2.381998,2.523959
sub-156,1.819435,2.372253,2.239614,2.674701,2.415467,2.522911
sub-157,2.199533,2.430185,2.580312,2.273755,2.135416,2.182179
sub-158,1.442120,1.787402,1.455533,1.480026,2.065095,2.334368
sub-159,2.273755,2.684153,2.063914,2.521904,2.731018,2.544196
