TrialNumber,Trialn,Feedback,ITI,Partner,BlockType,Blockn,ran,order,resp,resp_onset,onset,ITIonset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration
1,1,1,8,2,3,1,1.0,0.0,0.0,999,8.0487,0.0366201,999,999.0,10.5679,11.584,3.5353
2,2,1,0.75,2,3,1,1.0,1.0,0.0,999,12.3493,11.5865,999,999.0,14.85,15.8676,3.51828
3,3,1,0.75,2,3,1,1.0,2.0,0.0,999,16.6303,15.8699,999,999.0,19.147,20.1633,3.53302
4,4,1,0.75,2,3,1,1.0,3.0,--,--,--,--,--,--,--,--,--
5,5,2,0.75,2,3,1,0.0,--,--,--,--,--,--,--,--,--,--
6,6,1,0.75,2,3,1,0.0,--,--,--,--,--,--,--,--,--,--
7,7,3,0.75,2,3,1,0.0,--,--,--,--,--,--,--,--,--,--
8,8,1,0.75,2,3,1,0.0,--,--,--,--,--,--,--,--,--,--
9,9,1,10,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
10,10,1,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
11,11,1,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
12,12,1,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
13,13,3,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
14,14,1,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
15,15,3,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
16,16,1,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
17,17,1,8,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
18,18,1,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
19,19,2,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
20,20,1,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
21,21,2,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
22,22,1,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
23,23,1,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
24,24,1,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
25,25,3,10,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
26,26,3,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
27,27,3,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
28,28,1,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
29,29,3,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
30,30,3,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
31,31,1,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
32,32,3,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
33,33,1,10,1,1,5,0.0,--,--,--,--,--,--,--,--,--,--
34,34,2,0.75,1,1,5,0.0,--,--,--,--,--,--,--,--,--,--
35,35,1,0.75,1,1,5,0.0,--,--,--,--,--,--,--,--,--,--
36,36,1,0.75,1,1,5,0.0,--,--,--,--,--,--,--,--,--,--
37,37,1,0.75,1,1,5,0.0,--,--,--,--,--,--,--,--,--,--
