TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,3,2,2,5.000000e-01,4,1.0,0.0,4.31222,3.0,4,6.13286,high,1.82064,1.17936,6.68041,9.56753,9.58479,11.599,7.28677,11.5996,13.568
2,2,0,1,2,4,3.500000e+00,0,1.0,1.0,13.6008,2.0,4,15.3087,high,1.70789,1.29211,15.8521,21.8501,21.869,23.8815,10.2807,23.8819,25.8661
3,3,0,3,4,2,5.000000e-01,8,1.0,2.0,26.1282,3.0,8,27.9317,high,1.80343,1.19657,28.4782,31.3823,31.3994,33.4138,7.28562,33.4142,37.383
4,4,1,1,4,0,2,2,1.0,3.0,37.417,3.0,2,39.339,high,1.92206,1.07794,39.8861,44.1806,44.201,46.212,8.79501,46.2124,50.1812
5,5,1,3,6,4,2,0,1.0,4.0,50.475,3.0,0,52.2116,low,1.73668,1.26332,52.7469,57.2289,57.229,59.2447,8.76975,59.2451,65.2297
6,6,0,1,8,2,5.000000e-01,8,1.0,5.0,65.2647,3.0,8,67.0494,high,1.78474,1.21526,67.5921,70.527,70.5454,72.5586,7.29393,72.559,80.5282
7,7,0,1,2,2,3.500000e+00,0,1.0,6.0,80.5411,2.0,2,82.3701,high,1.82904,1.17096,82.9064,88.7947,88.795,90.8105,10.2694,90.8109,92.7951
8,8,1,2,4,2,5.000000e-01,4,1.0,7.0,93.0768,2.0,2,95.2762,low,2.19945,0.800552,95.815,98.3113,98.332,100.343,7.26606,100.343,104.328
9,9,1,2,2,2,5.000000e-01,0,1.0,8.0,104.565,2.0,2,106.667,high,2.10183,0.898173,107.206,109.828,109.828,111.844,7.27884,111.844,113.829
10,10,1,1,8,0,5.000000e-01,8,1.0,9.0,113.861,2.0,0,115.609,low,1.74838,1.25162,116.143,119.11,119.111,121.126,7.26533,121.127,129.111
11,11,0,1,8,2,2,4,1.0,10.0,129.133,3.0,4,131.397,high,2.26358,0.73642,131.943,135.878,135.896,137.909,8.77607,137.91,145.895
12,12,0,1,4,8,5.000000e-01,4,1.0,11.0,145.909,3.0,4,147.733,low,1.82456,1.17544,148.273,151.145,151.145,153.145,7.2368,153.146,157.161
13,13,1,3,6,8,3.500000e+00,4,1.0,12.0,157.43,2.0,8,159.007,high,1.57686,1.42314,159.539,165.678,165.697,167.709,10.279,167.71,173.694
14,14,1,1,4,0,2,4,1.0,13.0,173.721,2.0,0,175.494,low,1.77299,1.22701,176.026,180.476,180.476,182.492,8.77136,182.493,186.477
15,15,0,2,2,0,5.000000e-01,4,1.0,14.0,186.768,3.0,4,188.566,high,1.7986,1.2014,189.105,192.024,192.043,194.056,7.28838,194.056,196.025
16,16,0,3,6,8,2,0,1.0,15.0,196.315,2.0,8,198.242,high,1.92741,1.07259,198.777,203.072,203.089,205.104,8.78935,205.104,211.073
17,17,0,1,4,0,3.500000e+00,8,1.0,16.0,211.115,3.0,8,212.831,high,1.71548,1.28452,213.374,219.371,219.39,221.403,10.2872,221.403,225.372
18,18,1,1,2,2,2,8,1.0,17.0,225.384,3.0,8,227.151,high,1.76666,1.23334,227.687,232.122,232.143,234.154,8.76954,234.154,236.139
19,19,0,2,6,2,5.000000e-01,4,1.0,18.0,236.435,2.0,2,238.025,low,1.59048,1.40952,238.563,241.67,241.689,243.702,7.26672,243.702,249.687
20,20,1,3,4,0,5.000000e-01,2,1.0,19.0,249.977,3.0,2,251.598,high,1.621,1.379,252.143,255.234,255.253,257.266,7.28882,257.266,261.235
21,21,0,2,2,0,5.000000e-01,2,1.0,20.0,261.528,3.0,2,263.005,high,1.47717,1.52283,263.55,266.782,266.801,268.814,7.28579,268.814,270.783
22,22,1,2,6,0,3.500000e+00,8,1.0,21.0,271.026,2.0,0,272.963,low,1.93736,1.06264,273.504,279.284,279.284,281.3,10.2738,281.3,287.285
23,23,1,3,2,2,2,4,1.0,22.0,287.584,3.0,4,289.183,high,1.5995,1.4005,289.725,294.348,294.367,296.379,8.79541,296.38,298.348
24,24,1,2,4,4,2,0,1.0,23.0,298.606,2.0,4,300.341,high,1.73483,1.26517,300.883,305.365,305.385,307.396,8.79014,307.396,311.365
25,25,1,1,2,4,2,2,1.0,24.0,311.389,2.0,4,313.064,high,1.6744,1.3256,313.602,318.147,318.168,320.179,8.78942,320.179,322.148
26,26,0,3,4,4,5.000000e-01,0,1.0,25.0,322.401,2.0,4,324.271,high,1.87056,1.12944,324.807,327.648,327.665,329.68,7.27887,329.68,333.664
27,27,0,2,2,8,5.000000e-01,0,1.0,26.0,333.934,3.0,0,335.928,low,1.99392,1.00608,336.464,339.196,339.197,341.212,7.27763,341.212,343.181
28,28,1,3,2,2,5.000000e-01,8,1.0,27.0,343.438,3.0,8,344.971,high,1.53299,1.46701,345.513,348.697,348.716,350.729,7.29074,350.729,352.698
29,29,1,1,2,4,5.000000e-01,8,1.0,28.0,352.721,2.0,4,354.846,low,2.125,0.875001,355.388,357.98,358.0,360.011,7.28957,360.011,361.98
30,30,0,2,4,8,5.000000e-01,2,1.0,29.0,362.237,2.0,8,364.405,high,2.16778,0.832219,364.953,367.496,367.514,369.528,7.29058,369.528,373.497
31,31,0,3,2,2,2,0,1.0,30.0,373.753,2.0,2,375.263,high,1.5102,1.4898,375.8,380.513,380.531,382.545,8.79205,382.545,384.514
32,32,0,2,2,4,3.500000e+00,8,1.0,31.0,384.769,2.0,4,386.437,low,1.66749,1.33251,386.969,393.03,393.049,395.062,10.2922,395.062,397.031
33,33,0,3,2,4,5.000000e-01,8,1.0,32.0,397.263,2.0,4,399.443,low,2.18053,0.819467,399.986,402.516,402.533,404.547,7.28451,404.547,406.516
34,34,1,2,2,8,5.000000e-01,4,1.0,33.0,406.772,3.0,4,408.269,low,1.49635,1.50365,408.816,412.032,412.052,414.064,7.29129,414.064,416.033
35,35,1,2,2,8,5.000000e-01,2,1.0,34.0,416.276,2.0,8,418.061,high,1.78428,1.21572,418.598,421.533,421.533,423.549,7.27265,423.549,425.534
36,36,1,3,2,8,5.000000e-01,0,1.0,35.0,425.782,2.0,8,427.237,high,1.4545,1.5455,427.771,431.034,431.053,433.066,7.28348,433.066,435.035
