participant_id,age,sex
sub-104,20,M
sub-105,21,F
sub-106,20,F
sub-107,23,M
sub-108,21,F
sub-109,28,F
sub-110,20,M
sub-111,80,M
sub-112,23,F
sub-113,34,F
sub-115,21,F
sub-116,25,F
sub-117,20,F
sub-118,21,F
sub-120,18,M
sub-121,20,F
sub-122,20,F
sub-124,20,M
sub-125,21,F
sub-126,20,M
sub-127,76,F
sub-128,63,M
sub-129,68,M
sub-130,68,F
sub-131,65,M
sub-132,73,F
sub-133,70,M
sub-134,65,F
sub-135,69,M
sub-136,65,F
sub-137,72,M
sub-138,68,M
sub-140,68,M
sub-141,76,F
sub-142,70,F
sub-143,73,F
sub-144,72,M
sub-147,65,F
sub-149,66,M
sub-150,23,F
sub-151,65,F
sub-153,29,M
sub-154,67,F
sub-155,30,M
sub-156,30,F
sub-157,25,M
sub-158,26,M
sub-159,24,F
