TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,4,3.500000e+00,0,1.0,0.0,4.00732,3.0,0,5.78433,low,1.777,1.223,6.32253,12.269,12.2692,14.2873,10.28,14.2877,16.2585
2,2,0,1,4,8,5.000000e-01,4,1.0,1.0,16.2749,3.0,4,17.8778,low,1.60293,1.39707,18.416,21.5189,21.5325,23.5348,7.25987,23.5351,27.5263
3,3,1,2,2,2,5.000000e-01,0,1.0,2.0,27.8039,3.0,0,29.6874,low,1.88349,1.11651,30.2156,33.0639,33.0641,35.0688,7.26486,35.069,37.0536
4,4,1,2,2,8,2,0,1.0,3.0,37.3263,2.0,8,39.2788,high,1.95249,1.04751,39.8067,44.0823,44.0959,46.0861,8.75987,46.0864,48.0891
5,5,0,1,2,2,5.000000e-01,8,1.0,4.0,48.1095,2.0,2,49.6872,low,1.5777,1.4223,50.2152,53.3618,53.3758,55.3807,7.27122,55.381,57.3678
6,6,0,1,2,0,5.000000e-01,4,1.0,5.0,57.383,3.0,4,58.9444,high,1.56139,1.43861,59.4778,62.6405,62.6407,64.6436,7.26056,64.6439,66.6452
7,7,1,3,8,8,2,4,1.0,6.0,66.9169,2.0,8,68.4527,high,1.53576,1.46424,68.985,73.6712,73.6843,75.6816,8.76475,75.6819,83.672
8,8,1,1,8,2,5.000000e-01,0,1.0,7.0,83.6948,2.0,2,85.3328,high,1.63809,1.36191,85.8751,88.943,88.9583,90.9479,7.25318,90.9482,98.9427
9,9,0,1,2,2,2,4,1.0,8.0,98.9527,3.0,4,100.696,high,1.74298,1.25702,101.225,105.705,105.719,107.708,8.75574,107.709,109.71
10,10,0,3,2,4,5.000000e-01,8,1.0,9.0,109.959,3.0,8,111.471,high,1.51212,1.48788,112.009,115.205,115.218,117.215,7.25523,117.215,119.212
11,11,1,3,4,0,2,8,1.0,10.0,119.48,3.0,8,121.179,high,1.69991,1.30009,121.713,126.238,126.252,128.258,8.77861,128.258,132.234
12,12,1,2,4,2,5.000000e-01,4,1.0,11.0,132.515,3.0,4,134.123,high,1.60772,1.39228,134.642,137.772,137.785,139.783,7.26722,139.783,143.765
13,13,0,3,8,4,5.000000e-01,2,1.0,12.0,144.013,2.0,4,145.616,high,1.60256,1.39744,146.157,149.273,149.285,151.276,7.26299,151.277,159.271
14,14,1,2,6,4,2,0,1.0,13.0,159.515,2.0,4,161.296,high,1.78019,1.21981,161.836,166.268,166.281,168.286,8.77109,168.287,174.266
15,15,0,2,2,8,3.500000e+00,4,1.0,14.0,174.514,3.0,4,176.359,low,1.84495,1.15505,176.898,182.764,182.776,184.781,10.267,184.781,186.768
16,16,1,1,2,4,3.500000e+00,8,1.0,15.0,186.789,2.0,4,188.418,low,1.62839,1.37161,188.957,195.046,195.061,197.071,10.2811,197.071,199.051
17,17,1,1,4,2,5.000000e-01,4,1.0,16.0,199.066,3.0,4,200.794,high,1.72833,1.27167,201.334,204.323,204.323,206.343,7.27653,206.343,210.318
18,18,0,2,2,2,5.000000e-01,0,1.0,17.0,210.562,2.0,2,212.321,high,1.75869,1.24131,212.85,215.814,215.826,217.831,7.26894,217.831,219.815
19,19,0,2,2,4,2,0,1.0,18.0,220.047,3.0,0,221.795,low,1.74872,1.25128,222.333,226.807,226.807,228.815,8.76839,228.815,230.801
