Trial	cLeft	cRight	Partner	Reciprocate	ISI	ITI
1	2	4	3	0	4	10
2	0	1	2	1	2	8
3	2	4	2	1	2	8
4	2	4	1	1	4	2
5	1	4	2	1	6	2
6	0	2	3	0	6	2
