Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,4,1,0,5.000000e-01,4
2,0,2,2,1,5.000000e-01,2
3,4,8,3,0,5.000000e-01,4
4,8,2,3,0,2,2
5,8,0,1,0,2,4
6,2,4,3,1,2,2
7,2,4,2,0,5.000000e-01,2
8,4,0,1,0,2,2
9,8,0,2,1,5.000000e-01,6
10,0,2,1,0,3.500000e+00,8
11,4,8,1,1,5.000000e-01,6
12,8,0,2,0,3.500000e+00,4
13,2,8,1,1,5.000000e-01,4
14,4,0,1,1,2,2
15,2,8,2,0,5.000000e-01,2
16,2,0,1,1,5.000000e-01,8
17,8,2,2,1,5.000000e-01,6
18,8,0,3,1,5.000000e-01,2
19,4,2,2,1,5.000000e-01,2
20,8,4,3,1,3.500000e+00,2
21,4,2,1,1,3.500000e+00,2
22,0,4,2,1,2,2
23,0,4,3,1,5.000000e-01,4
24,0,2,2,0,2,2
25,8,2,1,0,3.500000e+00,4
26,8,0,3,0,5.000000e-01,6
27,0,2,3,0,5.000000e-01,2
28,4,8,1,0,2,2
29,8,2,3,1,5.000000e-01,2
30,0,4,3,0,2,4
31,8,4,2,0,3.500000e+00,4
32,8,0,1,1,5.000000e-01,8
33,4,2,3,0,2,4
34,0,4,2,0,5.000000e-01,2
35,0,2,3,1,5.000000e-01,6
36,4,8,2,1,5.000000e-01,2
