Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,0,1,0,2,6
2,8,4,3,0,5.000000e-01,2
3,2,4,2,1,3.500000e+00,2
4,8,0,3,1,5.000000e-01,4
5,2,0,1,1,5.000000e-01,2
6,2,8,3,1,2,2
7,4,0,2,0,5.000000e-01,2
8,4,2,2,0,3.500000e+00,4
9,0,4,3,0,5.000000e-01,2
10,0,2,2,1,2,6
11,2,8,2,0,2,2
12,4,0,2,1,5.000000e-01,4
13,2,8,1,1,5.000000e-01,2
14,0,8,2,0,5.000000e-01,6
15,4,0,3,1,2,2
16,4,8,2,0,2,4
17,0,4,1,0,5.000000e-01,8
18,4,0,1,1,5.000000e-01,2
19,8,0,3,0,5.000000e-01,2
20,8,4,1,1,3.500000e+00,4
21,0,2,3,0,3.500000e+00,2
22,0,8,1,0,5.000000e-01,2
23,2,8,2,1,5.000000e-01,4
24,4,8,1,0,5.000000e-01,6
25,2,0,3,1,3.500000e+00,2
26,2,0,2,0,2,2
27,4,8,3,1,5.000000e-01,6
28,2,8,1,0,3.500000e+00,2
29,8,2,3,0,2,8
30,0,8,1,1,5.000000e-01,4
31,2,4,1,0,2,4
32,2,4,1,1,5.000000e-01,2
33,4,2,3,0,5.000000e-01,8
34,8,4,2,1,5.000000e-01,4
35,2,4,3,1,5.000000e-01,2
36,0,8,2,1,2,4
