Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,0,3,1,5.000000e-01,6
2,0,8,2,1,5.000000e-01,2
3,2,0,1,0,5.000000e-01,2
4,8,2,3,1,3.500000e+00,8
5,4,0,3,0,2,2
6,8,2,1,0,2,6
7,0,2,3,0,5.000000e-01,2
8,4,2,2,1,5.000000e-01,2
9,8,4,3,1,5.000000e-01,2
10,0,2,2,0,3.500000e+00,2
11,4,2,2,0,5.000000e-01,2
12,0,4,3,1,3.500000e+00,2
13,2,8,2,0,5.000000e-01,2
14,8,2,1,1,5.000000e-01,6
15,0,4,1,0,2,4
16,8,0,1,1,2,4
17,4,8,2,1,5.000000e-01,2
18,8,0,3,0,5.000000e-01,6
19,4,2,3,1,5.000000e-01,2
20,8,4,2,0,5.000000e-01,4
21,8,0,1,0,5.000000e-01,4
22,2,4,1,1,2,2
23,2,0,2,1,2,2
24,4,2,1,0,2,8
25,4,8,1,0,3.500000e+00,2
26,4,8,1,1,5.000000e-01,4
27,2,8,2,1,5.000000e-01,2
28,8,2,3,0,3.500000e+00,4
29,8,4,3,0,2,8
30,0,4,1,1,5.000000e-01,4
31,4,0,2,1,3.500000e+00,4
32,0,2,3,1,5.000000e-01,2
33,2,4,3,0,5.000000e-01,4
34,0,4,2,0,2,2
35,8,0,2,0,5.000000e-01,4
36,0,2,1,1,2,6
