TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,3,6,0,5.000000e-01,2,1.0,0.0,4.38108,3.0,2,6.14008,high,1.75899,1.24101,6.6715,9.64165,9.65433,11.6571,7.27602,11.6575,17.6411
2,2,0,1,2,2,3.500000e+00,4,1.0,1.0,17.6617,999.0,999,20.6684,999,0.0,0.0,20.6824,25.9062,999.0,999.0,981.338,27.9375,29.9215
3,3,1,3,2,8,5.000000e-01,2,1.0,2.0,30.246,2.0,8,31.5944,high,1.3484,1.6516,32.1222,35.4992,35.5128,37.5147,7.26872,37.515,39.4989
4,4,0,3,4,8,5.000000e-01,4,1.0,3.0,39.7677,2.0,8,40.852,high,1.08434,1.91566,41.3873,45.0298,45.0426,47.0452,7.27758,47.0455,51.0293
5,5,1,1,4,2,2,4,1.0,4.0,51.0442,3.0,4,52.7284,high,1.68423,1.31577,53.2618,57.7945,57.8092,59.8255,8.78135,59.8258,63.794
6,6,1,3,8,8,5.000000e-01,4,1.0,5.0,64.1072,2.0,8,67.0401,high,2.93289,0.0671102,67.5733,69.3561,69.3695,71.3716,7.26434,71.3718,79.3554
7,7,1,2,2,4,3.500000e+00,8,1.0,6.0,79.5701,3.0,8,81.5686,high,1.99851,1.00149,82.105,87.8235,87.8387,89.8547,10.2845,89.8549,91.8232
8,8,0,2,2,8,2,0,1.0,7.0,92.0335,2.0,8,93.5453,high,1.51182,1.48818,94.0866,98.7915,98.8058,100.823,8.78908,100.823,102.791
9,9,0,2,8,8,3.500000e+00,4,1.0,8.0,103.008,2.0,8,104.921,high,1.91358,1.08642,105.461,111.259,111.26,113.275,10.2671,113.275,121.259
10,10,1,2,8,2,5.000000e-01,4,1.0,9.0,121.465,3.0,4,123.019,high,1.554,1.446,123.553,126.727,126.742,128.758,7.29267,128.758,136.726
11,11,1,1,6,0,2,4,1.0,10.0,136.74,3.0,4,138.182,high,1.44165,1.55835,138.724,143.491,143.506,145.523,8.78217,145.523,151.491
12,12,0,3,4,8,2,0,1.0,11.0,151.83,2.0,8,154.812,high,2.98261,0.0173897,155.348,158.584,158.596,160.6,8.7698,160.6,164.584
13,13,0,1,4,0,2,2,1.0,12.0,164.606,999.0,999,167.606,999,0.0,0.0,167.62,171.349,999.0,999.0,834.394,173.38,177.364
14,14,0,1,2,0,3.500000e+00,4,1.0,13.0,177.373,3.0,4,179.049,high,1.67549,1.32451,179.581,185.629,185.643,187.644,10.2712,187.645,189.629
15,15,1,2,2,0,5.000000e-01,8,1.0,14.0,189.867,3.0,8,191.359,high,1.49186,1.50814,191.892,195.128,195.144,197.159,7.29231,197.16,199.128
16,16,0,3,2,8,2,2,1.0,15.0,199.468,2.0,8,201.384,high,1.91553,1.08447,201.923,206.221,206.234,208.237,8.76839,208.237,210.221
17,17,1,3,2,0,2,8,1.0,16.0,210.508,999.0,999,213.51,999,0.0,0.0,213.525,217.252,999.0,999.0,788.492,219.283,221.267
18,18,0,2,2,0,5.000000e-01,4,1.0,17.0,221.476,3.0,4,224.152,high,2.67664,0.323357,224.687,226.735,226.751,228.766,7.29062,228.767,230.735
19,19,1,3,4,0,5.000000e-01,2,1.0,18.0,231.06,3.0,2,232.876,high,1.81596,1.18404,233.405,236.313,236.327,238.344,7.28348,238.344,242.312
20,20,1,2,4,0,2,4,1.0,19.0,242.554,999.0,999,245.57,999,0.0,0.0,245.584,249.296,999.0,999.0,756.446,251.328,255.311
21,21,1,1,2,0,5.000000e-01,2,1.0,20.0,255.325,3.0,2,256.779,high,1.45438,1.54562,257.309,260.577,260.592,262.608,7.28294,262.608,264.576
22,22,0,1,2,8,5.000000e-01,0,1.0,21.0,264.592,2.0,8,265.97,high,1.37807,1.62193,266.511,269.842,269.856,271.873,7.28089,271.873,273.841
23,23,0,2,2,2,5.000000e-01,8,1.0,22.0,274.056,999.0,999,277.062,999,0.0,0.0,277.077,279.31,999.0,999.0,724.944,281.341,283.309
24,24,1,1,4,8,5.000000e-01,0,1.0,23.0,283.33,2.0,8,284.636,high,1.30543,1.69457,285.167,288.59,288.605,290.621,7.29119,290.622,294.59
25,25,1,3,6,0,2,4,1.0,24.0,294.919,3.0,4,296.312,high,1.39316,1.60684,296.853,301.667,301.681,303.683,8.76412,303.683,309.667
26,26,1,3,6,4,5.000000e-01,2,1.0,25.0,309.944,2.0,4,312.342,high,2.39802,0.60198,312.883,315.198,315.198,317.213,7.2695,317.213,323.197
27,27,1,2,4,8,5.000000e-01,2,1.0,26.0,323.407,2.0,8,325.135,high,1.72825,1.27175,325.663,328.665,328.681,330.697,7.28936,330.697,334.665
28,28,0,2,2,2,5.000000e-01,4,1.0,27.0,334.873,999.0,999,337.879,999,0.0,0.0,337.893,340.118,999.0,999.0,664.127,342.149,344.133
29,29,0,1,2,4,5.000000e-01,8,1.0,28.0,344.153,3.0,8,346.119,high,1.96636,1.03364,346.646,349.414,349.427,351.429,7.27644,351.43,353.414
30,30,1,2,6,2,2,0,1.0,29.0,353.63,2.0,2,355.428,high,1.79832,1.20168,355.958,360.382,360.397,362.413,8.78346,362.413,368.381
31,31,1,1,2,2,5.000000e-01,8,1.0,30.0,368.396,999.0,999,371.407,999,0.0,0.0,371.421,373.647,999.0,999.0,630.604,375.678,377.646
32,32,0,3,2,4,5.000000e-01,0,1.0,31.0,377.979,3.0,0,379.68,low,1.70145,1.29855,380.222,383.24,383.24,385.255,7.27629,385.255,387.239
33,33,0,1,4,2,3.500000e+00,8,1.0,32.0,387.262,3.0,8,389.605,high,2.34374,0.656261,390.143,395.52,395.533,397.535,10.2739,397.536,401.52
34,34,0,2,4,2,5.000000e-01,0,1.0,33.0,401.755,2.0,2,403.6,high,1.84471,1.15529,404.142,407.003,407.018,409.035,7.27945,409.035,413.003
35,35,0,3,2,2,3.500000e+00,4,1.0,34.0,413.34,3.0,4,414.993,high,1.65266,1.34734,415.532,421.596,421.609,423.612,10.2717,423.612,425.596
36,36,1,1,2,4,5.000000e-01,8,1.0,35.0,425.616,3.0,8,427.52,high,1.90314,1.09686,428.047,430.877,430.892,432.908,7.29151,432.908,434.876
