TrialNumber,IsFairBlock,Trialn,Offer,Partner,ITI,Blockn,ran,order,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,8,3,0.750000,1,1.0,0.0,4.01836,3.0,1.64809,5.66644,7.52992,3.51208,7.53058,8.29551
2,1,2,6,3,0.750000,1,1.0,1.0,8.29915,3.0,1.08716,9.38631,11.8109,3.51216,11.8114,12.5765
3,1,3,10,3,0.750000,1,1.0,2.0,12.5789,3.0,1.16088,13.7398,16.0918,3.51335,16.0924,16.8574
4,1,4,7,3,0.750000,1,1.0,3.0,16.8598,3.0,1.55037,18.4102,20.3728,3.51337,20.3733,21.1384
5,1,5,7,3,0.750000,1,1.0,4.0,21.1408,3.0,1.53957,22.6804,24.6537,3.51329,24.6543,25.4193
6,1,6,7,3,0.750000,1,1.0,5.0,25.4218,3.0,1.02812,26.4499,28.9347,3.51352,28.9355,29.7002
7,1,7,4,3,0.750000,1,1.0,6.0,29.7027,3.0,1.01752,30.7202,33.2313,3.529,33.2318,33.9968
8,1,8,8,3,12,1,1.0,7.0,33.9994,3.0,1.0243,35.0237,37.5122,3.5132,37.5127,49.5269
9,1,9,7,1,0.750000,2,1.0,8.0,49.5301,3.0,1.2568,50.7869,53.0423,3.5126,53.0428,53.8079
10,1,10,6,1,0.750000,2,1.0,9.0,53.8103,3.0,1.02953,54.8398,57.3232,3.51335,57.3237,58.0888
11,1,11,9,1,0.750000,2,1.0,10.0,58.0912,3.0,1.01894,59.1101,61.6042,3.51336,61.6047,62.3698
12,1,12,8,1,0.750000,2,1.0,11.0,62.3723,3.0,1.15831,63.5306,65.9007,3.52886,65.9013,66.6663
13,1,13,10,1,0.750000,2,1.0,12.0,66.6686,3.0,1.03185,67.7005,70.1973,3.52909,70.1979,70.9629
14,1,14,8,1,0.750000,2,1.0,13.0,70.9652,3.0,1.37265,72.3378,74.4782,3.51344,74.4789,75.2438
15,1,15,7,1,0.750000,2,1.0,14.0,75.2462,3.0,1.04475,76.291,78.7592,3.51335,78.7597,79.5248
16,1,16,2,1,10,2,1.0,15.0,79.527,3.0,1.01725,80.5443,83.0557,3.52908,83.0562,93.0706
17,0,17,6,3,0.750000,3,1.0,16.0,93.0745,3.0,1.34828,94.4228,96.586,3.51189,96.5865,97.3516
18,0,18,4,3,0.750000,3,1.0,17.0,97.3553,3.0,1.93796,99.2933,100.883,3.52761,100.883,101.648
19,0,19,3,3,0.750000,3,1.0,18.0,101.651,3.0,1.59595,103.247,105.179,3.52893,105.18,105.945
20,0,20,3,3,0.750000,3,1.0,19.0,105.947,3.0,1.01914,106.966,109.46,3.51322,109.461,110.226
21,0,21,10,3,0.750000,3,1.0,20.0,110.228,3.0,1.07521,111.303,113.741,3.51319,113.742,114.507
22,0,22,3,3,0.750000,3,1.0,21.0,114.509,3.0,1.03065,115.54,118.022,3.5133,118.022,118.788
23,0,23,4,3,0.750000,3,1.0,22.0,118.79,3.0,1.13707,119.927,122.302,3.51223,122.302,123.067
24,0,24,4,3,8,3,1.0,23.0,123.07,3.0,1.04394,124.114,126.583,3.51334,126.583,134.598
25,1,25,9,3,0.750000,4,1.0,24.0,134.6,3.0,1.44024,136.04,138.113,3.5134,138.114,138.879
26,1,26,10,3,0.750000,4,1.0,25.0,138.881,3.0,1.21234,140.094,142.394,3.51329,142.395,143.16
27,1,27,10,3,0.750000,4,1.0,26.0,143.162,3.0,1.7686,144.931,146.675,3.51317,146.675,147.441
28,1,28,6,3,0.750000,4,1.0,27.0,147.443,3.0,1.7414,149.185,150.956,3.5132,150.956,151.722
29,1,29,4,3,0.750000,4,1.0,28.0,151.724,3.0,1.68049,153.404,155.237,3.51333,155.237,156.002
30,1,30,10,3,0.750000,4,1.0,29.0,156.005,3.0,1.48617,157.491,159.533,3.52896,159.534,160.299
31,1,31,9,3,0.750000,4,1.0,30.0,160.302,3.0,1.55983,161.861,163.814,3.51321,163.815,164.58
32,1,32,9,3,8,4,1.0,31.0,164.582,3.0,1.49922,166.082,168.095,3.5133,168.096,176.11
33,1,33,8,2,0.750000,5,1.0,32.0,176.114,3.0,1.67759,177.791,179.626,3.51249,179.626,180.391
34,1,34,10,2,0.750000,5,1.0,33.0,180.394,3.0,1.43397,181.828,183.907,3.51324,183.907,184.672
35,1,35,1,2,0.750000,5,1.0,34.0,184.675,3.0,1.37311,186.048,188.188,3.51324,188.188,188.953
36,1,36,10,2,0.750000,5,1.0,35.0,188.956,3.0,1.02843,189.984,192.469,3.51317,192.469,193.234
37,1,37,8,2,0.750000,5,1.0,36.0,193.237,3.0,1.01777,194.254,196.765,3.52892,196.766,197.531
38,1,38,5,2,0.750000,5,1.0,37.0,197.533,3.0,1.02481,198.558,201.046,3.51327,201.047,201.812
39,1,39,10,2,0.750000,5,1.0,38.0,201.814,3.0,1.1643,202.978,205.327,3.51327,205.328,206.093
40,1,40,7,2,8,5,1.0,39.0,206.095,3.0,1.01997,207.115,209.608,3.5133,209.608,217.623
41,0,41,8,3,0.750000,6,1.0,40.0,217.626,3.0,1.08167,218.708,221.138,3.5126,221.139,221.904
42,0,42,4,3,0.750000,6,1.0,41.0,221.906,3.0,1.02154,222.928,225.419,3.51333,225.42,226.185
43,0,43,4,3,0.750000,6,1.0,42.0,226.187,3.0,1.32801,227.515,229.716,3.52882,229.716,230.481
44,0,44,5,3,0.750000,6,1.0,43.0,230.484,3.0,1.40179,231.886,233.997,3.51334,233.997,234.762
45,0,45,2,3,0.750000,6,1.0,44.0,234.765,3.0,1.52421,236.289,238.278,3.51319,238.278,239.043
46,0,46,2,3,0.750000,6,1.0,45.0,239.046,3.0,1.31335,240.359,242.566,3.52061,242.566,243.331
47,0,47,4,3,0.750000,6,1.0,46.0,243.334,3.0,1.39559,244.729,246.847,3.51338,246.847,247.612
48,0,48,1,3,10,6,1.0,47.0,247.615,3.0,1.48489,249.1,251.143,3.52897,251.144,261.158
49,0,49,3,1,0.750000,7,1.0,48.0,261.161,3.0,1.58291,262.744,264.674,3.51269,264.674,265.439
50,0,50,2,1,0.750000,7,1.0,49.0,265.442,3.0,1.17245,266.614,268.97,3.52893,268.971,269.736
51,0,51,6,1,0.750000,7,1.0,50.0,269.738,3.0,1.14622,270.884,273.251,3.51347,273.252,274.017
52,0,52,3,1,0.750000,7,1.0,51.0,274.019,3.0,1.01828,275.037,277.532,3.51337,277.533,278.298
53,0,53,4,1,0.750000,7,1.0,52.0,278.3,3.0,1.0242,279.324,281.813,3.51332,281.814,282.579
54,0,54,1,1,0.750000,7,1.0,53.0,282.581,3.0,1.23009,283.811,286.094,3.51332,286.095,286.86
55,0,55,1,1,0.750000,7,1.0,54.0,286.862,3.0,1.38663,288.249,290.375,3.51337,290.375,291.141
56,0,56,10,1,12,7,1.0,55.0,291.143,3.0,1.49268,292.636,294.656,3.51341,294.656,306.671
57,1,57,9,2,0.750000,8,1.0,56.0,306.674,3.0,1.2578,307.932,310.186,3.51264,310.187,310.952
58,1,58,8,2,0.750000,8,1.0,57.0,310.955,3.0,1.02953,311.984,314.467,3.51254,314.467,315.233
59,1,59,8,2,0.750000,8,1.0,58.0,315.235,3.0,1.01986,316.255,318.748,3.51323,318.748,319.513
60,1,60,8,2,0.750000,8,1.0,59.0,319.516,3.0,1.29248,320.809,323.029,3.5132,323.029,323.794
61,1,61,10,2,0.750000,8,1.0,60.0,323.797,3.0,1.38205,325.179,327.31,3.51333,327.31,328.075
62,1,62,10,2,0.750000,8,1.0,61.0,328.078,3.0,1.37127,329.449,331.591,3.5133,331.591,332.356
63,1,63,4,2,0.750000,8,1.0,62.0,332.359,3.0,1.39381,333.753,335.872,3.51325,335.872,336.637
64,1,64,6,2,10,8,1.0,63.0,336.64,3.0,1.13288,337.773,340.153,3.51329,340.153,350.167
