Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,4,3,1,2,2
2,4,2,1,0,5.000000e-01,2
3,2,0,3,1,5.000000e-01,2
4,8,4,3,1,5.000000e-01,6
5,2,0,1,0,5.000000e-01,2
6,4,2,2,0,5.000000e-01,4
7,0,4,1,0,3.500000e+00,4
8,8,0,2,0,2,8
9,4,8,2,1,5.000000e-01,4
10,0,2,3,0,2,2
11,8,2,3,0,2,2
12,4,0,1,1,5.000000e-01,8
13,4,8,1,0,5.000000e-01,6
14,4,0,2,0,2,4
15,4,0,2,1,2,8
16,8,0,3,0,2,4
17,8,4,3,0,5.000000e-01,4
18,2,0,2,1,3.500000e+00,2
19,8,0,3,1,2,2
20,4,8,1,1,3.500000e+00,6
21,2,8,2,0,2,2
22,8,2,1,0,3.500000e+00,4
23,2,8,1,1,5.000000e-01,6
24,8,0,1,0,3.500000e+00,2
25,4,0,3,0,2,2
26,2,4,2,1,5.000000e-01,4
27,4,8,2,0,3.500000e+00,2
28,0,2,1,1,5.000000e-01,4
29,0,8,2,1,5.000000e-01,2
30,8,2,2,1,5.000000e-01,2
31,4,2,3,0,5.000000e-01,6
32,2,4,1,1,5.000000e-01,4
33,8,2,3,1,5.000000e-01,2
34,0,2,2,0,5.000000e-01,2
35,0,4,3,1,5.000000e-01,2
36,0,8,1,1,5.000000e-01,2
