Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,0,3,1,3.500000e+00,6
2,8,4,1,1,5.000000e-01,4
3,2,8,1,1,5.000000e-01,2
4,0,4,2,1,5.000000e-01,4
5,0,4,2,0,5.000000e-01,4
6,4,8,3,1,5.000000e-01,4
7,2,0,1,0,2,4
8,2,0,3,0,5.000000e-01,2
9,0,8,2,1,3.500000e+00,4
10,8,0,1,1,5.000000e-01,2
11,4,8,3,0,2,2
12,0,4,3,1,5.000000e-01,2
13,8,0,2,0,5.000000e-01,4
14,8,2,3,1,2,4
15,0,2,2,0,5.000000e-01,2
16,0,4,1,0,3.500000e+00,2
17,4,2,1,1,2,2
18,8,4,1,0,5.000000e-01,2
19,2,8,1,0,5.000000e-01,2
20,0,8,1,0,2,8
21,8,0,3,0,5.000000e-01,8
22,4,2,1,0,5.000000e-01,4
23,2,4,2,1,5.000000e-01,2
24,4,8,2,0,3.500000e+00,6
25,4,2,3,1,3.500000e+00,4
26,0,8,3,1,3.500000e+00,2
27,2,8,2,0,5.000000e-01,2
28,4,0,1,1,5.000000e-01,8
29,0,2,1,1,5.000000e-01,6
30,8,2,3,0,5.000000e-01,2
31,4,0,3,0,2,2
32,4,8,2,1,2,6
33,4,2,2,0,2,2
34,2,8,2,1,5.000000e-01,2
35,2,4,3,0,2,2
36,2,0,2,1,2,6
