Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,0,1,1,3.500000e+00,2
2,8,0,1,1,5.000000e-01,2
3,2,4,3,1,2,2
4,8,2,2,0,3.500000e+00,2
5,8,0,3,1,5.000000e-01,4
6,0,2,1,0,2,4
7,2,0,3,1,5.000000e-01,6
8,2,4,2,0,5.000000e-01,2
9,0,4,3,0,5.000000e-01,2
10,0,4,2,0,3.500000e+00,2
11,0,4,2,1,3.500000e+00,4
12,0,4,1,0,5.000000e-01,2
13,8,2,2,1,3.500000e+00,4
14,4,8,1,0,2,6
15,0,2,1,1,2,2
16,0,2,3,0,5.000000e-01,2
17,2,0,2,1,5.000000e-01,4
18,2,4,3,0,2,8
19,4,2,1,1,5.000000e-01,4
20,2,0,2,0,5.000000e-01,2
21,8,0,1,0,5.000000e-01,4
22,0,4,3,1,2,6
23,8,0,2,1,5.000000e-01,8
24,4,2,1,0,5.000000e-01,4
25,4,8,3,1,5.000000e-01,4
26,0,8,3,0,2,2
27,4,8,2,0,2,2
28,8,4,1,1,5.000000e-01,2
29,2,4,2,1,2,6
30,8,2,1,0,5.000000e-01,2
31,8,2,3,0,3.500000e+00,8
32,8,4,3,0,5.000000e-01,2
33,4,8,2,1,5.000000e-01,2
34,2,8,3,1,5.000000e-01,4
35,8,0,2,0,2,6
36,2,8,1,1,5.000000e-01,2
