TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,3,2,8,2,2,1.0,0.0,4.29447,2.0,8,5.84373,high,1.54926,1.45074,6.38608,11.0429,11.0569,13.0584,8.76393,13.0588,15.0426
2,2,1,2,4,0,3.500000e+00,4,1.0,1.0,15.3178,2.0,0,16.7022,low,1.3844,1.6156,17.2434,23.5733,23.5734,25.5888,10.2709,25.589,29.5729
3,3,1,3,6,0,5.000000e-01,2,1.0,2.0,29.8644,3.0,2,31.4981,high,1.63372,1.36628,32.0394,35.1193,35.1343,37.1504,7.28608,37.1507,43.1188
4,4,0,2,2,4,2,8,1.0,3.0,43.3785,3.0,8,44.959,high,1.5805,1.4195,45.4916,50.1339,50.147,52.1494,8.77089,52.1497,54.1336
5,5,1,3,4,2,3.500000e+00,8,1.0,4.0,54.4061,2.0,2,55.9511,low,1.54494,1.45506,56.49,62.6642,62.6775,64.6797,10.2736,64.68,68.6638
6,6,0,2,4,8,2,0,1.0,5.0,68.9454,2.0,8,70.48,high,1.53463,1.46537,71.0205,75.6946,75.7075,77.7101,8.7647,77.7103,81.6941
7,7,1,2,4,8,5.000000e-01,0,1.0,6.0,81.9325,2.0,8,83.3573,high,1.42478,1.57522,83.8951,87.1938,87.2082,89.2248,7.2923,89.2251,93.1933
8,8,0,3,2,0,5.000000e-01,2,1.0,7.0,93.4844,3.0,2,95.1339,high,1.6495,1.3505,95.6753,98.7398,98.7522,100.755,7.27096,100.756,102.74
9,9,0,1,2,0,5.000000e-01,4,1.0,8.0,102.771,3.0,4,104.258,high,1.48681,1.51319,104.799,108.02,108.034,110.036,7.26471,110.036,112.02
10,10,0,1,4,8,2,0,1.0,9.0,112.038,2.0,8,113.465,high,1.42774,1.57226,114.002,118.801,118.801,120.816,8.77869,120.817,124.8
11,11,1,2,2,4,5.000000e-01,2,1.0,10.0,125.097,2.0,4,126.576,high,1.47887,1.52113,127.111,130.347,130.361,132.362,7.26536,132.363,134.347
12,12,0,2,4,2,5.000000e-01,0,1.0,11.0,134.59,2.0,2,136.134,high,1.54445,1.45555,136.673,139.846,139.859,141.862,7.27186,141.862,145.846
13,13,1,3,2,2,2,4,1.0,12.0,146.1,2.0,2,147.71,low,1.61056,1.38944,148.25,152.861,152.874,154.876,8.77672,154.877,156.861
14,14,0,2,4,2,5.000000e-01,4,1.0,13.0,157.098,3.0,4,158.786,high,1.68814,1.31186,159.327,162.36,162.373,164.376,7.27785,164.376,168.36
15,15,0,1,2,8,5.000000e-01,2,1.0,14.0,168.38,2.0,8,170.596,high,2.2155,0.784498,171.123,173.641,173.654,175.656,7.27587,175.656,177.64
16,16,1,2,6,0,5.000000e-01,2,1.0,15.0,177.887,3.0,2,179.336,high,1.44918,1.55082,179.872,183.14,183.154,185.171,7.28413,185.171,191.14
17,17,1,3,6,0,5.000000e-01,4,1.0,16.0,191.391,3.0,4,192.864,high,1.47306,1.52694,193.403,196.655,196.668,198.67,7.27913,198.671,204.654
18,18,1,1,6,0,5.000000e-01,8,1.0,17.0,204.668,3.0,8,206.525,high,1.85752,1.14248,207.058,209.919,209.934,211.951,7.28263,211.951,217.919
19,19,1,1,4,8,5.000000e-01,4,1.0,18.0,217.934,2.0,8,219.403,high,1.46829,1.53171,219.933,223.184,223.184,225.2,7.26531,225.2,229.184
20,20,1,2,2,8,3.500000e+00,4,1.0,19.0,229.423,2.0,8,230.879,high,1.45568,1.54432,231.416,237.683,237.697,239.714,10.2911,239.714,241.683
21,21,0,3,2,8,5.000000e-01,0,1.0,20.0,241.933,2.0,8,243.155,high,1.22273,1.77727,243.696,247.182,247.195,249.198,7.26536,249.198,251.182
22,22,0,2,4,4,5.000000e-01,0,1.0,21.0,251.426,2.0,4,252.93,high,1.50471,1.49529,253.461,256.682,256.695,258.697,7.27164,258.698,262.681
23,23,0,1,4,8,5.000000e-01,4,1.0,22.0,262.703,3.0,4,265.024,low,2.32073,0.67927,265.553,267.962,267.976,269.978,7.27483,269.978,273.962
24,24,1,3,2,4,3.500000e+00,8,1.0,23.0,274.214,2.0,4,276.049,low,1.83577,1.16423,276.585,282.477,282.49,284.492,10.2787,284.493,286.477
25,25,0,2,2,2,5.000000e-01,8,1.0,24.0,286.717,3.0,8,288.527,high,1.80954,1.19046,289.068,291.976,291.989,293.992,7.27421,293.992,295.976
26,26,1,1,2,2,5.000000e-01,8,1.0,25.0,295.984,3.0,8,298.284,high,2.30065,0.699349,298.817,301.241,301.256,303.272,7.28859,303.272,305.241
27,27,1,1,2,4,2,0,1.0,26.0,305.256,2.0,4,307.142,high,1.88534,1.11466,307.676,312.006,312.006,314.021,8.76503,314.022,316.006
28,28,1,2,2,8,3.500000e+00,2,1.0,27.0,316.257,2.0,8,318.367,high,2.11056,0.889439,318.909,324.521,324.535,326.536,10.2793,326.536,328.52
29,29,0,3,8,0,2,4,1.0,28.0,328.776,3.0,4,330.694,high,1.91856,1.08144,331.221,335.536,335.549,337.551,8.7753,337.551,345.535
30,30,1,3,6,8,2,0,1.0,29.0,345.82,2.0,8,347.608,high,1.78808,1.21192,348.143,352.581,352.595,354.597,8.77635,354.597,360.581
31,31,1,1,2,2,2,4,1.0,30.0,360.601,3.0,4,362.387,high,1.78653,1.21347,362.922,367.361,367.377,369.392,8.79186,369.393,371.361
32,32,0,3,2,4,5.000000e-01,8,1.0,31.0,371.619,3.0,8,373.513,high,1.89412,1.10588,374.046,376.876,376.889,378.892,7.27294,378.892,380.876
33,33,0,1,8,2,3.500000e+00,4,1.0,32.0,380.897,3.0,4,382.67,high,1.77345,1.22655,383.202,389.157,389.17,391.172,10.2753,391.172,399.156
