Trialn,Blockn,Partner,IsFairBlock,Offer,ITI,PartnerKeeps
1,1,1,0,1,8,18
2,1,3,0,3,0.75,16
3,1,2,0,2,0.75,19
4,1,2,1,6,0.75,12
5,1,1,1,7,0.75,19
6,1,3,1,7,0.75,16
