Trialn,Blockn,BlockType,Partner,Feedback,ITI
1,1,3,2,1,8
2,1,3,2,1,0.75
3,1,3,2,1,0.75
4,1,3,2,1,0.75
5,1,3,2,2,0.75
6,1,3,2,1,0.75
7,1,3,2,3,0.75
8,1,3,2,1,0.75
9,2,1,1,1,10
10,2,1,1,1,0.75
11,2,1,1,1,0.75
12,2,1,1,1,0.75
13,2,1,1,3,0.75
14,2,1,1,1,0.75
15,2,1,1,3,0.75
16,2,1,1,1,0.75
17,3,3,2,1,8
18,3,3,2,1,0.75
19,3,3,2,2,0.75
20,3,3,2,1,0.75
21,3,3,2,2,0.75
22,3,3,2,1,0.75
23,3,3,2,1,0.75
24,3,3,2,1,0.75
25,4,6,3,3,10
26,4,6,3,3,0.75
27,4,6,3,3,0.75
28,4,6,3,1,0.75
29,4,6,3,3,0.75
30,4,6,3,3,0.75
31,4,6,3,1,0.75
32,4,6,3,3,0.75
33,5,1,1,1,10
34,5,1,1,2,0.75
35,5,1,1,1,0.75
36,5,1,1,1,0.75
37,5,1,1,1,0.75
38,5,1,1,1,0.75
39,5,1,1,1,0.75
40,5,1,1,2,0.75
41,6,2,1,1,8
42,6,2,1,3,0.75
43,6,2,1,3,0.75
44,6,2,1,3,0.75
45,6,2,1,2,0.75
46,6,2,1,3,0.75
47,6,2,1,3,0.75
48,6,2,1,3,0.75
49,7,4,2,2,8
50,7,4,2,3,0.75
51,7,4,2,3,0.75
52,7,4,2,3,0.75
53,7,4,2,2,0.75
54,7,4,2,3,0.75
55,7,4,2,3,0.75
56,7,4,2,3,0.75
57,8,3,2,1,8
58,8,3,2,1,0.75
59,8,3,2,1,0.75
60,8,3,2,1,0.75
61,8,3,2,3,0.75
62,8,3,2,1,0.75
63,8,3,2,1,0.75
64,8,3,2,2,0.75
65,9,5,3,1,12
66,9,5,3,1,0.75
67,9,5,3,1,0.75
68,9,5,3,2,0.75
69,9,5,3,1,0.75
70,9,5,3,1,0.75
71,9,5,3,3,0.75
72,9,5,3,1,0.75
73,10,2,1,3,12
74,10,2,1,3,0.75
75,10,2,1,3,0.75
76,10,2,1,3,0.75
77,10,2,1,2,0.75
78,10,2,1,3,0.75
79,10,2,1,2,0.75
80,10,2,1,3,0.75
81,11,4,2,3,10
82,11,4,2,1,0.75
83,11,4,2,3,0.75
84,11,4,2,3,0.75
85,11,4,2,3,0.75
86,11,4,2,3,0.75
87,11,4,2,3,0.75
88,11,4,2,1,0.75
89,12,6,3,3,8
90,12,6,3,3,0.75
91,12,6,3,1,0.75
92,12,6,3,3,0.75
93,12,6,3,3,0.75
94,12,6,3,3,0.75
95,12,6,3,1,0.75
96,12,6,3,3,0.75
97,13,2,1,3,10
98,13,2,1,3,0.75
99,13,2,1,3,0.75
100,13,2,1,1,0.75
101,13,2,1,3,0.75
102,13,2,1,3,0.75
103,13,2,1,3,0.75
104,13,2,1,2,0.75
105,14,5,3,1,8
106,14,5,3,1,0.75
107,14,5,3,1,0.75
108,14,5,3,3,0.75
109,14,5,3,1,0.75
110,14,5,3,1,0.75
111,14,5,3,3,0.75
112,14,5,3,1,0.75
113,15,4,2,3,8
114,15,4,2,3,0.75
115,15,4,2,1,0.75
116,15,4,2,3,0.75
117,15,4,2,3,0.75
118,15,4,2,3,0.75
119,15,4,2,3,0.75
120,15,4,2,1,0.75
121,16,5,3,3,12
122,16,5,3,1,0.75
123,16,5,3,1,0.75
124,16,5,3,1,0.75
125,16,5,3,3,0.75
126,16,5,3,1,0.75
127,16,5,3,1,0.75
128,16,5,3,1,0.75
129,17,1,1,1,8
130,17,1,1,1,0.75
131,17,1,1,3,0.75
132,17,1,1,1,0.75
133,17,1,1,3,0.75
134,17,1,1,1,0.75
135,17,1,1,1,0.75
136,17,1,1,1,0.75
137,18,6,3,3,10
138,18,6,3,3,0.75
139,18,6,3,3,0.75
140,18,6,3,3,0.75
141,18,6,3,3,0.75
142,18,6,3,2,0.75
143,18,6,3,3,0.75
144,18,6,3,2,0.75
