onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.025760	1.911340	choice_friend	1.911340	8	high	2	8
10.776000	1.000000	outcome_friend_recip	1.911340	8	high	2	8
14.795200	2.434500	choice_friend	2.434500	2	low	2	8
21.557500	1.000000	outcome_friend_defect	2.434500	2	low	2	8
27.577800	1.628440	choice_friend	1.628440	8	high	0	8
35.847300	1.000000	outcome_friend_recip	1.628440	8	high	0	8
42.056700	2.061740	choice_stranger	2.061740	4	high	0	4
47.321900	1.000000	outcome_stranger_defect	2.061740	4	high	0	4
51.341100	2.585780	choice_friend	2.585780	4	low	4	8
56.605200	1.000000	outcome_friend_defect	2.585780	4	low	4	8
60.837400	1.962860	choice_stranger	1.962860	4	high	0	4
69.096800	1.000000	outcome_stranger_recip	1.962860	4	high	0	4
75.104300	1.958130	choice_computer	1.958130	8	high	0	8
83.367900	1.000000	outcome_computer_recip	1.958130	8	high	0	8
87.400600	1.938570	choice_friend	1.938570	4	high	0	4
92.668400	1.000000	outcome_friend_recip	1.938570	4	high	0	4
96.669200	1.810480	choice_friend	1.810480	8	high	0	8
101.937000	1.000000	outcome_friend_defect	1.810480	8	high	0	8
112.140000	2.069710	choice_stranger	2.069710	4	high	2	4
118.892000	1.000000	outcome_stranger_defect	2.069710	4	high	2	4
124.903000	2.149930	choice_computer	2.149930	8	high	2	8
130.164000	1.000000	outcome_computer_recip	2.149930	8	high	2	8
138.398000	1.615820	choice_stranger	1.615820	0	low	0	8
150.674000	3.000000	missed_trial	3.000000	n/a	n/a	2	8
165.958000	1.661480	choice_friend	1.661480	4	high	0	4
171.228000	1.000000	outcome_friend_defect	1.661480	4	high	0	4
177.237000	1.910120	choice_computer	1.910120	2	low	2	4
182.499000	1.000000	outcome_computer_defect	1.910120	2	low	2	4
190.712000	2.195020	choice_stranger	2.195020	4	high	2	4
195.990000	1.000000	outcome_stranger_recip	2.195020	4	high	2	4
203.973000	1.977840	choice_computer	1.977840	0	low	0	4
216.756000	2.490470	choice_friend	2.490470	4	high	2	4
223.533000	1.000000	outcome_friend_recip	2.490470	4	high	2	4
227.534000	1.853720	choice_computer	1.853720	4	low	4	8
234.294000	1.000000	outcome_computer_recip	1.853720	4	low	4	8
238.324000	1.888930	choice_friend	1.888930	4	high	2	4
243.597000	1.000000	outcome_friend_defect	1.888930	4	high	2	4
249.601000	1.738050	choice_computer	1.738050	0	low	0	2
262.090000	1.994040	choice_stranger	1.994040	2	low	2	8
267.362000	1.000000	outcome_stranger_defect	1.994040	2	low	2	8
275.585000	2.008800	choice_stranger	2.008800	0	low	0	2
285.023000	2.328750	choice_stranger	2.328750	8	high	0	8
290.288000	1.000000	outcome_stranger_recip	2.328750	8	high	0	8
296.508000	3.004150	choice_stranger	3.004150	4	low	4	8
303.278000	1.000000	outcome_stranger_defect	3.004150	4	low	4	8
307.473000	1.547150	choice_stranger	1.547150	8	high	2	8
312.746000	1.000000	outcome_stranger_recip	1.547150	8	high	2	8
316.745000	2.450120	choice_computer	2.450120	4	high	2	4
322.022000	1.000000	outcome_computer_recip	2.450120	4	high	2	4
326.021000	1.963870	choice_friend	1.963870	2	high	0	2
331.296000	1.000000	outcome_friend_defect	1.963870	2	high	0	2
337.515000	2.347580	choice_stranger	2.347580	0	low	0	2
352.764000	1.775910	choice_computer	1.775910	0	low	0	2
366.238000	1.663040	choice_stranger	1.663040	8	high	4	8
373.007000	1.000000	outcome_stranger_recip	1.663040	8	high	4	8
379.006000	1.639960	choice_computer	1.639960	0	low	0	4
389.767000	2.937090	choice_computer	2.937090	8	high	4	8
398.019000	1.000000	outcome_computer_defect	2.937090	8	high	4	8
402.020000	1.860900	choice_computer	1.860900	0	low	0	8
411.300000	2.005170	choice_friend	2.005170	0	low	0	2
422.082000	1.765690	choice_friend	1.765690	8	high	4	8
427.357000	1.000000	outcome_friend_recip	1.765690	8	high	4	8
