Row,smith09_01,smith09_02,smith09_03,smith09_04,smith09_05,smith09_06,smith09_07,smith09_08,smith09_09,smith09_10
melodicIC_01,0.04,-0.05,-0.01,-0.18,-0.06,0.62,-0.06,0.06,-0.03,0.16
melodicIC_02,-0.02,-0.06,-0.01,-0.12,-0.02,-0.01,-0.15,0.57,0.02,0.03
melodicIC_03,0.02,-0.04,0.03,-0.03,-0,0.08,0.01,0.05,0.01,0.01
melodicIC_04,-0.1,-0.05,-0.07,0.06,-0.09,0.16,-0.16,-0.08,-0.04,-0.07
melodicIC_05,0.58,0.12,0.48,0.14,0,-0.04,-0.11,-0,-0.08,-0.04
melodicIC_06,0,0.04,0.05,0.11,0.06,0.07,0.37,0.1,-0.03,0.06
melodicIC_07,-0.02,-0.07,0.01,0.01,0.12,-0.03,0.01,-0,0.02,-0.05
melodicIC_08,-0.05,-0.06,-0.04,0.04,-0.09,-0.08,-0.04,-0.06,-0.06,-0.05
melodicIC_09,-0.01,0,0,0.03,-0.05,0.11,0,-0.09,-0.03,-0.01
melodicIC_10,0.03,0.06,0.12,-0.02,0.31,0.04,-0.01,0.01,0.01,0.06
melodicIC_11,0.07,0.01,-0.05,0.05,-0,0.05,0.59,0.1,0.04,0.01
melodicIC_12,0.05,0.01,0.01,-0.01,0.15,0.04,-0.02,-0.02,-0.03,0.03
melodicIC_13,0.08,0,-0.01,0.04,-0.02,0.05,-0.05,-0.05,0.01,0.05
melodicIC_14,0.05,0.08,0.12,0.06,0.07,-0.01,0.07,-0.04,-0.06,0.04
melodicIC_15,0.08,0.01,0.1,-0.14,0.05,-0.01,0.08,0.04,0.04,0
melodicIC_16,0.02,0.03,-0.05,0.47,-0.09,-0.03,-0.09,0.08,0.31,0.44
melodicIC_17,0.02,0.36,0.14,-0.11,-0.09,-0.08,-0.08,0.04,0.07,0.03
melodicIC_18,-0.01,-0.04,-0.08,0.11,-0.11,-0.01,0.03,0.02,-0.05,-0.07
melodicIC_19,0,-0.02,0.04,0.03,0.01,0.19,0.03,0.07,0.44,-0.13
melodicIC_20,0.01,0.01,0.04,-0.1,-0.02,-0.01,-0.03,0.03,0.13,0.04
melodicIC_21,0.01,-0.03,0.01,0.08,-0.04,0.08,0.01,0.03,-0.02,0.05
melodicIC_22,0,0.07,-0,-0.02,0.16,-0,0.02,0.08,0.05,0.05
melodicIC_23,0.03,-0.06,-0.01,-0.07,0.23,-0.1,-0.06,-0.06,-0.01,-0.1
melodicIC_24,0.11,0.14,-0.02,0.02,0.04,-0,-0.01,0.08,0.05,0.04
melodicIC_25,0.01,-0.1,-0.03,0.24,0.07,0.02,0.02,-0.02,-0.1,-0.09
