Row,smith09_01,smith09_02,smith09_03,smith09_04,smith09_05,smith09_06,smith09_07,smith09_08,smith09_09,smith09_10
melodicIC_001,0.02,0.02,0.1,-0,0.28,0.02,-0.02,0.04,0.01,0.04
melodicIC_002,-0.06,-0.01,-0.08,-0,-0.08,0.32,-0.13,-0.07,0.01,-0.03
melodicIC_003,-0,-0.02,0,0,0.08,0,-0,-0,-0.01,0.01
melodicIC_004,0.03,0,0.01,0,0.04,0.02,-0.01,0.02,0,0.03
melodicIC_005,-0.09,0.44,0.04,0.02,-0.06,-0.07,-0.02,0.01,-0.05,-0.01
melodicIC_006,-0.04,0.15,-0.13,0.03,0.04,-0.02,0.25,0.13,-0.02,0.02
melodicIC_007,0.01,-0.01,-0.01,0,0,0,-0.02,-0.02,-0,-0
melodicIC_008,-0.01,0.04,-0.07,-0.01,0.05,0.02,-0.18,0.17,0.16,0.05
melodicIC_009,-0.03,-0.08,0.03,-0.09,-0.04,0.03,-0.15,0.27,-0.04,-0.04
melodicIC_010,-0.02,-0.01,-0.02,0.02,-0,-0.08,-0.03,-0.02,-0.04,0
melodicIC_011,-0.04,-0.01,0.02,0.14,-0.08,-0.09,0,-0.06,-0.03,-0.07
melodicIC_012,-0,0.02,-0.02,0,-0.01,0.02,0,-0.04,0.02,-0.01
melodicIC_013,-0.01,0.02,-0.03,-0.05,0,NaN,-0.05,-0.03,-0.06,-0.02
melodicIC_014,-0,0.03,0.04,-0.02,-0.04,-0.04,-0.02,-0.01,0.01,-0.05
melodicIC_015,0.01,0.02,-0.02,-0,0.02,0.02,-0.03,0.01,0.02,0.01
melodicIC_016,-0.03,-0.01,0.03,0.1,0.01,0.01,-0.06,NaN,0.08,-0.04
melodicIC_017,-0.02,0.04,-0.02,0.02,0.17,-0.01,0,0.01,0.03,-0.01
melodicIC_018,-0.04,-0.03,0.03,0.02,-0,-0.03,-0.02,-0.01,-0.08,0.01
melodicIC_019,0.08,-0,-0.05,0.18,-0.06,0.05,-0.11,0.05,NaN,0.26
