TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,2,4,4,5.000000e-01,0,1.0,0.0,4.23196,2.0,4,5.65283,high,1.42087,1.57913,6.19535,9.47777,9.49397,11.5006,7.26862,11.5011,15.4855
2,2,1,1,4,0,2,8,1.0,1.0,15.5176,3.0,8,16.8263,high,1.30869,1.69131,17.3615,22.2652,22.2855,24.2959,8.77827,24.2962,28.2794
3,3,0,3,2,4,5.000000e-01,0,1.0,2.0,28.4989,2.0,4,29.9322,high,1.43331,1.56669,30.4927,33.7462,33.763,35.777,7.27806,35.7774,37.7609
4,4,1,2,2,8,5.000000e-01,2,1.0,3.0,37.9766,2.0,8,39.4577,high,1.48114,1.51886,39.9868,43.2275,43.2447,45.2557,7.27917,45.2561,47.2301
5,5,1,2,6,8,3.500000e+00,0,1.0,4.0,47.4288,2.0,8,48.6506,high,1.22181,1.77819,49.1854,55.6761,55.6763,57.6803,10.2515,57.6807,63.6775
6,6,0,1,4,2,2,8,1.0,5.0,63.7085,3.0,8,65.1706,high,1.46208,1.53792,65.7147,70.4713,70.4892,72.4979,8.78942,72.4983,76.4585
7,7,1,1,2,4,5.000000e-01,2,1.0,6.0,76.4782,3.0,2,78.0094,low,1.53121,1.46879,78.5447,81.7344,81.7535,83.7652,7.28698,83.7655,85.7335
8,8,0,1,4,0,5.000000e-01,2,1.0,7.0,85.7475,2.0,0,87.3685,low,1.62101,1.37899,87.9112,90.9949,90.9952,93.0115,7.26402,93.0118,96.9995
9,9,1,1,2,8,2,2,1.0,8.0,97.0133,2.0,8,98.5925,high,1.57919,1.42081,99.1337,103.776,103.776,105.781,8.76742,105.781,107.758
10,10,1,2,6,2,5.000000e-01,0,1.0,9.0,107.986,2.0,2,109.717,high,1.73135,1.26865,110.255,113.241,113.258,115.271,7.28592,115.272,121.233
11,11,0,3,2,0,5.000000e-01,8,1.0,10.0,121.474,3.0,8,122.906,high,1.43147,1.56853,123.442,126.729,126.747,128.76,7.2858,128.76,130.733
12,12,1,2,2,4,3.500000e+00,8,1.0,11.0,130.938,3.0,8,132.465,high,1.52715,1.47285,133.003,139.18,139.207,141.213,10.2753,141.213,143.197
13,13,1,3,4,0,5.000000e-01,2,1.0,12.0,143.411,3.0,2,144.621,high,1.20995,1.79005,145.167,148.669,148.687,150.7,7.2883,150.7,154.656
14,14,0,2,6,2,5.000000e-01,8,1.0,13.0,154.908,3.0,8,156.245,high,1.33695,1.66305,156.767,160.167,160.182,162.186,7.27814,162.187,168.163
15,15,0,2,2,8,5.000000e-01,4,1.0,14.0,168.409,2.0,8,170.45,high,2.04099,0.959013,170.999,173.649,173.65,175.665,7.25567,175.665,177.669
16,16,1,2,4,2,2,4,1.0,15.0,177.873,3.0,4,179.609,high,1.73593,1.26407,180.144,184.632,184.655,186.657,8.78371,186.658,190.625
17,17,0,2,2,2,3.500000e+00,4,1.0,16.0,190.867,3.0,4,192.232,high,1.36523,1.63477,192.776,199.126,199.142,201.157,10.2896,201.157,203.114
18,18,0,3,8,2,5.000000e-01,0,1.0,17.0,203.366,2.0,2,204.955,high,1.58932,1.41068,205.49,208.617,208.634,210.651,7.28499,210.651,218.615
19,19,1,3,2,8,5.000000e-01,0,1.0,18.0,218.862,2.0,8,220.309,high,1.44729,1.55271,220.842,224.119,224.138,226.153,7.29151,226.154,228.11
20,20,0,3,2,4,5.000000e-01,2,1.0,19.0,228.318,2.0,4,229.951,high,1.63361,1.36639,230.488,233.579,233.596,235.61,7.29253,235.61,237.567
21,21,0,1,2,2,5.000000e-01,4,1.0,20.0,237.599,3.0,4,239.077,high,1.47743,1.52257,239.613,242.85,242.868,244.87,7.27047,244.87,246.852
22,22,1,3,6,0,2,4,1.0,21.0,247.054,3.0,4,248.486,high,1.43227,1.56773,249.026,253.802,253.82,255.833,8.7791,255.833,261.814
23,23,1,3,2,8,2,4,1.0,22.0,262.059,2.0,8,263.441,high,1.38153,1.61847,263.986,268.82,268.82,270.835,8.7763,270.836,272.809
