TrialNumber,Trialn,Feedback,ITI,Partner,BlockType,Blockn,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,3,0.750000,2,4,1,1.0,0.0,4.27292,3.0,6.03029,1.75738,9.0,6.7946,7.81415,3.54124,7.8144,8.56542
2,2,3,0.750000,2,4,1,1.0,1.0,8.76312,0.0,999.0,999.0,999.0,11.2678,12.2902,3.52708,12.2904,13.0524
3,3,1,0.750000,2,4,1,1.0,2.0,13.2477,0.0,999.0,999.0,999.0,15.7549,16.781,3.53332,16.7812,17.5392
4,4,3,0.750000,2,4,1,1.0,3.0,17.736,0.0,999.0,999.0,999.0,20.2424,21.2598,3.52382,21.26,22.0264
5,5,3,0.750000,2,4,1,1.0,4.0,22.2337,0.0,999.0,999.0,999.0,24.7455,25.7658,3.53212,25.766,26.5302
6,6,2,0.750000,2,4,1,1.0,5.0,26.7264,0.0,999.0,999.0,999.0,29.2331,30.2637,3.53722,30.2639,31.0169
7,7,3,0.750000,2,4,1,1.0,6.0,31.2054,0.0,999.0,999.0,999.0,33.7195,34.7439,3.53851,34.7442,35.504
8,8,3,10,2,4,1,1.0,7.0,35.6965,0.0,999.0,999.0,999.0,38.2067,39.2268,3.53028,39.227,49.232
9,9,1,0.750000,2,3,2,1.0,8.0,49.4703,3.0,51.1175,1.64716,3.0,51.9966,53.0147,3.54438,53.0149,53.7688
10,10,1,0.750000,2,3,2,1.0,9.0,54.029,3.0,55.0871,1.05816,2.0,56.5484,57.5564,3.52748,57.5566,58.3227
11,11,1,0.750000,2,3,2,1.0,10.0,58.5147,3.0,59.0069,0.492164,3.0,61.0332,62.0535,3.53884,62.0537,62.8101
12,12,3,0.750000,2,3,2,1.0,11.0,63.0023,3.0,63.6276,0.625287,7.0,65.5302,66.5441,3.5418,66.5443,67.2969
13,13,1,0.750000,2,3,2,1.0,12.0,67.489,3.0,67.9478,0.458827,3.0,70.014,71.0322,3.54325,71.0324,71.7839
14,14,3,0.750000,2,3,2,1.0,13.0,71.9742,3.0,72.5679,0.593693,7.0,74.4947,75.5111,3.53692,75.5113,76.2709
15,15,1,0.750000,2,3,2,1.0,14.0,76.468,3.0,76.972,0.504093,1.0,78.9985,80.0172,3.54922,80.0174,80.775
16,16,1,12,2,3,2,1.0,15.0,80.9708,3.0,81.4922,0.521412,3.0,83.4902,84.4994,3.52864,84.4996,96.5043
17,17,3,0.750000,1,2,3,1.0,16.0,96.5129,3.0,98.0222,1.5093,6.0,99.0391,100.057,3.54458,100.058,100.808
18,18,3,0.750000,1,2,3,1.0,17.0,100.811,3.0,101.476,0.665,8.0,103.335,104.352,3.54126,104.352,105.111
19,19,3,0.750000,1,2,3,1.0,18.0,105.114,3.0,105.712,0.598098,7.0,107.63,108.646,3.53204,108.646,109.398
20,20,3,0.750000,1,2,3,1.0,19.0,109.4,3.0,109.966,0.565482,8.0,111.925,112.944,3.54362,112.944,113.702
21,21,3,0.750000,1,2,3,1.0,20.0,113.705,3.0,114.336,0.631148,9.0,116.225,117.246,3.54116,117.246,118.005
22,22,2,0.750000,1,2,3,1.0,21.0,118.008,0.0,999.0,999.0,999.0,120.524,121.551,3.54364,121.552,122.31
23,23,1,0.750000,1,2,3,1.0,22.0,122.312,3.0,122.96,0.647309,1.0,124.828,125.845,3.53236,125.845,126.596
24,24,3,10,1,2,3,1.0,23.0,126.598,3.0,127.413,0.814978,9.0,129.129,130.139,3.54075,130.139,140.14
25,25,1,0.750000,1,1,4,1.0,24.0,140.143,3.0,141.141,0.998712,3.0,142.672,143.693,3.55021,143.693,144.444
26,26,1,0.750000,1,1,4,1.0,25.0,144.446,3.0,145.245,0.798683,2.0,146.975,147.987,3.5403,147.987,148.747
27,27,1,0.750000,1,1,4,1.0,26.0,148.75,3.0,149.415,0.664731,1.0,151.266,152.277,3.52746,152.278,153.034
28,28,3,0.750000,1,1,4,1.0,27.0,153.037,3.0,153.635,0.598232,6.0,155.553,156.577,3.54095,156.578,157.338
29,29,1,0.750000,1,1,4,1.0,28.0,157.34,3.0,157.905,0.564706,2.0,159.858,160.875,3.53499,160.876,161.641
30,30,3,0.750000,1,1,4,1.0,29.0,161.643,3.0,162.258,0.614985,6.0,164.161,165.171,3.52755,165.171,165.928
31,31,1,0.750000,1,1,4,1.0,30.0,165.931,3.0,166.462,0.531642,2.0,168.454,169.472,3.54166,169.473,170.232
32,32,1,12,1,1,4,1.0,31.0,170.234,3.0,170.783,0.548213,1.0,172.763,173.783,3.54882,173.783,185.794
33,33,3,0.750000,3,6,5,1.0,32.0,186.018,3.0,186.695,0.677417,9.0,188.541,189.56,3.54219,189.56,190.315
34,34,1,0.750000,3,6,5,1.0,33.0,190.534,3.0,191.149,0.615088,3.0,193.061,194.074,3.54036,194.074,194.835
35,35,3,0.750000,3,6,5,1.0,34.0,195.019,3.0,195.719,0.699973,9.0,197.54,198.56,3.54042,198.56,199.322
36,36,3,0.750000,3,6,5,1.0,35.0,199.507,3.0,200.157,0.650085,6.0,202.036,203.045,3.53823,203.045,203.809
