TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,2,5.000000e-01,8,1.0,0.0,4.03403,999.0,999.0,7.0373,999.0,0.0,0.0,7.05662,9.28886,999.0,999.0,994.966,11.2896,13.2737
2,2,0,1,2,8,5.000000e-01,0,1.0,1.0,13.293,2.0,8,15.9636,high,2.67064,0.329365,16.5027,18.5397,18.5573,20.5713,7.27834,20.5716,22.5402
3,3,0,3,2,4,3.500000e+00,2,1.0,2.0,22.5839,2.0,4,24.44,high,1.85606,1.14394,24.9795,30.8224,30.8404,32.8538,10.2699,32.8542,34.8228
4,4,1,3,6,4,5.000000e-01,8,1.0,3.0,34.8482,3.0,8,36.8132,high,1.96498,1.03502,37.3561,40.089,40.1089,42.1205,7.27224,42.1208,48.0899
5,5,1,2,2,8,5.000000e-01,4,1.0,4.0,48.1307,3.0,4,50.2854,low,2.15465,0.845354,50.8271,53.3717,53.3907,55.4032,7.27248,55.4035,57.3721
6,6,1,2,2,2,3.500000e+00,8,1.0,5.0,57.4076,2.0,2,59.3781,low,1.9705,1.0295,59.9216,65.6541,65.6543,67.6544,10.2468,67.6548,69.6546
7,7,1,3,4,4,3.500000e+00,2,1.0,6.0,69.6998,2.0,4,71.5849,high,1.88511,1.11489,72.1254,77.9368,77.9577,79.9682,10.2685,79.9686,83.9374
8,8,0,2,4,8,2,4,1.0,7.0,83.9849,2.0,8,85.7897,high,1.80472,1.19528,86.3307,90.7194,90.7366,92.7508,8.7659,92.7512,96.72
9,9,0,1,2,2,5.000000e-01,4,1.0,8.0,96.74,2.0,2,98.9619,low,2.22197,0.778035,99.5039,101.986,102.004,104.018,7.27773,104.018,105.986
10,10,1,1,8,8,2,0,1.0,9.0,106.007,3.0,0,108.587,low,2.58069,0.419313,109.13,112.753,112.753,114.753,8.74651,114.754,122.77
11,11,0,2,4,2,5.000000e-01,4,1.0,10.0,122.817,2.0,2,125.041,low,2.2234,0.776602,125.593,128.067,128.085,130.098,7.28102,130.099,134.052
12,12,0,2,2,2,2,8,1.0,11.0,134.082,2.0,2,135.798,low,1.71605,1.28395,136.336,140.818,140.819,142.819,8.7363,142.819,144.819
13,13,0,3,2,4,5.000000e-01,8,1.0,12.0,144.857,3.0,8,146.539,high,1.68235,1.31765,147.071,150.101,150.121,152.132,7.27513,152.132,154.101
14,14,1,1,4,2,2,0,1.0,13.0,154.129,3.0,0,156.964,low,2.83523,0.164772,157.51,160.868,160.868,162.868,8.73851,162.868,166.868
15,15,1,1,2,8,3.500000e+00,4,1.0,14.0,166.888,999.0,999,169.904,999,0.0,0.0,169.924,175.134,999.0,999.0,832.112,177.166,179.135
16,16,1,2,6,8,2,0,1.0,15.0,179.173,2.0,8,180.828,high,1.6553,1.3447,181.372,185.917,185.937,187.948,8.77528,187.949,193.918
17,17,1,3,8,8,5.000000e-01,2,1.0,16.0,193.957,2.0,8,195.633,high,1.67524,1.32476,196.17,199.2,199.22,201.231,7.27377,201.231,209.201
18,18,1,1,2,4,5.000000e-01,2,1.0,17.0,209.22,3.0,2,211.303,low,2.08295,0.917052,211.844,214.467,214.486,216.498,7.27825,216.499,218.467
19,19,1,3,8,0,2,4,1.0,18.0,218.513,3.0,4,220.695,high,2.18204,0.817965,221.236,225.249,225.28,227.281,8.76758,227.281,235.25
20,20,0,1,4,8,5.000000e-01,2,1.0,19.0,235.278,3.0,2,237.698,low,2.42027,0.579728,238.244,240.517,240.534,242.548,7.27023,242.548,246.517
21,21,0,2,6,0,5.000000e-01,4,1.0,20.0,246.563,3.0,4,248.423,high,1.8593,1.1407,248.957,251.799,251.817,253.83,7.26691,253.831,259.8
22,22,1,3,2,0,2,8,1.0,21.0,259.85,3.0,8,261.412,high,1.56172,1.43828,261.958,266.597,266.618,268.629,8.77856,268.629,270.598
23,23,0,1,2,0,5.000000e-01,4,1.0,22.0,270.617,2.0,0,272.586,low,1.96916,1.03084,273.131,275.864,275.864,277.864,7.24748,277.865,279.864
24,24,0,3,4,2,3.500000e+00,8,1.0,23.0,279.905,3.0,8,281.546,high,1.64067,1.35933,282.085,288.147,288.165,290.178,10.2731,290.178,294.147
25,25,1,3,2,2,5.000000e-01,0,1.0,24.0,294.174,2.0,2,295.734,high,1.55943,1.44057,296.275,299.413,299.433,301.445,7.27073,301.445,303.414
26,26,0,1,4,0,5.000000e-01,2,1.0,25.0,303.441,2.0,0,305.426,low,1.98512,1.01488,305.962,308.68,308.68,310.68,7.23931,310.681,314.681
27,27,0,3,2,0,2,4,1.0,26.0,314.716,3.0,4,316.683,high,1.96753,1.03247,317.23,321.463,321.482,323.494,8.77824,323.494,325.463
28,28,1,1,2,0,5.000000e-01,4,1.0,27.0,325.473,3.0,4,327.941,high,2.46774,0.532263,328.481,330.714,330.734,332.745,7.27168,332.745,334.714
29,29,1,2,6,4,5.000000e-01,0,1.0,28.0,334.752,2.0,4,336.5,high,1.74752,1.25248,337.043,339.996,340.016,342.027,7.27482,342.028,347.997
30,30,0,3,2,0,5.000000e-01,8,1.0,29.0,348.039,3.0,8,350.172,high,2.13305,0.866947,350.717,353.278,353.297,355.31,7.27069,355.31,357.279
31,31,1,2,6,2,3.500000e+00,4,1.0,30.0,357.331,2.0,2,360.114,low,2.78269,0.217308,360.659,365.577,365.596,367.608,10.2768,367.608,373.578
32,32,0,2,4,2,2,0,1.0,31.0,373.605,2.0,2,375.319,high,1.71344,1.28656,375.862,380.344,380.361,382.375,8.76984,382.376,386.344
33,33,0,2,4,0,5.000000e-01,8,1.0,32.0,386.38,3.0,8,388.725,high,2.34495,0.655051,389.268,391.626,391.627,393.627,7.2467,393.627,397.627
34,34,1,2,2,2,5.000000e-01,0,1.0,33.0,397.663,2.0,2,399.482,high,1.81911,1.18089,400.02,402.909,402.928,404.94,7.27774,404.941,406.925
35,35,0,1,2,8,2,4,1.0,34.0,406.951,3.0,4,409.74,low,2.78913,0.210868,410.286,413.691,413.709,415.723,8.77192,415.723,417.692
36,36,0,3,4,2,5.000000e-01,0,1.0,35.0,417.736,2.0,2,419.416,high,1.67968,1.32032,419.959,422.973,422.992,425.005,7.2689,425.005,428.974
