Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,0,1,1,5.000000e-01,2
2,2,4,2,1,5.000000e-01,4
3,4,8,2,1,5.000000e-01,4
4,2,0,1,0,5.000000e-01,4
5,0,8,1,0,2,4
6,8,2,2,0,3.500000e+00,2
7,4,2,3,0,5.000000e-01,4
8,0,2,2,1,5.000000e-01,4
9,4,0,2,1,5.000000e-01,6
10,2,4,1,0,2,2
11,2,4,3,1,5.000000e-01,2
12,2,8,1,1,2,2
13,8,0,3,0,5.000000e-01,2
14,0,4,1,1,3.500000e+00,2
15,0,8,2,1,5.000000e-01,2
16,4,8,2,0,2,2
17,8,4,1,0,3.500000e+00,2
18,2,8,3,1,5.000000e-01,6
19,2,8,1,0,2,2
20,2,0,3,1,5.000000e-01,2
21,8,4,1,1,5.000000e-01,8
22,4,8,3,0,5.000000e-01,6
23,0,2,2,0,5.000000e-01,8
24,4,0,3,0,5.000000e-01,4
25,2,8,3,0,2,8
26,2,8,2,1,3.500000e+00,2
27,4,2,2,0,5.000000e-01,2
28,4,2,1,1,5.000000e-01,2
29,0,2,3,0,3.500000e+00,6
30,0,2,1,1,5.000000e-01,2
31,4,0,1,0,3.500000e+00,6
32,0,8,2,0,5.000000e-01,2
33,8,0,3,1,2,4
34,4,0,3,1,2,4
35,4,0,2,0,2,2
36,4,8,3,1,2,4
