Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,2,1,1,2,2
2,8,2,2,0,3.500000e+00,6
3,4,8,2,0,2,4
4,0,2,2,0,5.000000e-01,2
5,0,4,1,1,5.000000e-01,2
6,4,2,1,0,5.000000e-01,6
7,0,4,3,1,5.000000e-01,2
8,8,2,3,1,2,4
9,2,0,3,1,5.000000e-01,2
10,4,0,1,0,5.000000e-01,6
11,2,8,2,1,5.000000e-01,2
12,4,8,1,0,2,2
13,0,8,1,1,5.000000e-01,4
14,8,0,3,1,3.500000e+00,6
15,2,4,3,0,2,4
16,4,0,2,1,2,2
17,8,2,1,1,3.500000e+00,4
18,8,2,3,0,5.000000e-01,8
19,2,8,1,0,5.000000e-01,8
20,2,4,2,0,2,4
21,0,2,3,0,2,2
22,2,0,2,1,2,4
23,4,8,1,1,5.000000e-01,2
24,4,0,3,0,5.000000e-01,2
25,0,8,1,0,5.000000e-01,2
26,4,8,3,0,5.000000e-01,4
27,0,2,1,0,5.000000e-01,4
28,0,8,2,1,5.000000e-01,2
29,4,2,2,1,5.000000e-01,2
30,8,0,2,0,2,2
31,2,0,1,1,5.000000e-01,2
32,4,8,3,1,3.500000e+00,2
33,8,0,3,0,3.500000e+00,8
34,8,4,2,1,5.000000e-01,4
35,2,4,3,1,3.500000e+00,6
36,4,0,2,0,5.000000e-01,2
