TrialNumber,Trialn,Feedback,ITI,Partner,BlockType,Blockn,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
53,53,3,0.75,3,5,7,1,52,287.302,2,287.58,0.277895,4,289.793,290.812,3.50914,290.812,291.567
54,54,1,0.75,3,5,7,1,53,291.623,2,291.984,0.361059,8,294.122,295.127,3.5046,295.127,295.886
55,55,1,0.75,3,5,7,1,54,295.943,3,296.253,0.310494,1,298.453,299.468,3.52538,299.469,300.223
56,56,2,8,3,5,7,1,55,300.279,3,300.557,0.27754,5,302.775,303.792,3.51292,303.792,311.797
57,57,1,0.75,2,4,8,1,56,311.87,2,312.399,0.528105,8,314.377,315.393,3.52275,315.393,316.151
58,58,3,0.75,2,4,8,1,57,316.208,3,316.335,0.12714,8,318.708,319.716,3.50792,319.716,320.471
59,59,3,0.75,2,4,8,1,58,320.526,3,320.855,0.328296,6,323.029,324.047,3.52068,324.047,324.806
60,60,2,0.75,2,4,8,1,59,324.862,2,325.191,0.329079,5,327.359,328.363,3.50086,328.363,329.127
61,61,3,0.75,2,4,8,1,60,329.182,2,329.511,0.32824,3,331.682,332.698,3.51518,332.698,333.463
62,62,3,0.75,2,4,8,1,61,333.519,3,333.847,0.327883,6,336.006,337.017,3.49781,337.017,337.783
63,63,3,0.75,2,4,8,1,62,337.849,3,338.2,0.35096,7,340.346,341.353,3.50399,341.353,342.12
64,64,3,10,2,4,8,1,63,342.176,2,342.67,0.493111,4,344.68,345.696,3.51989,345.696,355.712
65,65,1,0.75,1,1,9,1,64,355.723,2,356.363,0.640418,8,358.226,359.243,3.51978,359.243,359.999
66,66,3,0.75,1,1,9,1,65,360.001,2,360.015,0.0140496,1,362.501,363.519,3.51757,363.519,364.285
67,67,1,0.75,1,1,9,1,66,364.287,2,364.803,0.515116,7,366.797,367.797,3.50923,367.797,368.555
68,68,1,0.75,1,1,9,1,67,368.557,2,368.856,0.298497,7,371.048,372.063,3.50603,372.063,372.824
69,69,2,0.75,1,1,9,1,68,372.827,3,373.208,0.381755,5,375.326,376.334,3.50777,376.335,377.094
70,70,1,0.75,1,1,9,1,69,377.096,3,377.444,0.34803,4,379.591,380.604,3.50761,380.604,381.364
71,71,1,0.75,1,1,9,1,70,381.366,3,381.765,0.398335,3,383.868,385.876,4.50984,385.876,386.634
72,72,1,10,1,1,9,1,71,386.637,3,387.185,0.548482,4,389.141,390.144,3.50737,390.144,400.16
