TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,1,6,8,2,4,1.0,0.0,4.02582,3.0,4,6.03665,low,2.01083,0.98917,6.56994,10.7706,10.7854,12.7952,8.76942,12.7956,18.7879
2,2,0,2,2,2,2,4,1.0,1.0,18.8687,3.0,4,20.7472,high,1.8785,1.1215,21.2697,25.6186,25.6333,27.641,8.77228,27.6413,29.6199
3,3,0,1,2,0,5.000000e-01,2,1.0,2.0,29.6411,3.0,2,31.2044,high,1.56332,1.43668,31.7454,34.9041,34.917,36.92,7.27896,36.9203,38.9028
4,4,1,2,2,4,5.000000e-01,0,1.0,3.0,38.978,2.0,4,40.9945,high,2.01649,0.983512,41.5169,44.2247,44.2386,46.245,7.26702,46.2453,48.237
5,5,1,2,2,0,5.000000e-01,8,1.0,4.0,48.3083,3.0,8,50.3349,high,2.02656,0.973438,50.8578,53.5602,53.5604,55.5644,7.2561,55.5647,57.5582
6,6,0,2,2,8,5.000000e-01,4,1.0,5.0,57.6289,3.0,4,59.9752,low,2.34629,0.653705,60.511,62.8845,62.899,64.9058,7.27691,64.9061,66.8692
7,7,1,2,2,2,5.000000e-01,0,1.0,6.0,66.9387,2.0,2,68.6807,high,1.74202,1.25798,69.2083,72.187,72.2017,74.1999,7.26121,74.2002,76.2019
8,8,1,2,4,8,2,2,1.0,7.0,76.2736,3.0,2,78.171,low,1.89737,1.10263,78.7037,83.0238,83.024,85.0279,8.75431,85.0282,89.0244
9,9,0,3,6,2,3.500000e+00,4,1.0,8.0,89.1121,3.0,4,90.9804,high,1.86825,1.13175,91.498,97.3751,97.3904,99.3806,10.2685,99.3809,105.368
10,10,1,1,8,4,5.000000e-01,0,1.0,9.0,105.391,2.0,4,106.774,high,1.38357,1.61643,107.304,110.65,110.666,112.659,7.26859,112.66,120.646
11,11,1,3,4,2,5.000000e-01,4,1.0,10.0,120.737,3.0,4,122.619,high,1.88202,1.11798,123.149,125.996,126.012,128.021,7.28421,128.021,131.984
12,12,0,1,4,4,2,0,1.0,11.0,132.006,2.0,4,133.493,high,1.48686,1.51314,134.027,138.755,138.771,140.776,8.77007,140.776,144.752
13,13,0,1,2,2,5.000000e-01,8,1.0,12.0,144.765,2.0,2,146.903,low,2.13806,0.861941,147.42,150.03,150.03,152.033,7.26792,152.034,154.021
14,14,0,1,4,8,3.500000e+00,0,1.0,13.0,154.035,2.0,8,155.793,high,1.75791,1.24209,156.327,162.278,162.278,164.283,10.248,164.283,168.285
15,15,1,3,4,0,2,2,1.0,14.0,168.373,3.0,2,169.852,high,1.47946,1.52054,170.386,175.135,175.15,177.164,8.79176,177.165,181.134
16,16,0,3,2,8,5.000000e-01,4,1.0,15.0,181.205,2.0,8,182.712,high,1.50634,1.49366,183.24,186.456,186.471,188.471,7.26595,188.472,190.462
17,17,0,3,6,8,5.000000e-01,2,1.0,16.0,190.525,2.0,8,191.768,high,1.24312,1.75688,192.299,195.776,195.776,197.772,7.24708,197.772,203.773
18,18,1,1,4,4,5.000000e-01,8,1.0,17.0,203.796,2.0,4,205.095,low,1.29881,1.70119,205.614,209.051,209.067,211.076,7.27989,211.076,215.057
19,19,1,1,2,0,2,8,1.0,18.0,215.066,3.0,8,217.086,high,2.02063,0.979375,217.618,221.804,221.804,223.8,8.73457,223.801,225.806
20,20,1,3,2,4,3.500000e+00,8,1.0,19.0,225.887,2.0,4,227.794,low,1.907,1.093,228.326,234.149,234.165,236.182,10.2947,236.182,238.151
21,21,1,3,2,8,2,2,1.0,20.0,238.223,2.0,8,239.953,high,1.73009,1.26991,240.483,244.982,244.982,246.999,8.77657,247.0,248.965
22,22,0,2,2,8,5.000000e-01,2,1.0,21.0,249.026,2.0,8,251.327,high,2.30176,0.698239,251.871,254.278,254.293,256.29,7.26453,256.29,258.276
23,23,1,1,6,2,2,8,1.0,22.0,258.298,3.0,8,260.2,high,1.90277,1.09723,260.728,265.052,265.068,267.079,8.78183,267.08,273.052
24,24,0,3,4,8,5.000000e-01,0,1.0,23.0,273.142,2.0,8,275.177,high,2.03541,0.96459,275.719,278.384,278.399,280.403,7.26122,280.403,284.393
25,25,1,2,2,4,5.000000e-01,2,1.0,24.0,284.469,2.0,4,286.018,high,1.54948,1.45052,286.556,289.724,289.739,291.743,7.27449,291.744,293.71
26,26,1,3,2,0,5.000000e-01,8,1.0,25.0,293.786,3.0,8,295.426,high,1.6393,1.3607,295.95,299.036,299.052,301.059,7.27221,301.059,303.036
27,27,0,2,2,0,2,4,1.0,26.0,303.105,3.0,4,304.549,high,1.44416,1.55584,305.082,309.858,309.872,311.869,8.76446,311.869,313.865
