Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,2,2,0,2,6
2,4,0,2,1,5.000000e-01,2
3,4,2,1,0,5.000000e-01,2
4,8,2,1,0,2,4
5,0,4,1,1,5.000000e-01,2
6,0,2,1,1,3.500000e+00,2
7,8,0,3,0,5.000000e-01,4
8,8,0,1,0,5.000000e-01,8
9,8,4,3,0,2,2
10,4,8,2,1,5.000000e-01,6
11,8,4,1,0,2,2
12,8,4,2,0,3.500000e+00,2
13,8,2,1,1,3.500000e+00,4
14,8,4,1,1,3.500000e+00,2
15,0,4,3,0,5.000000e-01,4
16,2,8,2,1,2,8
17,2,8,3,1,2,2
18,0,8,2,1,3.500000e+00,2
19,8,2,3,0,5.000000e-01,2
20,4,0,2,0,5.000000e-01,2
21,2,4,1,1,5.000000e-01,6
22,4,8,3,1,5.000000e-01,2
23,4,2,3,1,5.000000e-01,2
24,2,4,2,1,2,4
25,0,2,2,1,5.000000e-01,4
26,0,2,1,0,5.000000e-01,8
27,8,0,1,1,2,6
28,2,8,2,0,5.000000e-01,4
29,0,8,2,0,5.000000e-01,4
30,2,0,2,0,5.000000e-01,2
31,4,0,1,0,2,4
32,2,4,3,0,5.000000e-01,2
33,4,0,3,1,5.000000e-01,6
34,0,8,3,1,5.000000e-01,2
35,0,2,3,0,3.500000e+00,4
36,0,2,3,1,2,2
