Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,4,2,1,2,4
2,0,2,2,0,3.500000e+00,4
3,0,8,2,0,5.000000e-01,2
4,4,0,1,0,2,2
5,4,0,3,0,3.500000e+00,2
6,8,2,1,0,5.000000e-01,6
7,2,0,2,1,2,2
8,2,0,1,1,3.500000e+00,2
9,8,4,1,0,2,4
10,4,2,1,0,5.000000e-01,2
11,2,4,1,1,5.000000e-01,2
12,2,8,3,0,2,6
13,4,8,2,1,3.500000e+00,2
14,4,2,2,0,5.000000e-01,4
15,0,4,2,0,5.000000e-01,4
16,8,4,2,0,5.000000e-01,4
17,4,0,1,1,5.000000e-01,2
18,2,4,3,0,2,2
19,8,2,2,0,5.000000e-01,2
20,2,8,2,1,3.500000e+00,2
21,8,0,2,1,5.000000e-01,4
22,0,8,3,1,5.000000e-01,6
23,0,8,3,0,2,6
24,8,4,3,0,5.000000e-01,4
25,4,0,3,1,5.000000e-01,8
26,2,8,1,1,5.000000e-01,6
27,8,0,1,1,5.000000e-01,2
28,2,0,3,0,2,2
29,4,8,1,1,2,2
30,8,0,1,0,5.000000e-01,2
31,2,8,3,1,3.500000e+00,4
32,4,2,2,1,2,2
33,4,8,3,1,5.000000e-01,4
34,0,2,3,1,5.000000e-01,8
35,2,0,1,0,5.000000e-01,8
36,4,2,3,1,5.000000e-01,2
