onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.271170	1.918190	choice_friend	1.918190	8	high	2	8
9.551260	1.000000	outcome_friend_defect	1.918190	8	high	2	8
13.550000	1.981760	choice_computer	1.981760	8	high	2	8
18.819500	1.000000	outcome_computer_defect	1.981760	8	high	2	8
29.061000	1.958110	choice_friend	1.958110	4	high	2	4
37.336900	1.000000	outcome_friend_recip	1.958110	4	high	2	4
41.353200	1.372840	choice_computer	1.372840	4	high	0	4
46.635400	1.000000	outcome_computer_defect	1.372840	4	high	0	4
52.873800	1.592780	choice_friend	1.592780	0	low	0	8
68.408300	1.495270	choice_friend	1.495270	4	high	0	4
73.684400	1.000000	outcome_friend_recip	1.495270	4	high	0	4
77.903400	2.208470	choice_friend	2.208470	2	low	2	8
83.168300	1.000000	outcome_friend_recip	2.208470	2	low	2	8
87.186100	1.668820	choice_computer	1.668820	4	high	0	4
92.469700	1.000000	outcome_computer_recip	1.668820	4	high	0	4
98.693400	1.618780	choice_stranger	1.618780	2	high	0	2
103.953000	1.000000	outcome_stranger_defect	1.618780	2	high	0	2
108.187000	1.651030	choice_friend	1.651030	4	low	4	8
114.953000	1.000000	outcome_friend_defect	1.651030	4	low	4	8
121.207000	3.000000	missed_trial	3.000000	n/a	n/a	4	8
133.503000	1.346980	choice_computer	1.346980	2	high	0	2
141.788000	1.000000	outcome_computer_recip	1.346980	2	high	0	2
147.773000	1.465700	choice_computer	1.465700	2	high	0	2
154.553000	1.000000	outcome_computer_defect	1.465700	2	high	0	2
158.807000	1.555750	choice_stranger	1.555750	4	high	2	4
165.584000	1.000000	outcome_stranger_defect	1.555750	4	high	2	4
169.785000	1.252020	choice_stranger	1.252020	4	high	0	4
176.556000	1.000000	outcome_stranger_recip	1.252020	4	high	0	4
182.824000	1.336130	choice_friend	1.336130	4	high	2	4
189.602000	1.000000	outcome_friend_defect	1.336130	4	high	2	4
195.860000	1.622890	choice_friend	1.622890	0	low	0	8
207.150000	1.989940	choice_computer	1.989940	8	high	0	8
212.420000	1.000000	outcome_computer_defect	1.989940	8	high	0	8
222.666000	1.677940	choice_friend	1.677940	4	high	0	4
230.935000	1.000000	outcome_friend_defect	1.677940	4	high	0	4
237.147000	1.951290	choice_stranger	1.951290	8	high	2	8
242.424000	1.000000	outcome_stranger_recip	1.951290	8	high	2	8
246.436000	1.421760	choice_computer	1.421760	8	high	2	8
251.706000	1.000000	outcome_computer_recip	1.421760	8	high	2	8
259.951000	1.795380	choice_friend	1.795380	0	low	0	2
271.238000	2.115700	choice_computer	2.115700	2	low	2	4
278.019000	1.000000	outcome_computer_defect	2.115700	2	low	2	4
282.236000	2.008400	choice_stranger	2.008400	0	low	0	8
291.519000	1.950980	choice_computer	1.950980	4	high	2	4
296.789000	1.000000	outcome_computer_recip	1.950980	4	high	2	4
305.033000	1.742840	choice_stranger	1.742840	8	high	0	8
311.789000	1.000000	outcome_stranger_recip	1.742840	8	high	0	8
320.064000	1.649710	choice_friend	1.649710	2	high	0	2
326.836000	1.000000	outcome_friend_defect	1.649710	2	high	0	2
331.054000	2.034050	choice_stranger	2.034050	4	high	2	4
336.323000	1.000000	outcome_stranger_recip	2.034050	4	high	2	4
340.531000	2.065270	choice_stranger	2.065270	0	low	0	2
351.313000	1.841440	choice_computer	1.841440	8	high	0	8
356.591000	1.000000	outcome_computer_recip	1.841440	8	high	0	8
360.809000	1.521730	choice_stranger	1.521730	4	high	0	4
366.075000	1.000000	outcome_stranger_defect	1.521730	4	high	0	4
370.287000	2.401080	choice_stranger	2.401080	4	low	4	8
375.561000	1.000000	outcome_stranger_recip	2.401080	4	low	4	8
379.558000	1.540170	choice_computer	1.540170	8	high	4	8
386.329000	1.000000	outcome_computer_recip	1.540170	8	high	4	8
394.334000	1.368700	choice_computer	1.368700	4	low	4	8
402.611000	1.000000	outcome_computer_defect	1.368700	4	low	4	8
408.857000	2.816070	choice_stranger	2.816070	2	low	2	8
414.127000	1.000000	outcome_stranger_defect	2.816070	2	low	2	8
418.333000	1.633560	choice_stranger	1.633560	4	low	4	8
426.596000	1.000000	outcome_stranger_defect	1.633560	4	low	4	8
