TrialNumber,Trialn,Feedback,ITI,Partner,BlockType,Blockn,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,0.750000,3,6,1,1.0,0.0,4.36979,2.0,6.41127,2.04148,7.0,6.89462,7.89797,3.52817,7.89822,8.663
2,2,3,0.750000,3,6,1,1.0,1.0,8.94968,3.0,10.548,1.59834,6.0,11.4561,12.4588,3.50917,12.4591,13.2166
3,3,3,0.750000,3,6,1,1.0,2.0,13.4905,2.0,14.7349,1.24435,1.0,16.0193,17.0229,3.5324,17.0231,17.7873
4,4,2,0.750000,3,6,1,1.0,3.0,18.0577,3.0,19.1218,1.06409,5.0,20.5666,21.5855,3.52781,21.5857,22.3409
5,5,3,0.750000,3,6,1,1.0,4.0,22.6123,2.0,23.6088,0.996529,4.0,25.1407,26.1486,3.53626,26.1488,26.9111
6,6,3,0.750000,3,6,1,1.0,5.0,27.1839,2.0,28.0298,0.845902,4.0,29.7025,30.7059,3.52204,30.7062,31.4634
7,7,3,0.750000,3,6,1,1.0,6.0,31.7335,3.0,32.3495,0.616018,7.0,34.2387,35.258,3.52457,35.2582,36.0189
8,8,3,8,3,6,1,1.0,7.0,36.2903,2.0,37.2536,0.963258,1.0,38.8182,39.8219,3.5316,39.8221,47.8286
9,9,3,0.750000,2,4,2,1.0,8.0,48.1534,3.0,49.2968,1.14338,9.0,50.6613,52.6719,4.51848,52.6721,53.434
10,10,3,0.750000,2,4,2,1.0,9.0,53.6803,2.0,54.5514,0.871146,2.0,56.2081,57.2116,3.53129,57.2118,57.9701
11,11,3,0.750000,2,4,2,1.0,10.0,58.2164,2.0,59.5385,1.32209,1.0,60.7314,61.7317,3.51527,61.7319,62.4904
12,12,3,0.750000,2,4,2,1.0,11.0,62.7387,3.0,63.1745,0.435826,7.0,65.2551,66.2735,3.53477,66.2737,67.0276
13,13,1,0.750000,2,4,2,1.0,12.0,67.2752,3.0,68.746,1.47081,2.0,69.7893,70.7931,3.5179,70.7933,71.5478
14,14,1,0.750000,2,4,2,1.0,13.0,71.7931,3.0,73.0161,1.22295,3.0,74.3019,75.305,3.51191,75.3052,76.0683
15,15,3,0.750000,2,4,2,1.0,14.0,76.3157,3.0,78.22,1.90429,9.0,78.824,79.8272,3.51151,79.8274,80.5885
16,16,3,10,2,4,2,1.0,15.0,80.8355,2.0,81.6233,0.787883,3.0,83.3649,84.3683,3.53282,84.3685,94.3833
17,17,2,0.750000,3,5,3,1.0,16.0,94.7265,3.0,95.9181,1.19156,5.0,97.2566,98.2745,3.54793,98.2747,99.0374
18,18,1,0.750000,3,5,3,1.0,17.0,99.3068,3.0,101.056,1.74887,2.0,101.819,102.824,3.51746,102.824,103.591
19,19,1,0.750000,3,5,3,1.0,18.0,103.863,3.0,105.743,1.8807,4.0,106.381,107.386,3.52334,107.386,108.145
20,20,1,0.750000,3,5,3,1.0,19.0,108.417,2.0,109.396,0.978473,7.0,110.929,111.935,3.5172,111.935,112.698
21,21,3,0.750000,3,5,3,1.0,20.0,112.967,3.0,114.017,1.0499,6.0,115.481,117.499,4.53176,117.499,118.253
22,22,1,0.750000,3,5,3,1.0,21.0,118.524,2.0,119.822,1.29767,7.0,121.043,122.062,3.53766,122.062,122.823
23,23,1,0.750000,3,5,3,1.0,22.0,123.092,3.0,124.041,0.949098,4.0,125.603,126.607,3.51522,126.608,127.361
24,24,1,12,3,5,3,1.0,23.0,127.635,2.0,129.613,1.97801,9.0,130.153,131.173,3.53811,131.173,143.173
25,25,3,0.750000,1,2,4,1.0,24.0,143.206,2.0,144.892,1.68606,1.0,145.722,146.729,3.52303,146.729,147.494
26,26,1,0.750000,1,2,4,1.0,25.0,147.497,2.0,149.062,1.56511,6.0,150.005,151.009,3.51194,151.009,151.764
27,27,3,0.750000,1,2,4,1.0,26.0,151.767,2.0,153.316,1.54939,2.0,154.285,155.303,3.53674,155.304,156.067
28,28,3,0.750000,1,2,4,1.0,27.0,156.07,3.0,156.852,0.781653,6.0,158.582,159.584,3.5143,159.585,160.338
29,29,3,0.750000,1,2,4,1.0,28.0,160.34,2.0,162.073,1.73271,2.0,162.86,163.881,3.54053,163.881,164.641
30,30,2,0.750000,1,2,4,1.0,29.0,164.643,3.0,165.058,0.414936,5.0,167.173,168.177,3.53392,168.177,168.928
31,31,3,0.750000,1,2,4,1.0,30.0,168.93,3.0,170.263,1.33233,6.0,171.454,172.473,3.54274,172.473,173.232
32,32,3,8,1,2,4,1.0,31.0,173.235,2.0,174.299,1.06442,2.0,175.751,176.754,3.51927,176.754,184.758
33,33,1,0.750000,2,3,5,1.0,32.0,185.057,2.0,186.225,1.16821,8.0,187.559,188.576,3.51897,188.576,189.33
34,34,1,0.750000,2,3,5,1.0,33.0,189.623,2.0,191.531,1.90844,7.0,192.151,193.168,3.54563,193.169,193.932
35,35,1,0.750000,2,3,5,1.0,34.0,194.178,2.0,195.55,1.37141,8.0,196.7,197.717,3.53847,197.717,198.469
36,36,1,0.750000,2,3,5,1.0,35.0,198.775,2.0,200.537,1.76237,7.0,201.293,202.31,3.53545,202.311,203.072
37,37,1,0.750000,2,3,5,1.0,36.0,203.317,3.0,203.808,0.490382,4.0,205.84,206.843,3.52594,206.844,207.609
38,38,3,0.750000,2,3,5,1.0,37.0,207.854,2.0,209.812,1.95751,4.0,210.368,211.389,3.53525,211.389,212.147
39,39,2,0.750000,2,3,5,1.0,38.0,212.387,2.0,213.715,1.32787,5.0,214.903,215.984,3.59738,215.984,216.751
40,40,1,12,2,3,5,1.0,39.0,216.995,3.0,218.085,1.09046,1.0,219.513,220.518,3.52267,220.518,232.528
41,41,1,0.750000,1,1,6,1.0,40.0,232.538,3.0,233.715,1.17722,4.0,235.068,236.085,3.54773,236.086,236.85
42,42,2,0.750000,1,1,6,1.0,41.0,236.853,2.0,238.002,1.14932,5.0,239.378,240.398,3.54557,240.399,241.154
43,43,1,0.750000,1,1,6,1.0,42.0,241.157,2.0,242.739,1.5822,8.0,243.683,244.7,3.54329,244.7,245.457
44,44,2,0.750000,1,1,6,1.0,43.0,245.46,3.0,246.408,0.948645,5.0,247.975,248.979,3.51979,248.98,249.744
45,45,1,0.750000,1,1,6,1.0,44.0,249.747,3.0,250.295,0.548379,1.0,252.25,253.27,3.5235,253.271,254.031
46,46,1,0.750000,1,1,6,1.0,45.0,254.034,2.0,254.598,0.564755,6.0,256.549,257.55,3.51636,257.55,258.301
47,47,1,0.750000,1,1,6,1.0,46.0,258.304,3.0,259.419,1.11531,1.0,260.83,261.833,3.52935,261.833,262.588
48,48,1,10,1,1,6,1.0,47.0,262.591,2.0,263.272,0.681749,6.0,265.109,266.113,3.52249,266.113,276.116
49,49,3,0.750000,1,2,7,1.0,48.0,276.119,2.0,277.385,1.26622,2.0,278.626,279.639,3.51995,279.639,280.402
50,50,3,0.750000,1,2,7,1.0,49.0,280.405,2.0,282.121,1.7159,2.0,282.937,283.947,3.54174,283.947,284.706
51,51,3,0.750000,1,2,7,1.0,50.0,284.709,3.0,285.507,0.798434,8.0,287.225,288.237,3.52871,288.237,288.994
52,52,3,0.750000,1,2,7,1.0,51.0,288.997,3.0,291.062,2.06501,9.0,291.515,292.524,3.52679,292.524,293.28
53,53,2,0.750000,1,2,7,1.0,52.0,293.283,3.0,294.364,1.08129,5.0,295.81,296.815,3.53242,296.815,297.567
54,54,3,0.750000,1,2,7,1.0,53.0,297.569,2.0,298.218,0.648222,4.0,300.076,301.08,3.5105,301.08,301.837
55,55,3,0.750000,1,2,7,1.0,54.0,301.84,2.0,302.688,0.848295,3.0,304.357,305.36,3.51999,305.36,306.124
56,56,2,10,1,2,7,1.0,55.0,306.126,3.0,307.058,0.931737,5.0,308.635,309.642,3.51608,309.643,319.652
57,57,3,0.750000,2,3,8,1.0,56.0,319.945,2.0,320.903,0.958151,1.0,322.451,323.47,3.52494,323.47,324.222
58,58,3,0.750000,2,3,8,1.0,57.0,324.523,3.0,325.99,1.46741,7.0,327.031,328.034,3.51108,328.034,328.792
59,59,1,0.750000,2,3,8,1.0,58.0,329.032,3.0,331.062,2.02943,2.0,331.545,332.565,3.53261,332.565,333.329
60,60,1,0.750000,2,3,8,1.0,59.0,333.569,2.0,334.915,1.34645,6.0,336.093,337.097,3.52874,337.098,337.85
61,61,1,0.750000,2,3,8,1.0,60.0,338.095,2.0,339.852,1.7562,7.0,340.618,341.625,3.52912,341.625,342.387
62,62,1,0.750000,2,3,8,1.0,61.0,342.625,0.0,999.0,999.0,999.0,345.14,346.145,3.51974,346.145,346.907
63,63,1,0.750000,2,3,8,1.0,62.0,347.147,2.0,348.176,1.02884,6.0,349.678,351.683,4.53614,351.683,352.445
64,64,1,8,2,3,8,1.0,63.0,352.683,3.0,353.33,0.64636,2.0,355.208,356.211,3.52806,356.212,364.221
65,65,2,0.750000,1,1,9,1.0,64.0,364.229,2.0,365.273,1.04416,5.0,366.748,367.758,3.52937,367.758,368.509
66,66,1,0.750000,1,1,9,1.0,65.0,368.512,3.0,370.161,1.6491,2.0,371.029,372.033,3.52106,372.033,372.796
67,67,1,0.750000,1,1,9,1.0,66.0,372.798,2.0,374.413,1.61519,8.0,375.311,376.314,3.51559,376.314,377.066
68,68,3,0.750000,1,1,9,1.0,67.0,377.069,3.0,379.001,1.93188,9.0,379.574,380.578,3.50925,380.578,381.336
69,69,1,0.750000,1,1,9,1.0,68.0,381.339,2.0,382.454,1.1146,9.0,383.869,384.873,3.5338,384.873,385.639
70,70,1,0.750000,1,1,9,1.0,69.0,385.642,2.0,386.89,1.24866,6.0,388.149,389.168,3.52621,389.168,389.926
71,71,1,0.750000,1,1,9,1.0,70.0,389.928,2.0,390.76,0.832238,8.0,392.447,393.467,3.53846,393.467,394.229
72,72,1,12,1,1,9,1.0,71.0,394.232,3.0,394.914,0.68129,1.0,396.75,397.76,3.52777,397.76,409.775
