TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,8,0,5.000000e-01,4,1.0,0.0,4.01306,3.0,4,5.79652,high,1.78346,1.21654,6.32378,9.26828,9.28339,11.2812,7.26812,11.2816,19.2667
2,2,0,3,2,2,2,4,1.0,1.0,19.5979,3.0,4,21.2593,high,1.66137,1.33863,21.7987,26.3593,26.3727,28.3775,8.77958,28.3778,30.3484
3,3,1,1,2,8,2,2,1.0,2.0,30.3702,3.0,2,32.0017,low,1.63153,1.36847,32.5395,37.1237,37.1388,39.1443,8.77412,39.1446,41.1181
4,4,0,2,2,4,3.500000e+00,2,1.0,3.0,41.4183,2.0,4,42.8604,high,1.44216,1.55784,43.3886,49.6774,49.6901,51.7016,10.2834,51.7019,53.6612
5,5,1,3,6,2,5.000000e-01,0,1.0,4.0,53.9811,3.0,0,56.2716,low,2.29054,0.70946,56.7962,59.2269,59.2271,61.2174,7.23629,61.2176,67.2176
6,6,1,3,4,4,5.000000e-01,0,1.0,5.0,67.5446,2.0,4,69.6158,high,2.07122,0.928778,70.1557,72.8062,72.8209,74.8307,7.28607,74.831,78.7957
7,7,0,1,2,2,5.000000e-01,0,1.0,6.0,78.8099,3.0,0,80.6749,low,1.86491,1.13509,81.2046,84.0625,84.0627,86.065,7.25507,86.0653,88.0625
8,8,1,2,2,2,5.000000e-01,4,1.0,7.0,88.3561,3.0,4,90.4327,high,2.07659,0.923406,90.9759,93.5982,93.6114,95.6203,7.2642,95.6206,97.6121
9,9,0,1,4,0,5.000000e-01,8,1.0,8.0,97.6344,3.0,8,99.1566,high,1.52219,1.47781,99.6978,102.898,102.912,104.92,7.28523,104.92,108.887
10,10,1,1,2,0,5.000000e-01,8,1.0,9.0,108.889,3.0,8,111.066,high,2.17714,0.822859,111.595,114.145,114.161,116.168,7.27932,116.169,118.138
11,11,1,2,2,8,5.000000e-01,2,1.0,10.0,118.455,2.0,8,120.324,high,1.86873,1.13127,120.848,123.704,123.717,125.726,7.2708,125.727,127.718
12,12,1,2,6,0,2,2,1.0,11.0,128.012,2.0,0,130.215,low,2.20335,0.796648,130.756,134.76,134.76,136.764,8.75248,136.765,142.77
13,13,1,2,4,8,5.000000e-01,4,1.0,12.0,143.053,2.0,8,144.961,high,1.90735,1.09265,145.503,148.302,148.302,150.31,7.25696,150.311,154.297
14,14,1,2,2,0,5.000000e-01,8,1.0,13.0,154.594,3.0,8,156.454,high,1.85978,1.14022,156.975,159.845,159.845,161.852,7.25805,161.852,163.845
15,15,0,3,2,0,5.000000e-01,2,1.0,14.0,164.176,2.0,0,166.281,low,2.1047,0.895295,166.817,169.417,169.417,171.418,7.2421,171.418,173.425
16,16,1,3,2,4,3.500000e+00,8,1.0,15.0,173.692,2.0,4,175.502,low,1.81067,1.18933,176.025,181.94,181.954,183.963,10.271,183.963,185.954
