Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,0,3,1,5.000000e-01,2
2,4,8,3,0,2,6
3,4,2,3,1,5.000000e-01,2
4,4,0,1,0,3.500000e+00,4
5,0,2,2,1,5.000000e-01,4
6,0,4,2,0,5.000000e-01,2
7,2,4,3,0,5.000000e-01,2
8,2,0,3,1,5.000000e-01,2
9,4,8,2,0,5.000000e-01,4
10,8,4,2,1,5.000000e-01,2
11,2,0,2,0,2,4
12,8,2,2,1,2,8
13,2,4,1,0,5.000000e-01,2
14,8,0,1,1,2,4
15,2,8,3,1,2,8
16,4,2,2,0,3.500000e+00,6
17,4,0,2,1,5.000000e-01,6
18,0,2,1,1,5.000000e-01,2
19,4,0,3,1,2,4
20,0,8,2,0,5.000000e-01,2
21,2,8,2,0,5.000000e-01,4
22,8,0,3,0,2,2
23,2,0,3,0,5.000000e-01,2
24,4,0,1,1,5.000000e-01,2
25,0,4,3,0,2,6
26,8,2,1,1,5.000000e-01,2
27,4,8,1,0,3.500000e+00,2
28,8,4,3,1,5.000000e-01,2
29,8,2,1,0,3.500000e+00,4
30,0,2,1,0,5.000000e-01,8
31,8,2,3,0,5.000000e-01,4
32,2,4,2,1,2,2
33,8,0,1,0,3.500000e+00,2
34,4,2,1,1,2,2
35,8,4,1,1,3.500000e+00,4
36,0,8,2,1,5.000000e-01,6
