TrialNumber,IsFairBlock,Trialn,Offer,Partner,ITI,Blockn,ran,order,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,0,1,3,1,0.750000,1,1.0,0.0,4.00216,999.0,999.0,999.0,7.00366,3.52789,7.53032,8.28531
2,0,2,2,1,0.750000,1,1.0,1.0,8.28846,2.0,2.74496,11.0334,11.8005,3.51254,11.8012,12.5546
3,0,3,1,1,0.750000,1,1.0,2.0,12.5574,999.0,999.0,999.0,15.5629,3.50827,16.0659,16.8157
4,0,4,6,1,0.750000,1,1.0,3.0,16.8189,2.0,2.30817,19.127,20.3465,3.5284,20.3475,21.1104
5,0,5,1,1,0.750000,1,1.0,4.0,21.1133,3.0,2.54318,23.6564,24.6373,3.52451,24.6379,25.4015
6,0,6,1,1,0.750000,1,1.0,5.0,25.4045,999.0,999.0,999.0,28.4191,3.5529,28.9576,29.7208
7,0,7,4,1,0.750000,1,1.0,6.0,29.7237,3.0,1.49341,31.2171,33.2422,3.519,33.2428,34.0101
8,0,8,10,1,12,1,1.0,7.0,34.015,3.0,1.23218,35.2471,37.5174,3.50291,37.518,49.5267
9,1,9,10,1,0.750000,2,1.0,8.0,49.5298,3.0,1.4042,50.934,53.0486,3.51934,53.0495,53.8038
10,1,10,5,1,0.750000,2,1.0,9.0,53.807,2.0,1.34054,55.1475,57.3141,3.50756,57.3147,58.0737
11,1,11,10,1,0.750000,2,1.0,10.0,58.0766,3.0,1.01722,59.0938,61.5929,3.51679,61.5935,62.3456
12,1,12,10,1,0.750000,2,1.0,11.0,62.3487,3.0,1.02505,63.3737,65.859,3.51083,65.8597,66.6114
13,1,13,10,1,0.750000,2,1.0,12.0,66.6145,3.0,1.02227,67.6368,70.1304,3.5173,70.1322,70.9009
14,1,14,10,1,0.750000,2,1.0,13.0,70.9039,3.0,1.02962,71.9335,74.4252,3.5218,74.4258,75.1647
15,1,15,1,1,0.750000,2,1.0,14.0,75.1678,3.0,1.37912,76.5469,78.6888,3.52166,78.6897,79.4529
16,1,16,7,1,8,2,1.0,15.0,79.456,3.0,1.0203,80.4763,82.9864,3.53084,82.9871,91.0019
17,1,17,6,2,0.750000,3,1.0,16.0,91.0081,3.0,1.60827,92.6164,94.5281,3.52069,94.5292,95.2919
18,1,18,8,2,0.750000,3,1.0,17.0,95.2955,3.0,1.01818,96.3136,98.8227,3.52802,98.8237,99.5864
19,1,19,9,2,0.750000,3,1.0,18.0,99.592,3.0,1.01789,100.61,103.112,3.52055,103.113,103.866
20,1,20,9,2,0.750000,3,1.0,19.0,103.87,3.0,1.01986,104.889,107.381,3.5116,107.381,108.145
21,1,21,7,2,0.750000,3,1.0,20.0,108.149,3.0,1.02073,109.17,111.659,3.51051,111.66,112.41
22,1,22,10,2,0.750000,3,1.0,21.0,112.414,3.0,1.30217,113.716,115.925,3.51143,115.925,116.675
23,1,23,4,2,0.750000,3,1.0,22.0,116.678,3.0,1.90025,118.578,120.182,3.50479,120.183,120.946
24,1,24,8,2,10,3,1.0,23.0,120.95,3.0,1.02547,121.976,124.478,3.52818,124.478,134.491
25,0,25,9,2,0.750000,4,1.0,24.0,134.494,3.0,1.02039,135.514,138.012,3.51822,138.013,138.767
26,0,26,3,2,0.750000,4,1.0,25.0,138.77,2.0,1.45765,140.227,142.295,3.52601,142.296,143.05
27,0,27,5,2,0.750000,4,1.0,26.0,143.053,3.0,1.27099,144.324,146.569,3.51646,146.57,147.325
28,0,28,3,2,0.750000,4,1.0,27.0,147.328,2.0,1.62568,148.953,150.841,3.51366,150.842,151.596
29,0,29,3,2,0.750000,4,1.0,28.0,151.599,2.0,1.51717,153.117,155.118,3.51926,155.119,155.872
30,0,30,4,2,0.750000,4,1.0,29.0,155.875,2.0,1.9044,157.78,159.396,3.52112,159.396,160.159
31,0,31,3,2,0.750000,4,1.0,30.0,160.162,2.0,1.03128,161.193,163.696,3.53456,163.697,164.459
32,0,32,1,2,10,4,1.0,31.0,164.463,2.0,1.02716,165.49,167.98,3.51814,167.981,177.986
33,0,33,10,3,0.750000,5,1.0,32.0,177.99,3.0,1.22223,179.212,181.504,3.51441,181.504,182.252
34,0,34,4,3,0.750000,5,1.0,33.0,182.256,3.0,1.01909,183.275,185.765,3.51003,185.766,186.519
35,0,35,6,3,0.750000,5,1.0,34.0,186.523,3.0,1.18178,187.705,190.027,3.50433,190.028,190.783
36,0,36,2,3,0.750000,5,1.0,35.0,190.786,2.0,1.21564,192.002,194.303,3.51752,194.304,195.057
37,0,37,4,3,0.750000,5,1.0,36.0,195.061,3.0,1.42018,196.481,198.573,3.51229,198.573,199.328
38,0,38,3,3,0.750000,5,1.0,37.0,199.331,3.0,1.39628,200.728,202.855,3.52386,202.855,203.624
39,0,39,4,3,0.750000,5,1.0,38.0,203.627,2.0,1.16406,204.791,207.131,3.50461,207.132,207.886
40,0,40,4,3,8,5,1.0,39.0,207.889,2.0,1.44772,209.337,211.402,3.51313,211.403,219.404
41,0,41,4,2,0.750000,6,1.0,40.0,219.409,3.0,1.75299,221.162,222.926,3.51786,222.927,223.688
42,0,42,9,2,0.750000,6,1.0,41.0,223.692,3.0,1.03276,224.725,227.195,3.50401,227.196,227.965
43,0,43,4,2,0.750000,6,1.0,42.0,227.969,3.0,1.16849,229.138,231.483,3.51465,231.484,232.229
