TrialNumber,Trialn,Feedback,ITI,Partner,BlockType,Blockn,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,3,0.750000,3,6,1,1.0,0.0,4.23772,3.0,5.23336,0.995637,7.0,6.7545,7.75774,3.52002,7.758,8.51972
2,2,3,0.750000,3,6,1,1.0,1.0,8.76311,3.0,9.63715,0.874039,7.0,11.2917,12.3025,3.53938,12.3027,13.0563
3,3,3,0.750000,3,6,1,1.0,2.0,13.2543,3.0,13.8571,0.602893,8.0,15.7701,16.7871,3.53287,16.7873,17.5436
4,4,3,0.750000,3,6,1,1.0,3.0,17.7385,3.0,18.5778,0.839301,9.0,20.2609,21.2691,3.53061,21.2693,22.0302
5,5,1,0.750000,3,6,1,1.0,4.0,22.2335,3.0,22.7812,0.547685,3.0,24.7447,25.755,3.52143,25.7551,26.5191
6,6,3,0.750000,3,6,1,1.0,5.0,26.717,3.0,27.3851,0.668091,9.0,29.2342,30.2509,3.53392,30.2511,31.0047
7,7,3,0.750000,3,6,1,1.0,6.0,31.21,3.0,32.4724,1.26244,8.0,33.7269,34.7341,3.52417,34.7343,35.4915
8,8,1,8,3,6,1,1.0,7.0,35.6847,3.0,36.5429,0.858128,4.0,38.212,39.2248,3.54003,39.2249,47.2343
9,9,1,0.750000,3,5,2,1.0,8.0,47.4814,3.0,48.4189,0.937528,2.0,50.0032,51.0096,3.52814,51.0098,51.7717
10,10,1,0.750000,3,5,2,1.0,9.0,51.9736,3.0,52.7058,0.73223,1.0,54.4881,55.4946,3.52102,55.4948,56.2597
11,11,1,0.750000,3,5,2,1.0,10.0,56.4491,3.0,57.0764,0.627316,2.0,58.9748,59.9871,3.53801,59.9873,60.7456
12,12,1,0.750000,3,5,2,1.0,11.0,60.9406,3.0,61.7302,0.789634,1.0,63.4584,64.4731,3.53251,64.4733,65.2327
13,13,1,0.750000,3,5,2,1.0,12.0,65.4334,3.0,66.0349,0.601464,1.0,67.9431,68.9543,3.52094,68.9545,69.7195
