TrialNumber,IsFairBlock,Trialn,Offer,Partner,ITI,Blockn,ran,order,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,10,1,0.750000,1,1.0,0.0,4.0086,999.0,999.0,999.0,7.01208,3.53384,7.54268,8.30789
2,1,2,7,1,0.750000,1,1.0,1.0,8.31046,2.0,1.57073,9.8812,11.8171,3.50706,11.8177,12.5827
3,1,3,4,1,0.750000,1,1.0,2.0,12.5851,3.0,1.58364,14.1688,16.106,3.52122,16.1065,16.8716
4,1,4,10,1,0.750000,1,1.0,3.0,16.8739,3.0,1.41414,18.288,20.3807,3.50719,20.3812,21.1472
5,1,5,7,1,0.750000,1,1.0,4.0,21.1497,3.0,2.12679,23.2765,24.6657,3.51642,24.6663,25.4316
6,1,6,10,1,0.750000,1,1.0,5.0,25.434,3.0,1.46153,26.8955,28.9421,3.50852,28.9426,29.7077
7,1,7,9,1,0.750000,1,1.0,6.0,29.71,3.0,1.1552,30.8652,33.2392,3.52956,33.2397,33.9954
8,1,8,6,1,10,1,1.0,7.0,33.9983,3.0,1.17054,35.1688,37.5248,3.52685,37.5253,47.5359
9,0,9,2,2,0.750000,2,1.0,8.0,47.5411,3.0,2.55681,50.0979,51.0676,3.52687,51.0681,51.8332
10,0,10,9,2,0.750000,2,1.0,9.0,51.837,3.0,1.02952,52.8666,55.3517,3.51503,55.3522,56.1146
11,0,11,3,2,0.750000,2,1.0,10.0,56.1178,3.0,1.0515,57.1693,59.635,3.51757,59.6355,60.3957
12,0,12,3,2,0.750000,2,1.0,11.0,60.3986,3.0,1.1927,61.5913,63.927,3.52876,63.9275,64.6926
13,0,13,1,2,0.750000,2,1.0,12.0,64.6955,3.0,1.33021,66.0257,68.2127,3.51752,68.2132,68.9741
14,0,14,4,2,0.750000,2,1.0,13.0,68.9767,3.0,1.02022,69.9969,72.4899,3.51356,72.4904,73.2546
15,0,15,6,2,0.750000,2,1.0,14.0,73.2573,3.0,1.02657,74.2839,76.7709,3.51395,76.7713,77.5364
16,0,16,2,2,8,2,1.0,15.0,77.5392,3.0,1.03154,78.5708,81.0615,3.52267,81.062,89.0684
17,0,17,10,3,0.750000,3,1.0,16.0,89.0729,3.0,1.37484,90.4478,92.583,3.51045,92.5835,93.3484
18,0,18,2,3,0.750000,3,1.0,17.0,93.3523,3.0,1.11616,94.4685,96.8799,3.52794,96.8804,97.6375
19,0,19,4,3,0.750000,3,1.0,18.0,97.6407,3.0,1.02984,98.6705,101.146,3.50567,101.147,101.902
20,0,20,3,3,0.750000,3,1.0,19.0,101.905,3.0,1.0171,102.922,105.411,3.50605,105.411,106.176
21,0,21,4,3,0.750000,3,1.0,20.0,106.179,3.0,1.03153,107.211,109.693,3.51417,109.694,110.459
22,0,22,4,3,0.750000,3,1.0,21.0,110.462,3.0,1.0193,111.481,113.989,3.52787,113.99,114.755
23,0,23,5,3,0.750000,3,1.0,22.0,114.758,3.0,1.02649,115.785,118.286,3.5285,118.287,119.052
24,0,24,2,3,10,3,1.0,23.0,119.055,3.0,1.03377,120.089,122.563,3.50802,122.563,132.567
25,1,25,3,2,0.750000,4,1.0,24.0,132.571,3.0,1.27959,133.851,136.098,3.52766,136.099,136.856
26,1,26,7,2,0.750000,4,1.0,25.0,136.859,3.0,1.02784,137.886,140.381,3.5227,140.381,141.146
27,1,27,10,2,0.750000,4,1.0,26.0,141.149,3.0,1.07403,142.223,144.661,3.51217,144.661,145.426
28,1,28,10,2,0.750000,4,1.0,27.0,145.429,3.0,1.08093,146.51,148.958,3.52947,148.959,149.724
29,1,29,9,2,0.750000,4,1.0,28.0,149.726,3.0,1.73872,151.465,153.247,3.5212,153.248,154.005
30,1,30,8,2,0.750000,4,1.0,29.0,154.007,3.0,1.59404,155.601,157.536,3.52932,157.537,158.302
31,1,31,7,2,0.750000,4,1.0,30.0,158.304,3.0,1.03355,159.338,161.833,3.52917,161.834,162.599
32,1,32,5,2,8,4,1.0,31.0,162.602,3.0,1.58972,164.191,166.113,3.51192,166.114,174.122
33,1,33,7,3,0.750000,5,1.0,32.0,174.127,3.0,1.27463,175.401,177.646,3.51944,177.646,178.411
34,1,34,7,3,0.750000,5,1.0,33.0,178.415,3.0,1.02157,179.437,181.927,3.51175,181.927,182.692
35,1,35,10,3,0.750000,5,1.0,34.0,182.696,3.0,1.02868,183.724,186.221,3.52547,186.221,186.986
36,1,36,7,3,0.750000,5,1.0,35.0,186.989,3.0,1.02168,188.011,190.513,3.52387,190.513,191.278
37,1,37,6,3,0.750000,5,1.0,36.0,191.281,3.0,1.13132,192.413,194.786,3.50523,194.787,195.552
38,1,38,10,3,0.750000,5,1.0,37.0,195.555,3.0,1.02968,196.585,199.085,3.53078,199.086,199.849
39,1,39,9,3,0.750000,5,1.0,38.0,199.852,3.0,1.01941,200.871,203.354,3.50197,203.354,204.119
40,1,40,1,3,10,5,1.0,39.0,204.122,3.0,1.13624,205.258,207.631,3.50935,207.632,217.646
41,0,41,4,1,0.750000,6,1.0,40.0,217.649,3.0,1.02036,218.669,221.161,3.51251,221.162,221.927
42,0,42,1,1,0.750000,6,1.0,41.0,221.931,3.0,1.02584,222.957,225.442,3.5113,225.442,226.193
43,0,43,6,1,0.750000,6,1.0,42.0,226.196,3.0,1.03018,227.226,229.709,3.51362,229.71,230.475
44,0,44,3,1,0.750000,6,1.0,43.0,230.477,3.0,1.01833,231.496,233.979,3.50236,233.98,234.745
45,0,45,1,1,0.750000,6,1.0,44.0,234.747,3.0,1.01902,235.766,238.255,3.50792,238.255,239.021
46,0,46,8,1,0.750000,6,1.0,45.0,239.023,3.0,1.03036,240.053,242.55,3.52776,242.551,243.316
47,0,47,1,1,0.750000,6,1.0,46.0,243.318,3.0,1.32244,244.641,246.839,3.52165,246.84,247.605
48,0,48,3,1,12,6,1.0,47.0,247.607,3.0,1.06982,248.677,251.114,3.50656,251.114,263.13
49,1,49,9,1,0.750000,7,1.0,48.0,263.132,3.0,1.02579,264.158,266.649,3.51697,266.649,267.412
