Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,2,2,1,5.000000e-01,2
2,4,2,1,1,5.000000e-01,2
3,4,8,3,0,5.000000e-01,2
4,4,2,1,0,5.000000e-01,6
5,8,4,2,1,3.500000e+00,4
6,4,0,3,1,5.000000e-01,2
7,8,2,1,1,5.000000e-01,2
8,0,2,3,1,5.000000e-01,4
9,8,4,1,1,2,2
10,8,2,2,1,2,4
11,8,4,1,0,3.500000e+00,2
12,8,0,1,1,5.000000e-01,8
13,2,8,3,0,2,4
14,4,2,2,0,2,2
15,0,4,2,1,5.000000e-01,2
16,0,8,3,1,2,2
17,8,2,1,0,3.500000e+00,6
18,0,4,1,1,5.000000e-01,4
19,2,4,3,0,5.000000e-01,4
20,0,2,1,0,5.000000e-01,6
21,2,0,3,0,5.000000e-01,6
22,2,8,2,0,3.500000e+00,4
23,8,0,3,0,5.000000e-01,2
24,4,8,2,0,5.000000e-01,4
25,0,8,1,0,5.000000e-01,2
26,4,2,3,1,3.500000e+00,2
27,8,0,2,1,2,4
28,4,0,2,0,2,2
29,4,0,1,0,2,2
30,0,8,2,0,5.000000e-01,4
31,4,8,3,1,3.500000e+00,6
32,0,2,1,1,5.000000e-01,8
33,2,0,2,0,2,2
34,0,4,3,0,5.000000e-01,8
35,2,4,2,1,5.000000e-01,2
36,8,2,3,1,2,2
