Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,4,1,0,5.000000e-01,4
2,2,0,1,0,2,2
3,0,2,1,1,3.500000e+00,4
4,4,8,2,0,5.000000e-01,2
5,4,2,1,1,5.000000e-01,8
6,2,0,2,1,5.000000e-01,4
7,8,2,2,0,5.000000e-01,2
8,4,8,3,0,5.000000e-01,2
9,8,0,3,1,2,2
10,2,4,2,1,3.500000e+00,4
11,4,0,2,0,5.000000e-01,2
12,2,4,3,1,5.000000e-01,2
13,8,4,1,1,3.500000e+00,8
14,0,4,3,0,5.000000e-01,2
15,0,8,1,1,5.000000e-01,6
16,2,8,1,0,5.000000e-01,2
17,0,8,2,0,2,6
18,4,2,3,0,5.000000e-01,4
19,4,8,2,1,2,2
20,2,8,1,1,5.000000e-01,4
21,4,2,2,0,5.000000e-01,4
22,4,0,1,0,3.500000e+00,2
23,8,4,1,0,5.000000e-01,8
24,4,0,3,1,2,2
25,2,8,3,1,2,4
26,8,4,3,1,5.000000e-01,4
27,0,4,1,1,5.000000e-01,2
28,2,8,2,1,3.500000e+00,6
29,2,8,3,0,2,4
30,0,8,1,0,5.000000e-01,2
31,2,0,3,1,3.500000e+00,2
32,0,2,2,0,5.000000e-01,2
33,4,0,2,1,2,2
34,0,8,2,1,2,6
35,2,0,3,0,2,6
36,8,0,3,0,5.000000e-01,2
