Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,0,3,0,5.000000e-01,6
2,8,0,2,0,2,2
3,4,8,3,0,5.000000e-01,4
4,2,0,2,0,2,8
5,8,0,1,0,5.000000e-01,2
6,8,4,3,1,5.000000e-01,2
7,2,4,3,1,5.000000e-01,4
8,8,2,1,1,2,4
9,4,2,2,0,3.500000e+00,2
10,4,8,1,1,2,4
11,0,2,3,1,5.000000e-01,4
12,0,8,3,0,5.000000e-01,2
13,8,2,2,1,2,2
14,8,0,1,1,5.000000e-01,4
15,4,2,1,1,5.000000e-01,2
16,2,0,2,1,5.000000e-01,2
17,4,2,3,0,2,6
18,0,8,3,1,5.000000e-01,4
19,2,0,1,0,5.000000e-01,4
20,8,2,3,1,3.500000e+00,2
21,2,0,1,1,2,2
22,4,0,2,0,2,2
23,4,2,2,1,5.000000e-01,6
24,8,2,3,0,5.000000e-01,2
25,4,0,3,1,2,8
26,0,4,3,0,3.500000e+00,2
27,4,0,2,1,5.000000e-01,8
28,4,0,1,1,5.000000e-01,2
29,4,8,1,0,2,2
30,0,8,2,1,3.500000e+00,2
31,2,4,1,0,3.500000e+00,4
32,4,8,2,0,5.000000e-01,4
33,8,4,2,1,5.000000e-01,6
34,4,0,1,0,5.000000e-01,6
35,8,2,2,0,5.000000e-01,2
36,8,2,1,0,3.500000e+00,2
