TrialNumber,Trial,ISI,Partner,ITI,cLeft,Reciprocate,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,5.00E-01,1,8,0,0,2,1,0,4.08,2,0,5.47109,low,1.39109,1.60891,5.99132,9.33013,9.33033,11.3513,7.27135,11.3517,19.3307
2,2,5.00E-01,3,2,4,1,8,1,1,19.3436,3,8,20.4895,high,1.1459,1.8541,21.0105,24.5942,24.6007,26.617,7.27338,26.6173,28.5947
3,3,5.00E-01,1,4,0,1,2,1,2,28.606,2,0,29.8245,low,1.21845,1.78155,30.3461,33.8573,33.8574,35.8674,7.2614,35.8677,39.857
4,4,5.00E-01,2,2,0,1,8,1,3,39.866,3,8,41.1232,high,1.25721,1.74279,41.6475,45.1171,45.1217,47.1322,7.26622,47.1325,49.1171
5,5,5.00E-01,3,2,2,0,4,1,4,49.1278,2,2,50.426,low,1.29823,1.70177,50.9483,54.3788,54.3833,56.3909,7.26315,56.3912,58.3788
6,6,3.50E+00,3,8,0,1,4,1,5,58.3847,3,4,59.6614,high,1.27666,1.72334,60.1824,66.6358,66.6407,68.6472,10.2625,68.6474,76.6355
7,7,3.50E+00,2,2,8,1,4,1,6,76.6436,3,4,78.1305,low,1.48688,1.51312,78.6501,84.8947,84.8992,86.9115,10.2679,86.9118,88.8948
8,8,5.00E-01,2,4,0,1,2,1,7,88.9034,3,2,90.1986,high,1.2952,1.7048,90.7191,94.1546,94.1548,96.1625,7.25907,96.1628,100.154
9,9,5.00E-01,2,2,4,0,2,1,8,100.163,3,2,101.797,low,1.63372,1.36628,102.32,105.414,105.419,107.429,7.26548,107.429,109.414
10,10,5.00E-01,1,4,8,0,0,1,9,109.427,3,0,111,low,1.57284,1.42716,111.52,114.678,114.678,116.695,7.26738,116.695,120.678
11,11,5.00E-01,2,2,2,0,0,1,10,120.686,2,2,122.235,high,1.54936,1.45064,122.756,125.937,125.937,127.945,7.25875,127.945,129.937
12,12,2,2,6,0,0,8,1,11,129.945,2,0,131.833,low,1.88731,1.11269,132.358,136.696,136.696,138.711,8.76606,138.712,144.696
13,13,3.50E+00,1,6,0,1,8,1,12,144.701,2,0,146.221,low,1.5199,1.4801,146.742,152.952,152.952,154.96,10.2586,154.96,160.952
