TrialNumber,IsFairBlock,Trialn,Offer,Partner,ITI,Blockn,ran,order,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,9,2,0.750000,1,1.0,0.0,4.06374,999.0,999.0,999.0,7.0764,3.5296,7.59367,8.36126
2,1,2,10,2,0.750000,1,1.0,1.0,8.36517,999.0,999.0,999.0,11.377,3.53039,11.8958,12.6617
3,1,3,7,2,0.750000,1,1.0,2.0,12.6653,999.0,999.0,999.0,15.6785,3.52929,16.1949,16.9627
4,1,4,9,2,0.750000,1,1.0,3.0,16.9663,999.0,999.0,999.0,19.9788,3.52933,20.496,21.2604
5,1,5,3,2,0.750000,1,1.0,4.0,21.2636,999.0,999.0,999.0,24.2796,3.53296,24.7968,25.5612
6,1,6,8,2,0.750000,1,1.0,5.0,25.5644,999.0,999.0,999.0,28.5799,3.53302,29.0977,29.8618
7,1,7,6,2,0.750000,1,1.0,6.0,29.8654,999.0,999.0,999.0,32.8806,3.53225,33.3979,34.1627
8,1,8,9,2,8,1,1.0,7.0,34.166,999.0,999.0,999.0,37.1806,3.53243,37.6988,45.7133
9,1,9,7,1,0.750000,2,1.0,8.0,45.7164,999.0,999.0,999.0,48.732,3.53359,49.2503,50.0154
10,1,10,10,1,0.750000,2,1.0,9.0,50.0183,999.0,999.0,999.0,53.0308,3.53084,53.5495,54.3148
11,1,11,7,1,0.750000,2,1.0,10.0,54.3178,999.0,999.0,999.0,57.3331,3.53292,57.8511,58.6149
12,1,12,5,1,0.750000,2,1.0,11.0,58.6184,999.0,999.0,999.0,61.6337,3.53205,62.1507,62.9155
13,1,13,7,1,0.750000,2,1.0,12.0,62.9184,999.0,999.0,999.0,65.9341,3.53302,66.4517,67.2173
14,1,14,9,1,0.750000,2,1.0,13.0,67.2201,999.0,999.0,999.0,70.2348,3.53222,70.7526,71.5176
15,1,15,2,1,0.750000,2,1.0,14.0,71.5204,999.0,999.0,999.0,74.5349,3.53174,75.0525,75.8175
16,1,16,8,1,12,2,1.0,15.0,75.8204,999.0,999.0,999.0,78.8354,3.5327,79.3536,91.3679
17,0,17,3,1,0.750000,3,1.0,16.0,91.3709,999.0,999.0,999.0,94.3862,3.53151,94.9027,95.6695
18,0,18,4,1,0.750000,3,1.0,17.0,95.6725,999.0,999.0,999.0,98.6879,3.5326,99.2054,99.9709
19,0,19,8,1,0.750000,3,1.0,18.0,99.9737,999.0,999.0,999.0,102.988,3.53199,103.506,104.273
20,0,20,1,1,0.750000,3,1.0,19.0,104.276,999.0,999.0,999.0,107.287,3.53066,107.806,108.573
21,0,21,3,1,0.750000,3,1.0,20.0,108.576,999.0,999.0,999.0,111.588,3.52976,112.106,112.872
22,0,22,6,1,0.750000,3,1.0,21.0,112.875,999.0,999.0,999.0,115.889,3.53253,116.408,117.173
23,0,23,3,1,0.750000,3,1.0,22.0,117.176,999.0,999.0,999.0,120.19,3.53051,120.707,121.474
24,0,24,4,1,12,3,1.0,23.0,121.477,999.0,999.0,999.0,124.49,3.53007,125.007,137.024
25,0,25,10,3,0.750000,4,1.0,24.0,137.028,999.0,999.0,999.0,140.042,3.53031,140.558,141.326
26,0,26,1,3,0.750000,4,1.0,25.0,141.329,999.0,999.0,999.0,144.343,3.52984,144.859,145.626
27,0,27,3,3,0.750000,4,1.0,26.0,145.63,999.0,999.0,999.0,148.644,3.53024,149.16,149.927
28,0,28,3,3,0.750000,4,1.0,27.0,149.93,999.0,999.0,999.0,152.943,3.52898,153.46,154.227
29,0,29,2,3,0.750000,4,1.0,28.0,154.231,999.0,999.0,999.0,157.244,3.53,157.761,158.529
30,0,30,6,3,0.750000,4,1.0,29.0,158.532,999.0,999.0,999.0,161.545,3.52828,162.061,162.828
31,0,31,1,3,0.750000,4,1.0,30.0,162.832,999.0,999.0,999.0,165.845,3.53003,166.362,167.129
32,0,32,4,3,10,4,1.0,31.0,167.132,999.0,999.0,999.0,170.146,3.52942,170.662,180.679
33,1,33,10,3,0.750000,5,1.0,32.0,180.682,999.0,999.0,999.0,183.695,3.53073,184.213,184.979
34,1,34,8,3,0.750000,5,1.0,33.0,184.983,999.0,999.0,999.0,187.998,3.5314,188.515,189.282
35,1,35,6,3,0.750000,5,1.0,34.0,189.286,999.0,999.0,999.0,192.298,3.5286,192.814,193.581
36,1,36,4,3,0.750000,5,1.0,35.0,193.584,999.0,999.0,999.0,196.599,3.53064,197.115,197.881
37,1,37,10,3,0.750000,5,1.0,36.0,197.884,999.0,999.0,999.0,200.899,3.5313,201.416,202.183
38,1,38,8,3,0.750000,5,1.0,37.0,202.186,999.0,999.0,999.0,205.2,3.52999,205.716,206.484
39,1,39,9,3,0.750000,5,1.0,38.0,206.487,999.0,999.0,999.0,209.5,3.52958,210.017,210.784
40,1,40,10,3,12,5,1.0,39.0,210.788,999.0,999.0,999.0,213.798,3.52899,214.317,226.333
41,1,41,6,2,0.750000,6,1.0,40.0,226.336,999.0,999.0,999.0,229.352,3.53202,229.868,230.637
42,1,42,9,2,0.750000,6,1.0,41.0,230.64,999.0,999.0,999.0,233.653,3.52947,234.17,234.936
43,1,43,10,2,0.750000,6,1.0,42.0,234.94,999.0,999.0,999.0,237.953,3.53045,238.47,239.237
44,1,44,7,2,0.750000,6,1.0,43.0,239.241,999.0,999.0,999.0,242.254,3.53028,242.771,243.537
45,1,45,7,2,0.750000,6,1.0,44.0,243.54,999.0,999.0,999.0,246.554,3.53167,247.072,247.837
