TrialNumber,Trialn,Feedback,ITI,Partner,BlockType,Blockn,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,3,0.750000,1,1,1,1.0,0.0,4.01689,0.0,999.0,999.0,999.0,6.52839,7.54557,3.52868,7.54589,8.31182
2,2,1,0.750000,1,1,1,1.0,1.0,8.31791,0.0,999.0,999.0,999.0,10.8286,11.8463,3.52841,11.8466,12.6124
3,3,1,0.750000,1,1,1,1.0,2.0,12.6175,0.0,999.0,999.0,999.0,15.1286,16.1472,3.52969,16.1475,16.9127
4,4,3,0.750000,1,1,1,1.0,3.0,16.9174,0.0,999.0,999.0,999.0,19.4299,20.4473,3.52985,20.4476,21.2131
5,5,1,0.750000,1,1,1,1.0,4.0,21.2176,0.0,999.0,999.0,999.0,23.7302,24.7477,3.53012,24.748,25.5139
6,6,1,0.750000,1,1,1,1.0,5.0,25.519,0.0,999.0,999.0,999.0,28.0307,29.049,3.53004,29.0493,29.8137
7,7,1,0.750000,1,1,1,1.0,6.0,29.8188,0.0,999.0,999.0,999.0,32.3311,33.3493,3.53042,33.3495,34.1148
8,8,1,10,1,1,1,1.0,7.0,34.1199,0.0,999.0,999.0,999.0,36.6327,37.6481,3.52829,37.6484,47.6486
9,9,1,0.750000,2,3,2,1.0,8.0,47.656,0.0,999.0,999.0,999.0,50.1677,51.1837,3.52772,51.184,51.9491
10,10,1,0.750000,2,3,2,1.0,9.0,51.9534,0.0,999.0,999.0,999.0,54.4678,55.485,3.53156,55.4852,56.2495
11,11,1,0.750000,2,3,2,1.0,10.0,56.2541,0.0,999.0,999.0,999.0,58.7684,59.7856,3.53152,59.7859,60.5501
12,12,2,0.750000,2,3,2,1.0,11.0,60.5547,0.0,999.0,999.0,999.0,63.0688,64.0859,3.53124,64.0862,64.8498
13,13,1,0.750000,2,3,2,1.0,12.0,64.8548,0.0,999.0,999.0,999.0,67.3694,68.3868,3.53199,68.3872,69.1511
14,14,2,0.750000,2,3,2,1.0,13.0,69.1554,0.0,999.0,999.0,999.0,71.6701,72.687,3.53154,72.6872,73.4515
15,15,1,0.750000,2,3,2,1.0,14.0,73.4561,0.0,999.0,999.0,999.0,75.9703,76.9875,3.53139,76.9877,77.7519
16,16,1,8,2,3,2,1.0,15.0,77.7565,0.0,999.0,999.0,999.0,80.2706,81.2875,3.53093,81.2877,89.3031
17,17,3,0.750000,3,6,3,1.0,16.0,89.3103,0.0,999.0,999.0,999.0,91.8224,92.8392,3.52888,92.8395,93.6029
18,18,3,0.750000,3,6,3,1.0,17.0,93.6055,0.0,999.0,999.0,999.0,96.1228,97.1395,3.534,97.1398,97.9041
19,19,3,0.750000,3,6,3,1.0,18.0,97.9087,0.0,999.0,999.0,999.0,100.423,101.439,3.53003,101.439,102.205
20,20,2,0.750000,3,6,3,1.0,19.0,102.209,0.0,999.0,999.0,999.0,104.724,105.741,3.53154,105.741,106.504
21,21,3,0.750000,3,6,3,1.0,20.0,106.509,0.0,999.0,999.0,999.0,109.024,110.041,3.5325,110.041,110.806
22,22,3,0.750000,3,6,3,1.0,21.0,110.81,0.0,999.0,999.0,999.0,113.322,114.341,3.5311,114.341,115.106
23,23,2,0.750000,3,6,3,1.0,22.0,115.11,0.0,999.0,999.0,999.0,117.625,118.641,3.53103,118.641,119.407
24,24,3,8,3,6,3,1.0,23.0,119.411,0.0,999.0,999.0,999.0,121.925,122.942,3.53102,122.942,130.942
25,25,1,0.750000,1,1,4,1.0,24.0,130.952,0.0,999.0,999.0,999.0,133.459,134.476,3.52478,134.477,135.243
26,26,3,0.750000,1,1,4,1.0,25.0,135.248,0.0,999.0,999.0,999.0,137.759,138.778,3.52954,138.778,139.543
27,27,1,0.750000,1,1,4,1.0,26.0,139.548,0.0,999.0,999.0,999.0,142.06,143.078,3.53031,143.078,143.844
28,28,1,0.750000,1,1,4,1.0,27.0,143.849,0.0,999.0,999.0,999.0,146.36,147.379,3.53019,147.379,148.144
29,29,1,0.750000,1,1,4,1.0,28.0,148.15,0.0,999.0,999.0,999.0,150.66,151.679,3.52891,151.68,152.445
30,30,2,0.750000,1,1,4,1.0,29.0,152.45,0.0,999.0,999.0,999.0,154.961,155.98,3.52972,155.98,156.745
31,31,1,0.750000,1,1,4,1.0,30.0,156.749,0.0,999.0,999.0,999.0,159.262,160.28,3.53136,160.28,161.046
32,32,1,10,1,1,4,1.0,31.0,161.051,0.0,999.0,999.0,999.0,163.563,164.58,3.52913,164.58,174.58
33,33,1,0.750000,1,2,5,1.0,32.0,174.585,0.0,999.0,999.0,999.0,177.099,178.114,3.52857,178.114,178.881
34,34,3,0.750000,1,2,5,1.0,33.0,178.886,0.0,999.0,999.0,999.0,181.399,182.415,3.52929,182.415,183.181
35,35,2,0.750000,1,2,5,1.0,34.0,183.187,0.0,999.0,999.0,999.0,185.699,186.715,3.5288,186.716,187.482
36,36,3,0.750000,1,2,5,1.0,35.0,187.487,0.0,999.0,999.0,999.0,190.0,191.015,3.52826,191.016,191.782
37,37,3,0.750000,1,2,5,1.0,36.0,191.788,0.0,999.0,999.0,999.0,194.3,195.316,3.52828,195.316,196.083
38,38,3,0.750000,1,2,5,1.0,37.0,196.088,0.0,999.0,999.0,999.0,198.6,199.617,3.5288,199.617,200.384
39,39,3,0.750000,1,2,5,1.0,38.0,200.389,0.0,999.0,999.0,999.0,202.901,203.917,3.52855,203.918,204.684
40,40,3,12,1,2,5,1.0,39.0,204.689,0.0,999.0,999.0,999.0,207.201,208.216,3.5271,208.216,220.218
41,41,3,0.750000,2,4,6,1.0,40.0,220.225,0.0,999.0,999.0,999.0,222.737,223.753,3.52753,223.753,224.518
42,42,3,0.750000,2,4,6,1.0,41.0,224.523,0.0,999.0,999.0,999.0,227.037,228.054,3.53092,228.054,228.819
43,43,3,0.750000,2,4,6,1.0,42.0,228.823,0.0,999.0,999.0,999.0,231.338,232.354,3.53113,232.355,233.119
44,44,2,0.750000,2,4,6,1.0,43.0,233.124,0.0,999.0,999.0,999.0,235.639,236.654,3.53067,236.655,237.419
45,45,2,0.750000,2,4,6,1.0,44.0,237.424,0.0,999.0,999.0,999.0,239.936,240.954,3.53043,240.954,241.72
46,46,3,0.750000,2,4,6,1.0,45.0,241.723,0.0,999.0,999.0,999.0,244.24,245.257,3.53389,245.257,246.021
47,47,3,0.750000,2,4,6,1.0,46.0,246.025,0.0,999.0,999.0,999.0,248.54,249.557,3.53234,249.558,250.321
48,48,3,8,2,4,6,1.0,47.0,250.326,0.0,999.0,999.0,999.0,252.84,253.858,3.53182,253.858,261.873
