TrialNumber,Trialn,Feedback,ITI,Partner,BlockType,Blockn,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,0.750000,1,1,1,1.0,0.0,4.05409,3.0,4.85263,0.798539,4.0,6.5556,7.58257,3.52848,7.58293,8.35027
2,2,1,0.750000,1,1,1,1.0,1.0,8.35536,2.0,9.06987,0.714517,9.0,10.8568,11.8655,3.51018,11.8658,12.6163
3,3,1,0.750000,1,1,1,1.0,2.0,12.6203,3.0,13.0691,0.448841,3.0,15.1217,16.1345,3.51425,16.1348,16.9011
4,4,1,0.750000,1,1,1,1.0,3.0,16.9058,3.0,17.5844,0.678624,2.0,19.4072,20.4178,3.51199,20.4182,21.1682
5,5,2,0.750000,1,1,1,1.0,4.0,21.173,2.0,21.587,0.414026,5.0,23.6743,24.703,3.53007,24.7033,25.4688
6,6,1,0.750000,1,1,1,1.0,5.0,25.4736,3.0,25.8718,0.398209,4.0,27.9747,28.9854,3.51179,28.9857,29.7507
7,7,2,0.750000,1,1,1,1.0,6.0,29.7539,2.0,30.0533,0.299398,5.0,32.2553,33.2691,3.51512,33.2694,34.0349
8,8,1,12,1,1,1,1.0,7.0,34.0399,2.0,34.3879,0.347953,6.0,36.5413,37.5525,3.51259,37.5528,49.5545
9,9,3,0.750000,3,5,2,1.0,8.0,49.5661,3.0,50.2561,0.689979,7.0,52.067,53.0889,3.52278,53.0891,53.8553
10,10,1,0.750000,3,5,2,1.0,9.0,53.86,2.0,54.2239,0.363856,8.0,56.3613,57.3897,3.52967,57.3899,58.156
11,11,1,0.750000,3,5,2,1.0,10.0,58.1606,2.0,58.5921,0.431543,6.0,60.6619,61.6718,3.5112,61.6721,62.4227
12,12,1,0.750000,3,5,2,1.0,11.0,62.4273,3.0,62.7915,0.364185,2.0,64.9286,65.9395,3.51218,65.9398,66.6901
13,13,1,0.750000,3,5,2,1.0,12.0,66.6946,3.0,67.1429,0.448334,1.0,69.196,70.2066,3.51198,70.2068,70.957
14,14,1,0.750000,3,5,2,1.0,13.0,70.9615,2.0,71.3257,0.364192,6.0,73.4628,74.4732,3.51168,74.4734,75.2246
15,15,2,0.750000,3,5,2,1.0,14.0,75.229,3.0,75.5594,0.330392,5.0,77.7295,78.7412,3.51219,78.7415,79.5067
