TrialNumber,Trialn,Feedback,ITI,Partner,BlockType,Blockn,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,3,0.750000,1,1,1,1.0,0.0,4.01301,3.0,4.46172,0.448713,7.0,6.51395,7.52618,3.51318,7.52651,8.29154
2,2,1,0.750000,1,1,1,1.0,1.0,8.29671,2.0,8.99449,0.697778,6.0,10.7971,11.8097,3.51297,11.8099,12.5767
3,3,1,0.750000,1,1,1,1.0,2.0,12.5819,3.0,13.0127,0.430893,3.0,15.0823,16.0939,3.512,16.0941,16.8592
4,4,3,0.750000,1,1,1,1.0,3.0,16.8641,3.0,17.2797,0.41561,6.0,19.3655,20.3775,3.51343,20.3778,21.1431
5,5,1,0.750000,1,1,1,1.0,4.0,21.1482,3.0,22.0468,0.898605,2.0,23.6496,24.6615,3.51337,24.6618,25.4277
6,6,1,0.750000,1,1,1,1.0,5.0,25.4328,3.0,26.3804,0.947647,4.0,27.9342,28.9439,3.51109,28.9441,29.7118
7,7,1,0.750000,1,1,1,1.0,6.0,29.7169,2.0,30.2812,0.564393,8.0,32.2182,33.228,3.51117,33.2283,33.9955
8,8,1,10,1,1,1,1.0,7.0,34.0006,0.0,999.0,999.0,999.0,36.5133,37.5294,3.5288,37.5296,47.5446
9,9,1,0.750000,2,3,2,1.0,8.0,47.5512,3.0,48.0495,0.498312,2.0,50.0516,51.0637,3.51247,51.0639,51.8141
10,10,1,0.750000,2,3,2,1.0,9.0,51.8184,2.0,52.3499,0.531519,6.0,54.3198,55.3308,3.5124,55.3311,56.0814
11,11,1,0.750000,2,3,2,1.0,10.0,56.0857,2.0,56.8346,0.748949,8.0,58.587,59.5982,3.51255,59.5985,60.365
12,12,2,0.750000,2,3,2,1.0,11.0,60.3693,2.0,61.5637,1.19444,5.0,62.8706,63.8826,3.51333,63.8829,64.647
13,13,1,0.750000,2,3,2,1.0,12.0,64.6516,3.0,66.0677,1.41617,1.0,67.153,68.1658,3.51427,68.1661,68.9316
14,14,2,0.750000,2,3,2,1.0,13.0,68.9362,2.0,70.0524,1.11624,5.0,71.4375,72.4487,3.51255,72.449,73.1999
15,15,1,0.750000,2,3,2,1.0,14.0,73.2044,3.0,74.4519,1.24742,1.0,75.7058,76.7154,3.51094,76.7157,77.4823
16,16,1,8,2,3,2,1.0,15.0,77.4863,3.0,78.4682,0.981901,1.0,79.9867,81.0022,3.51587,81.0024,89.0184
17,17,3,0.750000,3,6,3,1.0,16.0,89.0252,2.0,89.5046,0.479425,4.0,91.5265,92.5536,3.52839,92.5538,93.3177
18,18,3,0.750000,3,6,3,1.0,17.0,93.322,3.0,93.6885,0.366526,6.0,95.8234,96.8355,3.5135,96.8358,97.5861
19,19,3,0.750000,3,6,3,1.0,18.0,97.5907,2.0,98.5724,0.981713,3.0,100.092,101.104,3.51284,101.104,101.869
20,20,2,0.750000,3,6,3,1.0,19.0,101.874,2.0,103.006,1.13227,5.0,104.375,105.386,3.51292,105.387,106.154
21,21,3,0.750000,3,6,3,1.0,20.0,106.158,2.0,107.924,1.76533,4.0,108.66,109.669,3.51127,109.67,110.438
22,22,3,0.750000,3,6,3,1.0,21.0,110.442,0.0,999.0,999.0,999.0,112.954,113.971,3.52853,113.971,114.738
23,23,2,0.750000,3,6,3,1.0,22.0,114.742,2.0,115.341,0.599126,5.0,117.243,118.255,3.51339,118.256,119.021
24,24,3,8,3,6,3,1.0,23.0,119.025,3.0,119.608,0.583141,7.0,121.526,122.539,3.5142,122.539,130.556
25,25,1,0.750000,1,1,4,1.0,24.0,130.565,2.0,131.326,0.76139,9.0,133.066,134.09,3.52549,134.091,134.857
26,26,3,0.750000,1,1,4,1.0,25.0,134.862,2.0,135.56,0.698442,1.0,137.363,138.373,3.51156,138.374,139.124
27,27,1,0.750000,1,1,4,1.0,26.0,139.129,3.0,141.461,2.33132,3.0,141.63,142.659,3.52999,142.659,143.423
28,28,1,0.750000,1,1,4,1.0,27.0,143.428,0.0,999.0,999.0,999.0,145.942,146.959,3.5312,146.96,147.724
29,29,1,0.750000,1,1,4,1.0,28.0,147.729,2.0,149.745,2.01632,8.0,150.229,151.241,3.51214,151.241,152.008
30,30,2,0.750000,1,1,4,1.0,29.0,152.013,2.0,152.827,0.814789,5.0,154.514,155.526,3.51315,155.526,156.292
31,31,1,0.750000,1,1,4,1.0,30.0,156.296,3.0,158.713,2.41637,1.0,158.797,159.809,3.51281,159.809,160.56
32,32,1,10,1,1,4,1.0,31.0,160.565,2.0,161.978,1.41333,9.0,163.065,164.076,3.51135,164.076,174.078
33,33,1,0.750000,1,2,5,1.0,32.0,174.083,2.0,175.297,1.21384,9.0,176.585,177.594,3.51119,177.595,178.362
34,34,3,0.750000,1,2,5,1.0,33.0,178.367,2.0,179.931,1.56434,2.0,180.868,181.878,3.51165,181.879,182.645
35,35,2,0.750000,1,2,5,1.0,34.0,182.65,2.0,185.031,2.3809,5.0,185.151,186.181,3.53062,186.181,186.946
36,36,3,0.750000,1,2,5,1.0,35.0,186.951,2.0,187.698,0.746744,2.0,189.453,190.48,3.52855,190.48,191.246
37,37,3,0.750000,1,2,5,1.0,36.0,191.251,3.0,192.566,1.315,8.0,193.753,194.762,3.51109,194.763,195.514
38,38,3,0.750000,1,2,5,1.0,37.0,195.518,0.0,999.0,999.0,999.0,198.032,199.047,3.52906,199.048,199.813
39,39,3,0.750000,1,2,5,1.0,38.0,199.816,0.0,999.0,999.0,999.0,202.33,203.347,3.53115,203.347,204.113
40,40,3,12,1,2,5,1.0,39.0,204.116,3.0,205.234,1.11809,7.0,206.617,207.632,3.51592,207.632,219.633
41,41,3,0.750000,2,4,6,1.0,40.0,219.641,3.0,220.119,0.47825,9.0,222.142,223.168,3.52736,223.168,223.933
42,42,3,0.750000,2,4,6,1.0,41.0,223.937,3.0,224.583,0.646032,7.0,226.438,227.451,3.51425,227.452,228.218
43,43,3,0.750000,2,4,6,1.0,42.0,228.222,3.0,228.653,0.430742,8.0,230.723,231.733,3.51043,231.733,232.485
44,44,2,0.750000,2,4,6,1.0,43.0,232.489,3.0,233.153,0.663934,5.0,234.99,236.001,3.51232,236.002,236.752
45,45,2,0.750000,2,4,6,1.0,44.0,236.756,3.0,237.337,0.580597,5.0,239.257,240.268,3.51239,240.269,241.019
46,46,3,0.750000,2,4,6,1.0,45.0,241.023,3.0,242.451,1.42848,9.0,243.524,244.536,3.51276,244.536,245.286
47,47,3,0.750000,2,4,6,1.0,46.0,245.29,2.0,246.321,1.03144,1.0,247.791,248.803,3.51367,248.804,249.569
48,48,3,8,2,4,6,1.0,47.0,249.574,2.0,250.335,0.761087,3.0,252.075,253.087,3.51293,253.087,261.088
49,49,1,0.750000,2,3,7,1.0,48.0,261.092,3.0,261.607,0.515128,3.0,263.594,264.604,3.51136,264.604,265.372
50,50,1,0.750000,2,3,7,1.0,49.0,265.376,2.0,266.089,0.712334,9.0,267.878,268.888,3.51174,268.888,269.655
