TrialNumber,IsFairBlock,Trialn,Offer,Partner,ITI,Blockn,ran,order,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,0,1,4,3,0.750000,1,1.0,0.0,4.01438,2.0,1.02952,5.0439,7.53037,3.51655,7.53117,8.29349
2,0,2,5,3,0.750000,1,1.0,1.0,8.29689,3.0,1.79869,10.0956,11.8128,3.51625,11.8133,12.5784
3,0,3,2,3,0.750000,1,1.0,2.0,12.5817,2.0,2.54919,15.1309,16.0954,3.51404,16.0959,16.8624
4,0,4,1,3,0.750000,1,1.0,3.0,16.8656,3.0,1.38104,18.2467,20.3808,3.51551,20.3813,21.1463
5,0,5,3,3,0.750000,1,1.0,4.0,21.1495,2.0,2.6119,23.7614,24.6679,3.5188,24.6686,25.4299
6,0,6,8,3,0.750000,1,1.0,5.0,25.4333,3.0,2.26449,27.6977,28.9483,3.51541,28.9489,29.7126
7,0,7,2,3,0.750000,1,1.0,6.0,29.7159,3.0,1.91561,31.6315,33.2316,3.51607,33.2321,33.996
8,0,8,3,3,12,1,1.0,7.0,33.9993,2.0,1.80046,35.7997,37.5118,3.51295,37.5124,49.5298
9,0,9,4,1,0.750000,2,1.0,8.0,49.5332,2.0,1.53357,51.0667,53.0493,3.51651,53.0499,53.8163
10,0,10,6,1,0.750000,2,1.0,9.0,53.8192,3.0,1.43269,55.2519,57.3333,3.5145,57.3339,58.0991
11,0,11,2,1,0.750000,2,1.0,10.0,58.102,3.0,1.64819,59.7502,61.6165,3.51491,61.6171,62.3828
12,0,12,10,1,0.750000,2,1.0,11.0,62.3856,3.0,1.43333,63.8189,65.9007,3.51548,65.9013,66.666
13,0,13,1,1,0.750000,2,1.0,12.0,66.6688,2.0,1.41783,68.0866,70.183,3.51461,70.1836,70.9503
14,0,14,4,1,0.750000,2,1.0,13.0,70.9532,3.0,1.63382,72.587,74.4674,3.51453,74.468,75.2343
15,0,15,4,1,0.750000,2,1.0,14.0,75.2371,2.0,1.03009,76.2672,78.7559,3.51921,78.7566,79.5177
16,0,16,3,1,10,2,1.0,15.0,79.5206,2.0,1.93443,81.455,83.0353,3.5155,83.0365,93.0509
17,1,17,8,1,0.750000,3,1.0,16.0,93.0539,3.0,1.03323,94.0871,96.5702,3.51677,96.5709,97.3372
18,1,18,7,1,0.750000,3,1.0,17.0,97.3401,3.0,1.02985,98.3699,100.859,3.51903,100.859,101.621
19,1,19,4,1,0.750000,3,1.0,18.0,101.624,999.0,999.0,999.0,104.637,3.53192,105.156,105.921
20,1,20,5,1,0.750000,3,1.0,19.0,105.924,999.0,999.0,999.0,108.938,3.53263,109.457,110.222
21,1,21,9,1,0.750000,3,1.0,20.0,110.225,3.0,1.03017,111.255,113.743,3.51785,113.743,114.506
22,1,22,7,1,0.750000,3,1.0,21.0,114.509,3.0,1.58064,116.09,118.025,3.51667,118.026,118.79
23,1,23,10,1,0.750000,3,1.0,22.0,118.793,3.0,1.7817,120.575,122.308,3.51502,122.308,123.074
24,1,24,9,1,12,3,1.0,23.0,123.077,2.0,1.84991,124.927,126.589,3.51308,126.59,138.607
25,0,25,2,2,0.750000,4,1.0,24.0,138.61,3.0,1.0313,139.642,142.127,3.51766,142.128,142.892
26,0,26,3,2,0.750000,4,1.0,25.0,142.895,2.0,2.65032,145.546,146.409,3.51364,146.409,147.175
27,0,27,2,2,0.750000,4,1.0,26.0,147.179,3.0,2.09743,149.276,150.696,3.51748,150.696,151.46
28,0,28,9,2,0.750000,4,1.0,27.0,151.463,2.0,2.06669,153.53,154.978,3.51549,154.979,155.743
29,0,29,6,2,0.750000,4,1.0,28.0,155.746,3.0,2.31697,158.063,159.261,3.51507,159.262,160.027
30,0,30,1,2,0.750000,4,1.0,29.0,160.03,2.0,1.46631,161.497,163.544,3.51389,163.545,164.311
31,0,31,2,2,0.750000,4,1.0,30.0,164.314,3.0,1.43023,165.745,167.831,3.51715,167.832,168.595
32,0,32,4,2,8,4,1.0,31.0,168.599,2.0,1.0293,169.628,172.115,3.51708,172.116,180.129
33,0,33,8,1,0.750000,5,1.0,32.0,180.132,2.0,1.63189,181.764,183.649,3.51741,183.649,184.412
34,0,34,6,1,0.750000,5,1.0,33.0,184.415,999.0,999.0,999.0,187.429,3.53289,187.948,188.712
35,0,35,2,1,0.750000,5,1.0,34.0,188.715,2.0,1.38441,190.1,192.228,3.51346,192.229,192.998
36,0,36,1,1,0.750000,5,1.0,35.0,193.001,3.0,2.61486,195.616,196.517,3.51581,196.517,197.28
37,0,37,4,1,0.750000,5,1.0,36.0,197.283,3.0,1.83279,199.116,200.8,3.51726,200.801,201.567
38,0,38,1,1,0.750000,5,1.0,37.0,201.57,3.0,1.46213,203.032,205.088,3.51831,205.089,205.849
39,0,39,4,1,0.750000,5,1.0,38.0,205.852,3.0,2.35094,208.203,209.364,3.51284,209.365,210.133
40,0,40,4,1,12,5,1.0,39.0,210.136,3.0,2.01658,212.153,213.65,3.51415,213.651,225.666
41,0,41,2,2,0.750000,6,1.0,40.0,225.669,3.0,1.03215,226.701,229.186,3.51775,229.187,229.951
42,0,42,10,2,0.750000,6,1.0,41.0,229.955,3.0,1.70001,231.655,233.468,3.51398,233.469,234.237
43,0,43,4,2,0.750000,6,1.0,42.0,234.24,3.0,2.09904,236.339,237.755,3.51525,237.755,238.52
44,0,44,5,2,0.750000,6,1.0,43.0,238.523,2.0,1.19524,239.718,242.042,3.51933,242.043,242.804
45,0,45,1,2,0.750000,6,1.0,44.0,242.807,2.0,1.0302,243.837,246.324,3.51745,246.325,247.088
46,0,46,1,2,0.750000,6,1.0,45.0,247.091,3.0,1.38134,248.472,250.606,3.51562,250.607,251.371
47,0,47,3,2,0.750000,6,1.0,46.0,251.374,3.0,1.53226,252.907,254.89,3.5155,254.89,255.656
48,0,48,2,2,8,6,1.0,47.0,255.659,3.0,1.43189,257.091,259.174,3.51516,259.175,267.189
49,1,49,10,1,0.750000,7,1.0,48.0,267.192,3.0,1.03208,268.224,270.708,3.51626,270.708,271.474
50,1,50,9,1,0.750000,7,1.0,49.0,271.477,3.0,1.39985,272.876,274.991,3.51502,274.992,275.757
51,1,51,2,1,0.750000,7,1.0,50.0,275.76,3.0,1.78124,277.541,279.276,3.51655,279.277,280.042
52,1,52,10,1,0.750000,7,1.0,51.0,280.045,3.0,1.1466,281.191,283.562,3.51817,283.563,284.325
53,1,53,10,1,0.750000,7,1.0,52.0,284.328,2.0,1.56709,285.895,287.843,3.51532,287.843,288.609
54,1,54,5,1,0.750000,7,1.0,53.0,288.612,2.0,2.49696,291.109,292.127,3.51598,292.128,292.893
55,1,55,7,1,0.750000,7,1.0,54.0,292.896,2.0,2.89724,295.793,296.412,3.5167,296.413,297.178
56,1,56,9,1,8,7,1.0,55.0,297.18,999.0,999.0,999.0,300.191,3.52846,300.709,308.727
57,1,57,5,2,0.750000,8,1.0,56.0,308.73,2.0,1.11683,309.847,312.244,3.51428,312.245,313.011
58,1,58,8,2,0.750000,8,1.0,57.0,313.014,2.0,1.39905,314.413,316.529,3.51472,316.529,317.295
59,1,59,3,2,0.750000,8,1.0,58.0,317.298,2.0,1.03092,318.329,320.814,3.51612,320.815,321.58
60,1,60,10,2,0.750000,8,1.0,59.0,321.583,3.0,1.14568,322.729,325.101,3.51825,325.102,325.863
61,1,61,8,2,0.750000,8,1.0,60.0,325.866,3.0,1.51587,327.382,329.381,3.51584,329.382,330.147
62,1,62,9,2,0.750000,8,1.0,61.0,330.15,3.0,1.51562,331.666,333.665,3.51489,333.665,334.43
63,1,63,9,2,0.750000,8,1.0,62.0,334.434,3.0,1.49862,335.932,337.95,3.51637,337.95,338.715
64,1,64,10,2,10,8,1.0,63.0,338.719,2.0,1.02815,339.747,342.236,3.51822,342.237,352.248
65,1,65,8,3,0.750000,9,1.0,64.0,352.251,3.0,2.53491,354.786,355.765,3.51435,355.766,356.532
66,1,66,7,3,0.750000,9,1.0,65.0,356.536,3.0,1.4673,358.003,360.05,3.51503,360.051,360.817
67,1,67,5,3,0.750000,9,1.0,66.0,360.82,2.0,1.03012,361.85,364.337,3.51728,364.338,365.101
68,1,68,7,3,0.750000,9,1.0,67.0,365.104,3.0,1.26569,366.37,368.619,3.5151,368.619,369.385
69,1,69,7,3,0.750000,9,1.0,68.0,369.388,2.0,1.02883,370.417,372.907,3.51882,372.907,373.668
70,1,70,7,3,0.750000,9,1.0,69.0,373.671,2.0,1.74921,375.42,377.186,3.51476,377.186,377.953
71,1,71,1,3,0.750000,9,1.0,70.0,377.958,3.0,1.66403,379.622,381.473,3.51515,381.473,382.235
72,1,72,7,3,10,9,1.0,71.0,382.239,999.0,999.0,999.0,385.253,3.53251,385.771,395.786
