TrialNumber,IsFairBlock,Trialn,Offer,Partner,ITI,Blockn,ran,order,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,0,1,4,3,0.750000,1,1.0,0.0,4.01353,999.0,999.0,999.0,7.02791,3.53199,7.54588,8.31065
2,0,2,5,3,0.750000,1,1.0,1.0,8.31411,999.0,999.0,999.0,11.3269,3.52939,11.8438,12.611
3,0,3,2,3,0.750000,1,1.0,2.0,12.6147,999.0,999.0,999.0,15.6288,3.532,16.147,16.9124
4,0,4,1,3,0.750000,1,1.0,3.0,16.9179,999.0,999.0,999.0,19.9284,3.52874,20.4469,21.2136
5,0,5,3,3,0.750000,1,1.0,4.0,21.217,999.0,999.0,999.0,24.2287,3.53007,24.7474,25.5138
6,0,6,8,3,0.750000,1,1.0,5.0,25.5171,999.0,999.0,999.0,28.5294,3.53062,29.048,29.8146
7,0,7,2,3,0.750000,1,1.0,6.0,29.8178,999.0,999.0,999.0,32.829,3.52984,33.348,34.1146
8,0,8,3,3,12,1,1.0,7.0,34.118,999.0,999.0,999.0,37.1299,3.53095,37.6492,49.6651
9,0,9,4,1,0.750000,2,1.0,8.0,49.6681,999.0,999.0,999.0,52.6825,3.53067,53.1991,53.9676
10,0,10,6,1,0.750000,2,1.0,9.0,53.9704,999.0,999.0,999.0,56.9827,3.53071,57.5014,58.2677
11,0,11,2,1,0.750000,2,1.0,10.0,58.2706,999.0,999.0,999.0,61.2832,3.53024,61.8012,62.5681
12,0,12,10,1,0.750000,2,1.0,11.0,62.571,999.0,999.0,999.0,65.5831,3.53038,66.1017,66.8682
13,0,13,1,1,0.750000,2,1.0,12.0,66.8713,999.0,999.0,999.0,69.8841,3.53036,70.402,71.1674
14,0,14,4,1,0.750000,2,1.0,13.0,71.1703,999.0,999.0,999.0,74.1838,3.53199,74.7025,75.4692
15,0,15,4,1,0.750000,2,1.0,14.0,75.4721,999.0,999.0,999.0,78.4851,3.5308,79.0032,79.7689
16,0,16,3,1,10,2,1.0,15.0,79.7718,999.0,999.0,999.0,82.785,3.53216,83.3043,93.3194
17,1,17,8,1,0.750000,3,1.0,16.0,93.3224,999.0,999.0,999.0,96.337,3.53335,96.8561,97.6218
18,1,18,7,1,0.750000,3,1.0,17.0,97.6252,999.0,999.0,999.0,100.638,3.53062,101.156,101.923
19,1,19,4,1,0.750000,3,1.0,18.0,101.926,999.0,999.0,999.0,104.938,3.5315,105.457,106.223
20,1,20,5,1,0.750000,3,1.0,19.0,106.226,999.0,999.0,999.0,109.238,3.53108,109.757,110.523
21,1,21,9,1,0.750000,3,1.0,20.0,110.526,999.0,999.0,999.0,113.539,3.53113,114.057,114.824
22,1,22,7,1,0.750000,3,1.0,21.0,114.827,999.0,999.0,999.0,117.84,3.53068,118.358,119.123
23,1,23,10,1,0.750000,3,1.0,22.0,119.125,999.0,999.0,999.0,122.14,3.53301,122.659,123.424
24,1,24,9,1,12,3,1.0,23.0,123.427,999.0,999.0,999.0,126.44,3.53211,126.96,138.974
25,0,25,2,2,0.750000,4,1.0,24.0,138.978,999.0,999.0,999.0,141.992,3.53259,142.511,143.276
26,0,26,3,2,0.750000,4,1.0,25.0,143.279,999.0,999.0,999.0,146.292,3.53203,146.811,147.577
27,0,27,2,2,0.750000,4,1.0,26.0,147.581,999.0,999.0,999.0,150.594,3.52879,151.11,151.878
28,0,28,9,2,0.750000,4,1.0,27.0,151.881,999.0,999.0,999.0,154.895,3.52987,155.411,156.179
29,0,29,6,2,0.750000,4,1.0,28.0,156.182,999.0,999.0,999.0,159.195,3.52937,159.712,160.479
30,0,30,1,2,0.750000,4,1.0,29.0,160.482,999.0,999.0,999.0,163.496,3.53033,164.013,164.779
31,0,31,2,2,0.750000,4,1.0,30.0,164.783,999.0,999.0,999.0,167.795,3.52894,168.312,169.079
32,0,32,4,2,8,4,1.0,31.0,169.082,999.0,999.0,999.0,172.096,3.53063,172.613,180.63
33,0,33,8,1,0.750000,5,1.0,32.0,180.633,999.0,999.0,999.0,183.646,3.531,184.164,184.932
34,0,34,6,1,0.750000,5,1.0,33.0,184.936,999.0,999.0,999.0,187.948,3.52875,188.465,189.232
35,0,35,2,1,0.750000,5,1.0,34.0,189.235,999.0,999.0,999.0,192.249,3.52964,192.765,193.533
36,0,36,1,1,0.750000,5,1.0,35.0,193.538,999.0,999.0,999.0,196.549,3.5279,197.066,197.831
37,0,37,4,1,0.750000,5,1.0,36.0,197.834,999.0,999.0,999.0,200.85,3.53312,201.368,202.132
38,0,38,1,1,0.750000,5,1.0,37.0,202.135,999.0,999.0,999.0,205.15,3.5327,205.668,206.434
39,0,39,4,1,0.750000,5,1.0,38.0,206.436,999.0,999.0,999.0,209.45,3.53172,209.968,210.733
40,0,40,4,1,12,5,1.0,39.0,210.736,999.0,999.0,999.0,213.751,3.53181,214.268,226.283
41,0,41,2,2,0.750000,6,1.0,40.0,226.287,999.0,999.0,999.0,229.303,3.53364,229.821,230.585
42,0,42,10,2,0.750000,6,1.0,41.0,230.589,999.0,999.0,999.0,233.603,3.53186,234.121,234.886
43,0,43,4,2,0.750000,6,1.0,42.0,234.89,999.0,999.0,999.0,237.904,3.53216,238.422,239.187
44,0,44,5,2,0.750000,6,1.0,43.0,239.19,999.0,999.0,999.0,242.202,3.52943,242.72,243.487
45,0,45,1,2,0.750000,6,1.0,44.0,243.49,999.0,999.0,999.0,246.505,3.53211,247.023,247.788
46,0,46,1,2,0.750000,6,1.0,45.0,247.792,999.0,999.0,999.0,250.805,3.53042,251.322,252.088
47,0,47,3,2,0.750000,6,1.0,46.0,252.091,999.0,999.0,999.0,255.106,3.53174,255.623,256.389
48,0,48,2,2,8,6,1.0,47.0,256.392,999.0,999.0,999.0,259.406,3.53203,259.924,267.939
49,1,49,10,1,0.750000,7,1.0,48.0,267.942,999.0,999.0,999.0,270.956,3.53258,271.475,272.241
50,1,50,9,1,0.750000,7,1.0,49.0,272.244,999.0,999.0,999.0,275.258,3.53144,275.775,276.541
51,1,51,2,1,0.750000,7,1.0,50.0,276.544,999.0,999.0,999.0,279.558,3.53143,280.075,280.842
52,1,52,10,1,0.750000,7,1.0,51.0,280.845,999.0,999.0,999.0,283.859,3.53135,284.376,285.142
53,1,53,10,1,0.750000,7,1.0,52.0,285.145,999.0,999.0,999.0,288.16,3.5322,288.677,289.442
54,1,54,5,1,0.750000,7,1.0,53.0,289.445,999.0,999.0,999.0,292.46,3.53273,292.978,293.742
55,1,55,7,1,0.750000,7,1.0,54.0,293.745,999.0,999.0,999.0,296.761,3.53234,297.278,298.044
56,1,56,9,1,8,7,1.0,55.0,298.046,999.0,999.0,999.0,301.061,3.53225,301.579,309.595
57,1,57,5,2,0.750000,8,1.0,56.0,309.598,999.0,999.0,999.0,312.611,3.53433,313.133,313.896
58,1,58,8,2,0.750000,8,1.0,57.0,313.9,999.0,999.0,999.0,316.912,3.53082,317.431,318.197
59,1,59,3,2,0.750000,8,1.0,58.0,318.2,999.0,999.0,999.0,321.211,3.53162,321.732,322.497
60,1,60,10,2,0.750000,8,1.0,59.0,322.501,999.0,999.0,999.0,325.512,3.53251,326.033,326.8
61,1,61,8,2,0.750000,8,1.0,60.0,326.803,999.0,999.0,999.0,329.814,3.5277,330.331,331.1
62,1,62,9,2,0.750000,8,1.0,61.0,331.103,999.0,999.0,999.0,334.116,3.53011,334.634,335.397
63,1,63,9,2,0.750000,8,1.0,62.0,335.401,999.0,999.0,999.0,338.415,3.53147,338.932,339.699
64,1,64,10,2,10,8,1.0,63.0,339.703,999.0,999.0,999.0,342.716,3.5317,343.235,353.248
65,1,65,8,3,0.750000,9,1.0,64.0,353.251,999.0,999.0,999.0,356.267,3.5346,356.786,357.552
66,1,66,7,3,0.750000,9,1.0,65.0,357.556,999.0,999.0,999.0,360.567,3.53076,361.087,361.853
67,1,67,5,3,0.750000,9,1.0,66.0,361.857,999.0,999.0,999.0,364.868,3.52742,365.384,366.154
68,1,68,7,3,0.750000,9,1.0,67.0,366.157,999.0,999.0,999.0,369.169,3.52809,369.686,370.452
69,1,69,7,3,0.750000,9,1.0,68.0,370.455,999.0,999.0,999.0,373.47,3.53156,373.987,374.753
70,1,70,7,3,0.750000,9,1.0,69.0,374.756,999.0,999.0,999.0,377.77,3.53146,378.288,379.054
71,1,71,1,3,0.750000,9,1.0,70.0,379.057,999.0,999.0,999.0,382.07,3.53132,382.589,383.355
72,1,72,7,3,10,9,1.0,71.0,383.358,999.0,999.0,999.0,386.369,3.5314,386.89,396.906
