TrialNumber,IsFairBlock,Trialn,Offer,Partner,ITI,Blockn,ran,order,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,9,2,0.75,1,1,0,4.06845,2,1.01616,5.08461,7.58727,3.5194,7.58814,8.35352
2,1,2,10,2,0.75,1,1,1,8.35706,3,2.01466,10.3717,11.8714,3.51475,11.8721,12.6373
3,1,3,7,2,0.75,1,1,2,12.6407,3,1.02994,13.6706,16.1566,3.51631,16.1572,16.921
4,1,4,9,2,0.75,1,1,3,16.9243,3,1.9317,18.856,20.4401,3.51618,20.4407,21.2049
5,1,5,3,2,0.75,1,1,4,21.2083,999,999,999,24.2205,3.52887,24.7374,25.5041
6,1,6,8,2,0.75,1,1,5,25.5073,2,1.03139,26.5387,29.0243,3.51742,29.0249,29.7881
7,1,7,6,2,0.75,1,1,6,29.7913,3,2.93378,32.7251,33.3041,3.51322,33.3047,34.0737
8,1,8,9,2,8,1,1,7,34.0774,2,1.5644,35.6418,37.5924,3.51558,37.5933,45.605
9,1,9,7,1,0.75,2,1,8,45.6118,3,1.63078,47.2426,49.1265,3.51512,49.1272,49.8897
10,1,10,10,1,0.75,2,1,9,49.8925,2,1.7679,51.6604,53.4072,3.51514,53.4078,54.1734
11,1,11,7,1,0.75,2,1,10,54.1762,2,1.60027,55.7765,57.6913,3.51577,57.6923,58.4577
12,1,12,5,1,0.75,2,1,11,58.4606,3,2.1,60.5606,61.975,3.51485,61.9756,62.7411
13,1,13,7,1,0.75,2,1,12,62.7441,3,1.83345,64.5775,66.2616,3.51797,66.2623,67.0258
14,1,14,9,1,0.75,2,1,13,67.0289,3,1.88355,68.9124,70.5428,3.51433,70.5434,71.3092
15,1,15,2,1,0.75,2,1,14,71.312,2,2.0491,73.3611,74.8286,3.51697,74.8292,75.5944
16,1,16,8,1,12,2,1,15,75.5973,2,2.78224,78.3796,79.1124,3.51555,79.1131,91.1258
17,0,17,3,1,0.75,3,1,16,91.1286,3,1.8196,92.9482,94.6438,3.51555,94.6444,95.4107
18,0,18,4,1,0.75,3,1,17,95.4135,2,1.71898,97.1325,98.9279,3.51473,98.9285,99.6959
19,0,19,8,1,0.75,3,1,18,99.6991,3,1.03041,100.73,103.216,3.51717,103.217,103.981
20,0,20,1,1,0.75,3,1,19,103.984,3,1.02859,105.012,107.503,3.51967,107.504,108.264
21,0,21,3,1,0.75,3,1,20,108.267,3,2.44927,110.716,111.782,3.51485,111.782,112.548
22,0,22,6,1,0.75,3,1,21,112.551,999,999,999,115.565,3.52939,116.081,116.849
23,0,23,3,1,0.75,3,1,22,116.852,3,1.49961,118.351,120.366,3.51507,120.367,121.131
