Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,8,2,0,5.000000e-01,2
2,0,8,1,1,2,2
3,0,2,3,1,5.000000e-01,2
4,0,2,1,0,5.000000e-01,6
5,2,4,2,0,5.000000e-01,4
6,4,0,2,1,5.000000e-01,4
7,8,0,2,1,2,6
8,2,4,2,1,3.500000e+00,4
9,2,8,2,1,2,2
10,4,8,3,0,5.000000e-01,2
11,4,2,1,1,2,4
12,8,4,2,1,5.000000e-01,6
13,0,8,3,1,5.000000e-01,2
14,2,4,1,0,3.500000e+00,8
15,4,2,3,0,5.000000e-01,6
16,2,8,1,0,3.500000e+00,2
17,0,4,3,0,5.000000e-01,4
18,0,8,3,0,5.000000e-01,2
19,4,8,1,1,2,8
20,0,8,2,0,3.500000e+00,4
21,8,2,3,0,5.000000e-01,2
22,8,4,3,1,2,6
23,0,2,2,0,5.000000e-01,2
24,0,4,1,1,2,4
25,0,2,1,1,5.000000e-01,8
26,0,4,1,0,2,4
27,2,4,3,1,3.500000e+00,4
28,0,4,3,1,5.000000e-01,2
29,0,2,3,0,2,4
30,8,2,3,1,5.000000e-01,2
31,8,2,2,0,5.000000e-01,2
32,0,8,1,0,5.000000e-01,2
33,0,4,2,0,5.000000e-01,2
34,4,8,1,0,2,2
35,2,0,2,1,5.000000e-01,2
36,2,8,1,1,3.500000e+00,2
