csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58
758.2059971624351	n/a	n/a	574876.3341330825	522.2483620003084	n/a	272743.35161200515	n/a	522.5543366782698	n/a	273063.03478126647	n/a	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
742.5293636569576	-15.676633505477525	245.75683806506058	551349.8558928063	522.23206288183	-0.016299118478400487	272726.3275018116	0.00026566126317293623	515.8006905626452	-6.753646115624633	266050.3523849017	45.6117358550917	1.612296	44.277199	0.134631	0.134631	-0.1055071552	0.0483868628	0.0769920829	-0.0894092301	0.0219495935	-0.0171548398	-0.08051440259999999	0.03724657	-0.1697164279	0.34858195	-0.0058888113	0.0791764776	-0.1557231521	0.1380171954	-0.07120785360000001	0.09858981789999999	-0.1124498688	0.23290264460000001	-0.10009688789999999	0.1771895143	-0.0886233968	0.3146884472	-0.0855682052	0.0319120197	-0.0573506518	0.0310608171	-0.0046227067	-0.0157766634	0.0328313898	-0.015788200500000002	0.1196762717	-0.06492427860000001	0.015331285	-0.0342956858	0.0655254951	-0.0474164466	0.05752598480000001	-0.0271400125	0.042096435599999996	-0.031491184	0.0833433422	-0.1422904776	0.0298384179	-0.029920789500000006	0.0688703209	0.0011582872	-0.0684080769	0.0792544734	-0.0965886575	0.1223811168	-0.12054844320000001	0.06275355769999999	-0.0129781617	0.024427103199999998	-0.015391495900000001	0.0675931021	-0.0203790188	0.1649151639	-0.1769990169	0.12754891570000002	-0.0828609139	0.05943760400000001	-0.015008201200000001	0.0449120615	-0.0867477153	0.0041467021	-0.0438171969	0.0902112325	-0.2108139946	0.055379515	-0.0849769027	0.017668991499999998	0.0880559219	0.0090232037	-0.1239661623	0.050782248700000004	-0.052229447699999994	0.1819480386	-0.11671112369999999	0.0835126927	-0.023301264199999998	0.0008748358	-0.12030783699999999	0.0564977538	-0.1041591368	0.023345398	-0.12721751369999998	0.0762988736	-0.1924176624	0.0904391683	-0.1106465569	0.0024650773	0.07622195820000001	-0.0081115798	0.10231189550000001	0.07189203799999999	-0.04712100599999999	-0.10742334099999999	0.052069559	0.11834227119999999	-0.10627149359999999	-0.0666741579	0.007793711999999999	0.0700212595	-0.021470888799999997	-0.0356734031	-0.11238086789999999	0.0962225004	0.0962148673	0.0962021459	0.0961843369	0.0961614411	0.0	0.0	0.0	0.0	0.0	-0.134631	-0.134631	0.018125506161	0.018125506161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
735.6527511309919	-6.876612525965697	47.28779983226833	541184.9702465971	522.0808853991999	-0.1511774826300325	272568.4508992125	0.022854631254353774	514.1205855372943	-1.6801050253508265	264319.9764732104	2.822752896209101	0.993184	27.275028	0.27549643	0.17053800000000002	0.0094754775	0.0934105703	-0.044405411	-0.11074411699999999	0.0235648141	-0.059703639800000013	0.0264940779	0.0079462537	-0.15507555550000002	0.1551520449	-0.016437849299999998	-0.0094502825	-0.060911735599999996	0.0150307201	0.0069300922	0.0981480127	0.0547463384	0.1144100454	0.0028927427	0.1641492811	0.0442995674	0.0897207809	-0.1053579641	-0.001553348	0.0187503199	-0.008339521800000001	0.0143067648	0.020210890800000002	0.0573353798	-0.0603134854	-0.0654446466	-0.09122937810000001	-0.21762181260000002	-0.0816850561	0.0868567001	-0.0044220414	0.015438867700000001	-0.04024428	0.0197699328	-0.0439909995	-0.0724852608	0.0759726189	-0.0547553664	-0.0251039627	-0.0864444234	-0.0377135362	0.045409877300000005	0.1154450558	-0.1057545798	0.0601512503	-0.0041642681	-0.049039278799999995	0.0557177517	0.0929298763	-0.05282427940000002	-0.006622807099999999	-0.090800356	0.08254300980000001	-0.127009205	0.0273420217	-0.1142620962	-0.019983959199999998	0.0812311764	-0.0623741393	-0.06994717730000001	0.0483327296	0.037796946899999996	0.0915384301	-0.0964326798	0.173522328	0.0131547844	0.0423989809	0.0789683259	0.0389403612	-0.0041926199	0.1051654308	-0.0202819124	0.0047307382	-0.0736447226	0.0457952391	-0.113613215	-0.1395114218	-0.065926607	-0.0642273879	-0.0877273523	0.1751659143	0.16195971050000002	-0.13141922720000002	0.0670450107	-0.014704251699999999	0.062071168499999996	-0.022973731299999998	-0.1141788203	-0.0083986802	-0.046171110300000005	-0.0392471989	-0.0302845498	-0.0560023336	0.1177967962	-0.11871340009999999	0.0348809586	-0.047546222	0.0618339688	-0.1032099058	0.0045116946	0.1826904243	0.0775661755	0.0962021459	0.0961334599	0.09601901970000001	0.0958588795	0.0956531157	0.0	0.0164949	0.0164949	0.00027208172601	0.00027208172601	0.0214406	0.1560716	0.02435834432656	0.0004596993283599999	0.0411903	0.0411903	0.00169664081409	0.00169664081409	0.0005307280000000001	0.0005307280000000001	2.81672209984e-07	2.81672209984e-07	5.11256e-05	5.11256e-05	2.6138269753600003e-09	2.6138269753600003e-09	0.0006529390000000001	0.0006529390000000001	4.263293377210001e-07	4.263293377210001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
729.0989130651918	-6.553838065800051	42.95279339272975	531585.2250328441	520.5150012900438	-1.5658841091561726	270935.86656797427	2.4519930433078203	512.9509057932472	-1.1696797440471298	263118.63175411284	1.3681507036341596	1.278616	35.113636	0.27684012	0.122263	0.07636025769999999	0.0056033457	-0.0053355526	0.055770898	0.10148276769999999	0.0478293928	0.0373660367	0.0542372431	-0.0093353261	0.0854602032	-0.0043988461	-0.0546930193	0.0253988464	-0.0327664057	0.0288168591	0.0492519684	-0.0764263924	0.1407932211	0.032712405800000004	-0.029700004199999998	0.0435612462	0.0021746174	0.0182710437	-0.0914778574	-0.0747993705	0.1274744625	0.0712278786	0.0466805298	-0.1356269314	0.0928913034	-0.0581345037	0.0746625288	-0.001222016	-0.0179122893	0.06351017	0.0176213582	-0.2070222495	-0.0280157506	0.1199324319	-0.013961785400000001	-0.0986492893	0.038117552400000004	-0.0310051217	0.1999213162	0.023339493500000003	0.0703479031	-0.0070059084	0.013394159099999999	0.107915256	-0.0237746279	0.046700179800000005	-0.034993332200000005	-0.09715392980000001	0.0602618813	0.061662380999999995	-0.042503711500000006	0.0868200717	0.0192611536	-0.0358122368	-0.0766486894	-0.0207443306	0.0426043416	-0.040106603500000004	0.0012779067	-0.0749319463	-0.0084371398	-0.0172304801	0.0918759886	-0.0242058263	-0.047923851399999995	-0.0285836506	-0.0608845171	-0.0952426602	-0.1499967995	-0.1095030576	0.0811177617	0.00055547	0.11947400150000001	0.08600520869999999	-0.052820062699999996	0.0466088776	-0.0581042136	0.0867911073	0.0349649285	0.0408485179	-0.0015917796	0.0356241555	-0.1453297094	-0.0249116022	-0.0002745459	0.116134149	0.0750757157	0.0474947201	-0.0077585874	-0.0894218296	0.0282841627	0.0987106785	-0.0288702823	0.0407415542	0.0576283331	0.020527316	0.1153763346	-0.0460115244	-0.0287208365	-0.024447828300000002	-0.1787307273	0.0172602616	0.0961614411	0.0959707141	0.0956531157	0.09520906609999999	0.09463915199999999	0.0	0.0493235	0.0328286	0.00243280765225	0.0010777169779600001	-0.0465537	-0.0679943	0.004623224832489999	0.0021672469836899995	0.0229517	-0.0182386	0.0005267805328899999	0.00033264652995999996	-0.000484309	-0.0010150369999999999	2.3455520748100005e-07	1.0303001113690001e-06	0.00141054	0.0013594144	1.8480075109273601e-06	1.9896230916e-06	0.00143406	0.0007811210000000001	6.10150016641e-07	2.0565280836e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
730.8881866833774	1.7892736181855753	3.2015000807348994	534197.5414333155	522.9936202402649	2.4786189502211755	273522.3268120185	6.143551900395522	513.3991893383726	0.4482835451253777	263578.72761329816	0.20095813683017652	1.318658	36.213257	0.331359745	0.22207	0.036664052200000005	-0.0831003458	-0.0587936709	-0.030087548999999998	-0.1048232822	0.0568212982	0.0018112408999999999	0.02437294	0.0681506804	-0.023252523799999997	-0.039161483999999996	-0.051910291799999994	-0.0548025859	-0.0372735625	-0.14156069300000002	-0.1030598597	-0.0030762109999999997	-0.031221416600000006	-0.0388484174	0.0722811394	0.18402487879999999	0.009356048399999999	-0.0172700362	0.0804392385	0.0164448732	-0.1475294234	-0.0852860265	0.006316186999999999	-0.0789951401	-0.0273808209	0.1685400936	-0.0244815393	-0.0456893414	-0.0168242251	0.0086526198	0.06457201900000001	0.152054334	0.024697191299999997	0.0032007402	0.10697798800000001	-0.0434025912	0.0832806552	0.040462867	0.0007403754	-0.06759249519999999	-0.0091385899	0.0657540828	-0.0531749248	0.0033084242	0.043756739	0.0153007201	-0.0076103587	0.1134165572	-0.0924706949	0.0049986771000000004	-0.035596585800000004	0.0458645191	-0.0225431273	0.040212307999999995	-0.03630223	0.0545368038	-0.1675493602	0.0498554813	0.0393162703	-0.052666460199999994	0.0203180442	0.05324949	0.0434604773	0.0096353793	0.151347388	-0.0124254496	-0.081739841	-0.0035018578999999996	0.1008585868	0.0589887248	0.06682179190000001	0.0014639425	-0.016735830400000002	-0.08909570619999999	-0.1427633974	-0.0520716949	0.019675937	-0.0404018098	0.00031148689999999996	-0.0072769474	0.0365044797	-0.1216384601	0.013046483000000001	0.0468874726	0.0036885723	-0.0467474874	-0.0084985489	-0.1326260597	-0.0611996132	0.048736096500000006	0.0628971547	0.0831405209	0.034677199	0.028408779199999998	-0.0399837167	-0.0011110769	-0.050090949	0.0035052479	0.0529173028	0.1253392774	0.098059097	0.0779401362	0.0961003948	0.0957267674	0.0951051307	0.09423709529999999	0.09312491	0.0	0.0331038	-0.016219699999999997	0.0010958615744400002	0.0002630786680899999	0.166302	0.21285570000000004	0.045307549022490005	0.027656355203999998	0.0765875	0.0536358	0.005865645156250001	0.002876799041640001	4.11209e-05	0.0005254299000000001	1.6909284168100004e-09	2.760765798140101e-07	0.00141054	0.0	0.0	1.9896230916e-06	0.000986519	-0.0004475410000000001	2.0029294668100008e-07	9.732197373610001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
731.3526285508149	0.464441867437472	0.21570624822880627	534876.6672881861	521.9690184842951	-1.0246017559697975	272451.65625745844	1.0498087583363924	514.4350210019455	1.0358316635729352	264643.39083327213	1.0729472352602745	1.344677	36.927799	0.07357606	0.06219980000000001	-0.069260155	-0.04373718	0.0609151832	0.0668055437	-0.0037140779	0.0016556611	-0.07679463809999999	0.057544077	0.0189238975	0.0424752933	0.0060472986	0.0287442656	-0.0558069779	-0.0129021154	0.049902370999999994	-0.0218206619	0.068374559	-0.0715274173	0.0831924617	0.014287283400000001	-0.0546041837	-0.0697642716	0.0595584605	0.071360063	0.0347733158	-0.1897573864	-0.0881129952	-0.0358861781	-0.0821361736	-0.048216788899999995	0.0395120109	0.0092308817	0.08864348779999999	0.1238746377	-0.0085211835	-0.1062495898	0.0083709797	0.0871117525	0.0988460452	-0.0046412816	-0.0445269966	0.0993827982	-0.0291754871	0.08756419929999999	-0.0527619444	0.014798261000000004	-0.0655196867	-0.0504583542	0.0236537999	-0.0447298383	-0.025419013100000002	0.045765629599999996	-0.0584078746	-0.0420238305	0.0006105887	0.1029779521	0.052750304299999995	-0.000887035	-0.0147739484	-0.0137663559	-0.0697356442	-0.0228275458	0.0022801074	-0.0735344281	-0.0590425357	0.0248304456	0.0028629753000000003	0.031272517799999996	0.0463060328	0.055912160999999995	0.0538304996	-0.014900203300000001	0.0266138739	-0.055657619699999994	-0.034193288599999996	-0.2163503774	0.0125200594	0.0172284192	-0.0840195038	-0.1074908953	0.0065770356	-0.0618558427	0.08617998939999999	0.0353093525	0.0068446709	-0.10646465869999999	-0.0263444113	-0.10994118369999999	0.0411523171	-0.0206310474	-0.00020433529999999998	-0.06427826219999999	-0.0064121263	-0.0822002215	-0.1344517708	-0.0679728812	0.0550873932	0.1069886682	-0.0598176459	0.0652077628	0.0596161717	-0.049518107900000004	0.0037099728999999996	-0.0005925517	-0.016648953799999998	-0.0037670558000000003	0.014923618799999996	0.09601901970000001	0.0954018263	0.0943761076	0.09294625599999999	0.0911183942	0.0	0.034978800000000004	0.0018750000000000017	0.0012235164494400002	3.5156250000000063e-06	0.10536199999999997	-0.06094000000000002	0.0037136836000000025	0.011101151043999995	0.0758307	-0.0007568000000000018	0.00575029506249	5.727462400000028e-07	1.08127e-05	-3.03082e-05	1.1691448128999997e-10	9.185869872400003e-10	0.00141054	0.0	0.0	1.9896230916e-06	0.0008167419999999999	-0.00016977700000000008	2.8824229729000025e-08	6.670674945639997e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
731.0033024002918	-0.3493261505230976	0.12202875943928583	534365.8281201324	521.9865337191716	0.017515234876441355	272469.94138415577	0.00030678345277690763	512.7361489191404	-1.6988720828051103	262898.3584084309	2.8861663537345725	1.329144	36.501236	0.118243515	0.0560642	-0.07719479110000001	0.0385081279	0.0604928624	-0.024001566600000003	-0.0196445444	-0.0604311076	0.0210335794	0.07256312570000001	2.84944e-05	0.017487303	0.1241266525	-0.1113047424	-0.0830007204	-0.0630262475	0.0770767067	-0.0677274846	0.037412584	0.0375665578	-0.0986540001	0.08679969119999999	0.0047155959	0.0411358946	0.1197600048	0.0429239396	0.0036451028999999998	0.0077454367	-0.0619617774	-0.15512768300000002	-0.0112857527	-0.037248059	0.048567939299999995	-0.0560018583	-0.0179333887	0.1023649312	-0.1355217792	-0.0730768191	-0.10323890570000001	0.046836038600000005	0.017323358799999997	-0.0703942222	0.0651658634	0.011398534299999999	0.0206435062	-0.1080369481	0.0012771529	0.10993582699999999	-0.0474221665	0.018740743600000002	-0.051193945	-0.034122816	0.0195412474	0.06963124820000001	-0.0030793953999999997	0.0392230349	-0.09807286900000001	9.9349e-05	-0.0134307681	-0.1205014862	-0.0230760983	-0.0569667892	-0.0814344689	-0.050833770300000004	-0.0006135744	-0.0295699052	-0.1222904608	-0.1019548708	-0.0550493394	-0.023729039900000002	0.0024644088000000002	0.0164640609	-0.08029644030000001	-0.1005120132	0.0897850366	0.10770967710000001	-0.0748347323	-0.0741712566	0.09877373810000001	0.0210282375	-0.1293278219	-0.09416826619999999	-0.0442882616	0.0093464675	-0.0160363018	-0.0076150215	-0.0110862819	-0.0035086515000000004	0.0482969875	0.08409445630000001	-0.0853492948	0.0730209989	-0.0302128869	0.048796628099999996	0.1032847999	-0.040426271800000003	0.0067025428	0.047530980300000004	0.033275221800000004	-0.032047096000000004	-0.0201192016	-0.0104550671	0.07442014400000001	0.0928725514	-0.0784844881	-0.0252919341	0.002480406	-0.0176663922	-0.1087351578	0.0959173331	0.09499616570000001	0.0934674342	0.091340916	0.0886302114	0.0	0.0490629	0.014084099999999997	0.00240716815641	0.00019836187280999987	0.0652543	-0.04010769999999998	0.0016086275992899983	0.004258123668489999	0.06539339999999999	-0.010437300000000009	0.004276296763559999	0.00010893723129000022	0.000433369	0.0004225563	1.87808690161e-07	1.7855382666969003e-07	0.0008536429999999997	-0.0005568970000000003	3.1013426860900034e-07	7.287063714489995e-07	0.000909577	9.28350000000001e-05	8.618337225000018e-09	8.273303189289998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
728.9747632670152	-2.028539133276581	4.114971015234503	531404.2054802008	522.3596287538738	0.3730950347022599	272859.5817518849	0.13919990491948053	513.0403283318209	0.3041794126804689	263210.3784948226	0.092525115098635	1.567769	43.054409	0.11035325	0.0591438	0.1195615078	0.055644810999999995	-0.0282641875	-0.058366577999999995	0.05532241139999999	0.0473127301	0.0344971249	0.0467620357	-0.018477681699999998	-0.0376796258	-0.020588983	-0.0616032526	0.0729944198	-0.0048755961	-0.0185654852	-0.0724562738	-0.0299247759	0.1301281216	-0.08751934119999999	-0.22078674620000002	0.1558294039	0.0230474965	-0.029889789500000007	-0.043224159000000005	-0.11975734980000001	0.020692621499999998	-0.0494036379	0.0169644836	-0.1247525683	-0.0201181426	-0.0078768203	0.0508344942	-0.1069837441	0.13563789380000002	0.0705964447	0.0048196490000000005	-0.0040137746000000005	0.0694691721	-0.0037082714	0.0015246172	0.0173203672	0.1661388451	0.1099374042	0.0666562508	0.0302258216	-0.1116750881	0.044097439599999996	0.0884773728	0.0624766542	-0.040141686499999996	0.0467768774	0.0065946973	0.0324792387	0.06863639889999999	0.0652569513	-0.0594045358	0.0655162799	-0.055175746100000006	-0.0194265265	-0.0579876455	0.06147414690000001	0.0269260338	0.0571550827	0.080836383	0.0690144618	-0.1326064573	0.21300722170000005	-0.0080447168	-0.0724442253	-0.0347106851	0.0117123212	-0.0912935542	-0.1862079003	-0.030748233700000002	-0.0943587414	-0.0068537125	-0.09005189429999999	-0.0557192995	0.0103689057	-0.0852432316	-0.0763154167	-0.053126420099999995	-0.0981657153	-0.0348896548	0.0020951562	0.0916576953	-0.0613775816	-0.1010448779	-0.041617015	-0.0048536268	0.0547897476	-0.06252030530000001	-0.1042957876	-0.008146773000000001	0.1927395125	0.1159233573	-0.030463295499999998	-0.066512196	-0.1515934638	-0.0039166788	-0.0337507549	0.1071230168	-0.0066792689	0.0780955221	-0.09137872679999999	0.0431670066	-0.0862116265	0.0957953565	0.0945101289	0.09238084029999999	0.0894265072	0.08567351449999999	0.0	0.049031800000000014	-3.1099999999992245e-05	0.002404117411240001	9.672099999995176e-10	0.08109529999999998	0.01584099999999998	0.00025093728099999943	0.0065764476820899965	0.0238518	-0.041541599999999984	0.0005689083632400001	0.0017257045305599994	-0.000360545	-0.000793914	1.29992697025e-07	6.302994393959999e-07	0.00111852	0.0002648770000000003	7.015982512900014e-08	1.2510869904e-06	0.000909577	0.0	0.0	8.273303189289998e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
