Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,4,3,0,3.500000e+00,2
2,8,4,3,0,3.500000e+00,2
3,0,8,1,1,5.000000e-01,4
4,4,8,2,0,2,4
5,0,4,2,0,2,6
6,2,8,1,0,3.500000e+00,2
7,0,8,1,0,2,8
8,8,2,1,1,2,2
9,4,2,1,0,5.000000e-01,2
10,2,4,1,1,3.500000e+00,2
11,8,0,3,1,5.000000e-01,6
12,4,0,3,1,2,2
13,8,0,2,0,5.000000e-01,2
14,2,8,2,0,2,6
15,4,8,3,1,3.500000e+00,8
16,4,2,2,0,5.000000e-01,4
17,4,2,2,1,5.000000e-01,2
18,0,2,1,0,5.000000e-01,4
19,8,2,2,1,5.000000e-01,6
20,4,2,3,1,5.000000e-01,2
21,4,2,3,0,5.000000e-01,2
22,8,4,2,1,2,8
23,4,8,1,1,5.000000e-01,4
24,4,8,1,0,5.000000e-01,4
25,2,0,2,0,2,2
26,4,0,1,0,2,4
27,2,0,1,1,5.000000e-01,6
28,8,2,3,1,5.000000e-01,2
29,4,0,1,1,2,2
30,0,2,3,1,5.000000e-01,2
31,0,2,2,1,5.000000e-01,4
32,2,0,3,0,5.000000e-01,4
33,8,0,2,1,5.000000e-01,2
34,2,8,3,0,3.500000e+00,2
35,8,0,3,0,5.000000e-01,2
36,0,4,2,1,5.000000e-01,4
