TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,3,2,8,5.000000e-01,0,1.0,0.0,4.27521,2.0,8,6.44641,high,2.17121,0.828795,6.97665,9.52552,9.54226,11.5566,7.28141,11.557,13.5252
2,2,0,2,4,2,5.000000e-01,8,1.0,1.0,13.8102,2.0,2,15.0702,low,1.25996,1.74004,15.6008,19.0717,19.0843,21.0872,7.27698,21.0875,25.0713
3,3,0,3,8,2,5.000000e-01,8,1.0,2.0,25.2766,3.0,8,27.9308,high,2.65419,0.345809,28.4597,30.5396,30.5536,32.5707,7.29413,32.571,40.5389
4,4,0,3,2,0,3.500000e+00,8,1.0,3.0,40.8147,3.0,8,43.5771,high,2.76238,0.237622,44.1148,49.0695,49.0697,51.085,10.2703,51.0853,53.0692
5,5,1,3,2,0,5.000000e-01,4,1.0,4.0,53.2776,3.0,4,54.2357,high,0.958065,2.04193,54.7702,58.5376,58.5524,60.5686,7.291,60.5689,62.5373
6,6,0,2,4,0,3.500000e+00,8,1.0,5.0,62.8137,3.0,8,64.5942,high,1.78044,1.21956,65.1289,71.0679,71.0803,73.0834,10.2697,73.0836,77.0675
7,7,1,1,2,8,5.000000e-01,4,1.0,6.0,77.098,3.0,4,78.9393,low,1.84138,1.15862,79.4686,82.3617,82.3765,84.3928,7.29487,84.3931,86.3615
8,8,1,1,4,4,5.000000e-01,2,1.0,7.0,86.3766,2.0,4,87.2962,high,0.919614,2.08039,87.8276,91.6267,91.6269,93.6422,7.2656,93.6425,97.6263
9,9,1,1,2,0,2,4,1.0,8.0,97.6436,3.0,4,100.007,high,2.36294,0.637057,100.546,104.407,104.407,106.422,8.77884,106.423,108.407
10,10,0,1,2,2,2,4,1.0,9.0,108.416,3.0,4,110.132,high,1.71573,1.28427,110.67,115.172,115.186,117.187,8.77147,117.188,119.172
