TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,3,2,0,5.000000e-01,2,1.0,0.0,4.34791,2.0,0,5.8611,low,1.51319,1.48681,6.40235,9.60691,9.60711,11.6224,7.27449,11.6228,13.6066
2,2,1,1,4,0,5.000000e-01,8,1.0,1.0,13.6209,3.0,8,15.002,high,1.38107,1.61893,15.5415,18.8719,18.8866,20.903,7.28204,20.9033,24.8714
3,3,1,1,6,8,2,4,1.0,2.0,24.8872,2.0,8,26.0442,high,1.15701,1.84299,26.5723,31.6366,31.6368,33.652,8.76481,33.6523,39.636
4,4,0,2,6,0,5.000000e-01,4,1.0,3.0,39.8531,2.0,0,40.673,low,0.819899,2.1801,41.2117,45.1044,45.1045,47.1198,7.26666,47.1201,53.1037
5,5,0,1,2,2,3.500000e+00,4,1.0,4.0,53.1186,2.0,2,54.1841,low,1.0655,1.9345,54.7268,61.3688,61.3829,63.3998,10.2812,63.4001,65.3685
6,6,0,3,2,4,5.000000e-01,8,1.0,5.0,65.7062,3.0,8,66.6444,high,0.938213,2.06179,67.1787,70.9618,70.9736,72.9773,7.27108,72.9776,74.9615
7,7,1,2,2,4,2,2,1.0,6.0,75.1726,2.0,4,77.9705,high,2.79789,0.202106,78.5062,81.9298,81.9435,83.9452,8.77262,83.9455,85.9295
8,8,1,2,4,8,3.500000e+00,2,1.0,7.0,86.0996,3.0,2,87.4778,low,1.37819,1.62181,88.0067,94.3507,94.3509,96.3662,10.2666,96.3665,100.35
9,9,1,2,8,4,3.500000e+00,0,1.0,8.0,100.567,2.0,4,101.723,high,1.15573,1.84427,102.254,108.818,108.819,110.834,10.2665,110.834,118.818
10,10,0,3,4,4,5.000000e-01,2,1.0,9.0,119.146,3.0,2,120.355,low,1.2087,1.7913,120.894,124.395,124.407,126.411,7.26451,126.411,130.395
11,11,1,3,2,0,5.000000e-01,8,1.0,10.0,130.772,999.0,999,133.782,999,0.0,0.0,133.797,136.02,999.0,999.0,868.228,138.051,140.035
12,12,1,1,2,2,2,4,1.0,11.0,140.055,2.0,2,140.889,low,0.8338,2.1662,141.423,146.816,146.83,148.847,8.79189,148.847,150.815
13,13,0,2,2,2,5.000000e-01,8,1.0,12.0,150.994,3.0,8,151.814,high,0.820035,2.17997,152.346,156.252,156.265,158.268,7.2737,158.268,160.252
14,14,1,3,2,8,5.000000e-01,2,1.0,13.0,160.584,3.0,2,161.873,low,1.28813,1.71187,162.406,165.846,165.858,167.861,7.2766,167.861,169.845
15,15,0,2,2,0,5.000000e-01,2,1.0,14.0,170.057,3.0,2,172.314,high,2.25753,0.742469,172.845,175.314,175.326,177.329,7.27221,177.329,179.313
16,16,1,1,2,2,3.500000e+00,0,1.0,15.0,179.333,2.0,2,180.287,high,0.954301,2.0457,180.826,187.594,187.609,189.625,10.2919,189.625,191.594
17,17,0,1,2,2,5.000000e-01,8,1.0,16.0,191.603,2.0,2,192.431,low,0.828209,2.17179,192.967,196.859,196.872,198.874,7.27161,198.875,200.859
18,18,1,1,4,0,5.000000e-01,4,1.0,17.0,200.875,3.0,4,201.805,high,0.930776,2.06922,202.341,206.124,206.139,208.155,7.28026,208.155,212.123
19,19,0,3,2,8,5.000000e-01,0,1.0,18.0,212.462,999.0,999,215.466,999,0.0,0.0,215.481,217.701,999.0,999.0,786.538,219.732,221.716
20,20,0,2,4,8,2,0,1.0,19.0,221.918,2.0,8,222.856,high,0.937574,2.06243,223.386,228.669,228.681,230.685,8.7663,230.685,234.669
21,21,1,3,8,8,5.000000e-01,4,1.0,20.0,235.038,3.0,4,235.9,low,0.861775,2.13823,236.432,240.293,240.306,242.309,7.27049,242.309,250.293
22,22,0,3,4,4,5.000000e-01,0,1.0,21.0,250.682,999.0,999,253.698,999,0.0,0.0,253.712,255.917,999.0,999.0,748.318,257.949,261.932
23,23,1,3,4,4,2,2,1.0,22.0,262.273,2.0,4,263.206,high,0.932525,2.06747,263.743,269.026,269.038,271.041,8.76765,271.041,275.025
24,24,1,3,6,2,5.000000e-01,0,1.0,23.0,275.37,3.0,0,276.884,low,1.51416,1.48584,277.414,280.618,280.619,282.634,7.2643,282.634,288.633
