TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,4,8,2,2,1.0,0.0,4.02987,3.0,2,5.68195,low,1.65209,1.34791,6.21874,10.7833,10.8006,12.8144,8.78455,12.8148,16.7828
2,2,1,2,2,8,2,2,1.0,1.0,17.0278,2.0,8,18.209,high,1.18117,1.81883,18.7492,23.7823,23.7961,25.8134,8.78563,25.8137,27.7821
3,3,1,2,4,8,2,4,1.0,2.0,28.0226,3.0,4,29.2181,low,1.19544,1.80456,29.7485,34.7815,34.7817,36.797,8.77438,36.7973,40.7811
4,4,0,1,2,0,5.000000e-01,2,1.0,3.0,40.8019,2.0,0,42.3622,low,1.56028,1.43972,42.9038,46.062,46.0621,48.0775,7.27551,48.0777,50.0617
5,5,1,2,4,8,5.000000e-01,0,1.0,4.0,50.3285,3.0,0,52.2705,low,1.94202,1.05798,52.809,55.5769,55.5771,57.5924,7.26392,57.5927,61.5921
6,6,1,3,2,2,3.500000e+00,0,1.0,5.0,62.0074,2.0,2,63.6465,high,1.63904,1.36096,64.1839,70.2633,70.2763,72.2788,10.2714,72.2791,74.263
7,7,1,1,4,2,5.000000e-01,4,1.0,6.0,74.2775,2.0,2,75.606,low,1.32858,1.67142,76.1355,79.5283,79.5433,81.5594,7.28191,81.5596,85.5278
8,8,0,1,2,2,5.000000e-01,8,1.0,7.0,85.5366,999.0,999,88.5497,999,0.0,0.0,88.5644,90.7931,999.0,999.0,913.463,92.8245,94.7928
9,9,0,3,4,8,2,0,1.0,8.0,95.1663,2.0,8,96.0897,high,0.923366,2.07663,96.6188,101.917,101.929,103.933,8.76647,103.933,107.917
10,10,0,2,4,8,5.000000e-01,4,1.0,9.0,108.191,3.0,4,109.234,low,1.04285,1.95715,109.774,113.448,113.46,115.463,7.27231,115.463,119.447
11,11,0,3,2,2,5.000000e-01,8,1.0,10.0,119.819,2.0,2,121.327,low,1.50837,1.49163,121.868,125.072,125.083,127.087,7.26862,127.088,129.072
12,12,1,3,2,0,2,4,1.0,11.0,129.437,3.0,4,131.469,high,2.03148,0.968521,132.061,136.196,136.209,138.212,8.77405,138.212,140.196
13,13,0,3,2,4,3.500000e+00,2,1.0,12.0,140.618,2.0,4,141.861,high,1.24254,1.75746,142.396,148.867,148.879,150.882,10.2644,150.883,152.867
14,14,1,1,2,0,3.500000e+00,2,1.0,13.0,152.882,2.0,0,154.154,low,1.27192,1.72808,154.692,161.132,161.132,163.147,10.2652,163.147,165.131
15,15,0,3,4,4,2,8,1.0,14.0,165.557,3.0,8,167.181,high,1.62399,1.37601,167.724,172.318,172.319,174.334,8.77654,174.334,178.318
16,16,0,2,2,4,2,0,1.0,15.0,178.562,2.0,4,180.075,high,1.51285,1.48715,180.613,185.317,185.329,187.333,8.77052,187.333,189.317
17,17,1,1,8,4,2,8,1.0,16.0,189.331,3.0,8,190.451,high,1.11939,1.88061,190.987,196.082,196.097,198.113,8.78218,198.114,206.082
18,18,0,2,6,8,5.000000e-01,0,1.0,17.0,206.369,2.0,8,207.515,high,1.14574,1.85426,208.048,211.628,211.64,213.644,7.27467,213.644,219.627
19,19,0,1,8,8,3.500000e+00,4,1.0,18.0,219.643,2.0,8,221.026,high,1.38221,1.61779,221.563,227.892,227.907,229.924,10.2802,229.924,237.892
20,20,1,3,4,2,3.500000e+00,8,1.0,19.0,238.308,2.0,2,239.541,low,1.23296,1.76704,240.077,246.563,246.576,248.578,10.2707,248.579,252.563
21,21,0,3,2,2,5.000000e-01,0,1.0,20.0,252.965,2.0,2,254.537,high,1.5718,1.4282,255.076,258.218,258.231,260.234,7.26915,260.234,262.218
22,22,0,1,8,0,5.000000e-01,4,1.0,21.0,262.239,999.0,999,265.245,999,0.0,0.0,265.259,267.483,999.0,999.0,736.761,269.515,277.498
23,23,1,2,6,4,5.000000e-01,0,1.0,22.0,277.768,2.0,4,278.957,high,1.18879,1.81121,279.496,283.029,283.043,285.045,7.27669,285.045,291.029
24,24,1,1,2,4,5.000000e-01,0,1.0,23.0,291.037,3.0,0,292.234,low,1.19691,1.80309,292.776,296.294,296.294,298.309,7.27201,298.31,300.293
25,25,1,3,2,4,5.000000e-01,2,1.0,24.0,300.697,3.0,2,302.192,low,1.49502,1.50498,302.728,305.949,305.962,307.965,7.26739,307.965,309.949
26,26,1,2,2,2,5.000000e-01,0,1.0,25.0,310.202,3.0,0,311.5,low,1.29773,1.70227,312.04,315.464,315.464,317.48,7.27742,317.48,319.464
27,27,1,3,2,0,3.500000e+00,8,1.0,26.0,319.83,3.0,8,321.108,high,1.27823,1.72177,321.649,328.088,328.089,330.104,10.2741,330.104,332.088
28,28,1,1,2,8,5.000000e-01,0,1.0,27.0,332.109,999.0,999,335.119,999,0.0,0.0,335.134,337.369,999.0,999.0,666.891,339.4,341.369
29,29,1,2,6,4,5.000000e-01,2,1.0,28.0,341.587,999.0,999,344.594,999,0.0,0.0,344.608,346.837,999.0,999.0,657.413,348.853,354.836
30,30,0,2,2,2,5.000000e-01,4,1.0,29.0,355.106,2.0,2,356.236,low,1.13023,1.86977,356.772,360.367,360.379,362.383,7.27653,362.383,364.367
31,31,0,1,2,4,5.000000e-01,2,1.0,30.0,364.388,3.0,2,365.327,low,0.939657,2.06034,365.865,369.648,369.661,371.663,7.27546,371.664,373.648
32,32,0,3,2,4,2,0,1.0,31.0,374.011,2.0,4,374.852,high,0.840811,2.15919,375.379,380.772,380.784,382.787,8.77621,382.788,384.772
33,33,0,1,4,0,5.000000e-01,8,1.0,32.0,384.793,3.0,8,385.661,high,0.867341,2.13266,386.191,390.053,390.066,392.068,7.27457,392.068,396.052
34,34,1,3,6,8,5.000000e-01,4,1.0,33.0,396.473,2.0,8,397.737,high,1.26425,1.73575,398.269,401.724,401.736,403.739,7.26592,403.739,409.723
35,35,0,2,6,2,5.000000e-01,0,1.0,34.0,409.995,3.0,0,411.732,low,1.73746,1.26254,412.268,415.254,415.254,417.269,7.27437,417.27,423.253
36,36,0,2,4,8,2,2,1.0,35.0,423.506,2.0,8,424.292,high,0.786387,2.21361,424.83,430.268,430.281,432.284,8.77783,432.284,436.268
